model,nobs_train,n_params,train_R2_in_sample,train_adj_R2_in_sample,AIC,BIC,n_train_metric,train_MAE_log,train_RMSE_log,train_R2_oos_style,n_test,test_MAE_log,test_RMSE_log,test_R2
M_A_v13A_base_spec_FE,3854,18,0.42232190287006066,0.4197618070277226,10828.933673378058,10941.557276659596,3854,0.7986582822074397,0.9814603980257282,0.4223219028700609,776,0.7738684972140153,0.9593480839182262,0.450535388362284
M_B_v13B_advanced_FE,3854,21,0.4281226018008679,0.4251386341609037,10796.038494296063,10927.432698124523,3854,0.7948112631476464,0.9765203454788974,0.42812260180086814,776,0.7716890528768403,0.9554894423906946,0.454946557049111
DELTA_B_minus_A,0,3,0.005800698930807258,0.005376827133181106,-32.89517908199559,-14.124578535072942,0,-0.003847019059793344,-0.00494005254683072,0.005800698930807258,0,-0.002179444337174985,-0.003858641527531681,0.004411168686827005
