feature_set,n_numeric_features,n_categorical_features,numeric_features,categorical_features
A_v13A_current,6,2,"age, minutes_played, log_minutes_played, goals_per90, assists_per90, g_a_per90","league, position_group"
B_v13B_advanced,9,2,"age, minutes_played, log_minutes_played, goals_per90, assists_per90, g_a_per90, finishing_index_v2, availability_index, defensive_activity_index","league, position_group"
