feature,importance
career_year,0.14045471608413784
log_minutes_played,0.1182611556929151
league_Premier League,0.10561450840171924
goals_position_percentile,0.05234043058816536
season_2019-2020,0.04908076573296097
finishing_index,0.04615993455511096
assists_position_percentile,0.04528922847790128
experience_index,0.04290577781024066
league_LaLiga,0.04230436540606102
league_Bundesliga,0.04223080286402154
league_Serie A,0.0390999589782374
league_Ligue 1,0.03504389260699263
playmaking_index,0.03464203907483732
age,0.03384229185471354
age_squared,0.03370706525422992
goals_per90,0.03239588881452159
assists_per90,0.01897714192096701
league_Spanish Segunda División,0.014676615392556403
league_Eredivisie,0.01283391049652412
league_Championship,0.010133362911763713
league_Belgian Pro League,0.006652399169477605
league_Austrian Bundesliga,0.006332627390332515
breakout_indicator,0.005970634385165711
season_2020-2021,0.005968932712017311
league_Liga Portugal,0.005933693404304393
season_2021-2022,0.004704150600048789
position_group_MID,0.0040599977112036854
season_2022-2023,0.003926979899796904
position_group_DEF,0.0031924006577661395
position_group_ATT,0.0019810918332520662
position_group_GK,0.0012832393180573958
