player,season,team,league,pos_,age_,Playing Time_Min,primary_role,secondary_role,primary_role_similarity,secondary_role_similarity,role_confidence,role_ambiguity,primary_role_cluster,secondary_role_cluster
Aaron Ramsey,1718,Arsenal,ENG-Premier League,MF,26.0,1846,Creative Playmaker,Box-to-Box Engine,35.9,23.3,12.6,87.4,2,3
Alex Iwobi,1718,Arsenal,ENG-Premier League,"MF,FW",21.0,1830,Creative Playmaker,Ball Progressor,38.2,23.4,14.8,85.2,2,1
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1503,Creative Playmaker,Ball Progressor,35.6,23.8,11.8,88.2,2,1
Alexis Sánchez,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,1043,Creative Playmaker,Ball Progressor,35.6,23.8,11.8,88.2,2,1
Granit Xhaka,1718,Arsenal,ENG-Premier League,MF,24.0,3260,Box-to-Box Engine,Defensive Anchor,37.9,21.6,16.3,83.7,3,0
Jack Wilshere,1718,Arsenal,ENG-Premier League,MF,25.0,1193,Box-to-Box Engine,Creative Playmaker,30.8,25.4,5.4,94.6,3,2
Mesut Özil,1718,Arsenal,ENG-Premier League,"MF,FW",28.0,2163,Creative Playmaker,Box-to-Box Engine,34.9,23.3,11.6,88.4,2,3
Andrew Surman,1718,Bournemouth,ENG-Premier League,MF,30.0,1856,Defensive Anchor,Box-to-Box Engine,29.8,29.1,0.7,99.3,0,3
Dan Gosling,1718,Bournemouth,ENG-Premier League,MF,27.0,1947,Defensive Anchor,Box-to-Box Engine,37.7,27.2,10.5,89.5,0,3
Harry Arter,1718,Bournemouth,ENG-Premier League,MF,27.0,960,Defensive Anchor,Box-to-Box Engine,34.4,27.6,6.8,93.2,0,3
Jordon Ibe,1718,Bournemouth,ENG-Premier League,"MF,FW",21.0,1995,Creative Playmaker,Ball Progressor,31.8,29.5,2.3,97.7,2,1
Junior Stanislas,1718,Bournemouth,ENG-Premier League,"MF,FW",27.0,1286,Creative Playmaker,Ball Progressor,33.0,29.6,3.4,96.6,2,1
Lewis Cook,1718,Bournemouth,ENG-Premier League,MF,20.0,2237,Box-to-Box Engine,Defensive Anchor,36.1,27.1,9.0,91.0,3,0
Marc Pugh,1718,Bournemouth,ENG-Premier League,"MF,FW",30.0,985,Ball Progressor,Creative Playmaker,30.5,25.8,4.7,95.3,1,2
Ryan Fraser,1718,Bournemouth,ENG-Premier League,"MF,DF",23.0,2004,Ball Progressor,Creative Playmaker,31.4,30.2,1.2,98.8,1,2
Anthony Knockaert,1718,Brighton,ENG-Premier League,"MF,FW",25.0,2421,Ball Progressor,Box-to-Box Engine,32.0,24.7,7.3,92.7,1,3
Dale Stephens,1718,Brighton,ENG-Premier League,MF,28.0,3240,Defensive Anchor,Box-to-Box Engine,39.8,26.0,13.8,86.2,0,3
Davy Pröpper,1718,Brighton,ENG-Premier League,MF,25.0,3119,Defensive Anchor,Box-to-Box Engine,43.5,23.4,20.1,79.9,0,3
José Izquierdo,1718,Brighton,ENG-Premier League,"MF,FW",25.0,1984,Ball Progressor,Creative Playmaker,33.8,25.1,8.7,91.3,1,2
Solly March,1718,Brighton,ENG-Premier League,"MF,FW",23.0,1851,Ball Progressor,Defensive Anchor,33.5,23.9,9.6,90.4,1,0
Aaron Lennon,1718,Burnley,ENG-Premier League,MF,30.0,1118,Ball Progressor,Defensive Anchor,34.5,26.0,8.5,91.5,1,0
Ashley Westwood,1718,Burnley,ENG-Premier League,MF,27.0,1111,Defensive Anchor,Box-to-Box Engine,38.4,24.8,13.6,86.4,0,3
Jack Cork,1718,Burnley,ENG-Premier League,MF,28.0,3420,Defensive Anchor,Ball Progressor,40.7,23.0,17.7,82.3,0,1
Jóhann Berg Guðmundsson,1718,Burnley,ENG-Premier League,MF,26.0,2833,Ball Progressor,Creative Playmaker,33.9,24.3,9.6,90.4,1,2
Robbie Brady,1718,Burnley,ENG-Premier League,MF,25.0,1277,Ball Progressor,Box-to-Box Engine,32.1,24.0,8.1,91.9,1,3
Scott Arfield,1718,Burnley,ENG-Premier League,"MF,FW",28.0,1333,Defensive Anchor,Ball Progressor,32.4,30.2,2.2,97.8,0,1
Steven Defour,1718,Burnley,ENG-Premier League,MF,29.0,1997,Defensive Anchor,Box-to-Box Engine,31.7,28.6,3.1,96.9,0,3
Cesc Fàbregas,1718,Chelsea,ENG-Premier League,MF,30.0,2306,Creative Playmaker,Box-to-Box Engine,30.4,27.8,2.6,97.4,2,3
N'Golo Kanté,1718,Chelsea,ENG-Premier League,MF,26.0,2994,Box-to-Box Engine,Defensive Anchor,33.5,25.7,7.8,92.2,3,0
Pedro,1718,Chelsea,ENG-Premier League,"MF,FW",30.0,1523,Creative Playmaker,Ball Progressor,30.1,29.6,0.5,99.5,2,1
Tiemoué Bakayoko,1718,Chelsea,ENG-Premier League,MF,22.0,2126,Defensive Anchor,Box-to-Box Engine,36.0,27.9,8.1,91.9,0,3
Willian,1718,Chelsea,ENG-Premier League,"MF,FW",28.0,1890,Creative Playmaker,Ball Progressor,40.6,22.5,18.1,81.9,2,1
James McArthur,1718,Crystal Palace,ENG-Premier League,MF,29.0,2431,Defensive Anchor,Ball Progressor,35.6,26.5,9.1,90.9,0,1
Luka Milivojević,1718,Crystal Palace,ENG-Premier League,MF,26.0,3080,Defensive Anchor,Box-to-Box Engine,33.0,27.4,5.6,94.4,0,3
Ruben Loftus-Cheek,1718,Crystal Palace,ENG-Premier League,MF,21.0,1874,Creative Playmaker,Ball Progressor,28.9,28.3,0.6,99.4,2,1
Yohan Cabaye,1718,Crystal Palace,ENG-Premier League,MF,31.0,2376,Defensive Anchor,Box-to-Box Engine,29.6,28.5,1.1,98.9,0,3
Gylfi Sigurðsson,1718,Everton,ENG-Premier League,"MF,FW",27.0,2259,Ball Progressor,Defensive Anchor,33.5,24.9,8.6,91.4,1,0
Idrissa Gana Gueye,1718,Everton,ENG-Premier League,MF,27.0,2750,Defensive Anchor,Box-to-Box Engine,35.4,27.1,8.3,91.7,0,3
Morgan Schneiderlin,1718,Everton,ENG-Premier League,MF,27.0,2130,Defensive Anchor,Box-to-Box Engine,38.4,24.5,13.9,86.1,0,3
Tom Davies,1718,Everton,ENG-Premier League,MF,19.0,1900,Defensive Anchor,Ball Progressor,31.6,30.8,0.8,99.2,0,1
Wayne Rooney,1718,Everton,ENG-Premier League,"MF,FW",31.0,2268,Ball Progressor,Creative Playmaker,30.7,24.3,6.4,93.6,1,2
Aaron Mooy,1718,Huddersfield,ENG-Premier League,MF,26.0,3067,Box-to-Box Engine,Defensive Anchor,38.8,25.0,13.8,86.2,3,0
Alex Pritchard,1718,Huddersfield,ENG-Premier League,"MF,FW",24.0,998,Ball Progressor,Creative Playmaker,32.9,24.6,8.3,91.7,1,2
Danny Williams,1718,Huddersfield,ENG-Premier League,MF,28.0,1124,Defensive Anchor,Ball Progressor,37.7,23.8,13.9,86.1,0,1
Jonathan Hogg,1718,Huddersfield,ENG-Premier League,MF,28.0,2398,Defensive Anchor,Box-to-Box Engine,36.1,26.6,9.5,90.5,0,3
Tom Ince,1718,Huddersfield,ENG-Premier League,"MF,FW",25.0,2452,Ball Progressor,Defensive Anchor,36.3,24.3,12.0,88.0,1,0
Demarai Gray,1718,Leicester City,ENG-Premier League,"MF,FW",21.0,1697,Ball Progressor,Creative Playmaker,32.0,27.8,4.2,95.8,1,2
Marc Albrighton,1718,Leicester City,ENG-Premier League,"MF,FW",27.0,2538,Ball Progressor,Box-to-Box Engine,33.6,24.3,9.3,90.7,1,3
Matty James,1718,Leicester City,ENG-Premier League,MF,26.0,993,Defensive Anchor,Ball Progressor,41.6,23.1,18.5,81.5,0,1
Riyad Mahrez,1718,Leicester City,ENG-Premier League,"MF,FW",26.0,2950,Creative Playmaker,Ball Progressor,43.9,22.5,21.4,78.6,2,1
Vicente Iborra,1718,Leicester City,ENG-Premier League,MF,29.0,1410,Defensive Anchor,Box-to-Box Engine,35.5,26.9,8.6,91.4,0,3
Wilfred Ndidi,1718,Leicester City,ENG-Premier League,MF,20.0,2896,Defensive Anchor,Box-to-Box Engine,34.7,27.1,7.6,92.4,0,3
Alex Oxlade-Chamberlain,1718,Liverpool,ENG-Premier League,"MF,FW",23.0,1493,Creative Playmaker,Box-to-Box Engine,35.6,23.4,12.2,87.8,2,3
Emre Can,1718,Liverpool,ENG-Premier League,MF,23.0,2091,Box-to-Box Engine,Defensive Anchor,34.9,23.1,11.8,88.2,3,0
Georginio Wijnaldum,1718,Liverpool,ENG-Premier League,MF,26.0,2387,Defensive Anchor,Ball Progressor,29.6,28.2,1.4,98.6,0,1
James Milner,1718,Liverpool,ENG-Premier League,MF,31.0,1775,Box-to-Box Engine,Creative Playmaker,30.0,26.1,3.9,96.1,3,2
Jordan Henderson,1718,Liverpool,ENG-Premier League,MF,27.0,2171,Box-to-Box Engine,Defensive Anchor,36.1,25.3,10.8,89.2,3,0
Philippe Coutinho,1718,Liverpool,ENG-Premier League,"MF,FW",25.0,1109,Creative Playmaker,Box-to-Box Engine,35.3,23.3,12.0,88.0,2,3
Philippe Coutinho,1718,Liverpool,ENG-Premier League,"MF,FW",25.0,1296,Creative Playmaker,Box-to-Box Engine,35.3,23.3,12.0,88.0,2,3
David Silva,1718,Manchester City,ENG-Premier League,MF,31.0,2430,Creative Playmaker,Box-to-Box Engine,34.3,24.4,9.9,90.1,2,3
Fernandinho,1718,Manchester City,ENG-Premier League,MF,32.0,2881,Box-to-Box Engine,Defensive Anchor,34.3,23.3,11.0,89.0,3,0
Kevin De Bruyne,1718,Manchester City,ENG-Premier League,MF,26.0,3073,Creative Playmaker,Box-to-Box Engine,33.4,25.3,8.1,91.9,2,3
İlkay Gündoğan,1718,Manchester City,ENG-Premier League,MF,26.0,1517,Box-to-Box Engine,Creative Playmaker,29.2,29.0,0.2,99.8,3,2
Ander Herrera,1718,Manchester Utd,ENG-Premier League,MF,27.0,1268,Box-to-Box Engine,Defensive Anchor,30.8,30.1,0.7,99.3,3,0
Henrikh Mkhitaryan,1718,Manchester Utd,ENG-Premier League,"MF,FW",28.0,922,Creative Playmaker,Ball Progressor,37.3,23.2,14.1,85.9,2,1
Jesse Lingard,1718,Manchester Utd,ENG-Premier League,"MF,FW",24.0,1817,Creative Playmaker,Ball Progressor,33.9,28.1,5.8,94.2,2,1
Nemanja Matić,1718,Manchester Utd,ENG-Premier League,MF,28.0,3118,Box-to-Box Engine,Defensive Anchor,33.7,28.2,5.5,94.5,3,0
Paul Pogba,1718,Manchester Utd,ENG-Premier League,MF,24.0,2148,Creative Playmaker,Box-to-Box Engine,31.1,27.3,3.8,96.2,2,3
Ayoze Pérez,1718,Newcastle Utd,ENG-Premier League,"MF,FW",24.0,2492,Ball Progressor,Creative Playmaker,39.1,22.6,16.5,83.5,1,2
Isaac Hayden,1718,Newcastle Utd,ENG-Premier League,MF,22.0,1374,Defensive Anchor,Ball Progressor,38.6,25.3,13.3,86.7,0,1
Jacob Murphy,1718,Newcastle Utd,ENG-Premier League,"MF,FW",22.0,1148,Ball Progressor,Creative Playmaker,34.2,22.9,11.3,88.7,1,2
Jonjo Shelvey,1718,Newcastle Utd,ENG-Premier League,MF,25.0,2268,Box-to-Box Engine,Defensive Anchor,37.9,24.0,13.9,86.1,3,0
Kenedy,1718,Newcastle Utd,ENG-Premier League,"MF,DF",21.0,1023,Ball Progressor,Box-to-Box Engine,31.0,23.5,7.5,92.5,1,3
Matt Ritchie,1718,Newcastle Utd,ENG-Premier League,"MF,FW",27.0,2804,Ball Progressor,Defensive Anchor,37.1,21.7,15.4,84.6,1,0
Mikel Merino,1718,Newcastle Utd,ENG-Premier League,MF,21.0,1347,Box-to-Box Engine,Defensive Anchor,31.7,28.8,2.9,97.1,3,0
Mohamed Diamé,1718,Newcastle Utd,ENG-Premier League,MF,30.0,2041,Defensive Anchor,Box-to-Box Engine,37.6,24.2,13.4,86.6,0,3
Dušan Tadić,1718,Southampton,ENG-Premier League,"MF,FW",28.0,2791,Creative Playmaker,Ball Progressor,33.9,27.0,6.9,93.1,2,1
Mario Lemina,1718,Southampton,ENG-Premier League,MF,23.0,1720,Defensive Anchor,Box-to-Box Engine,31.6,29.1,2.5,97.5,0,3
Oriol Romeu,1718,Southampton,ENG-Premier League,MF,25.0,2897,Defensive Anchor,Box-to-Box Engine,33.8,29.5,4.3,95.7,0,3
Pierre Højbjerg,1718,Southampton,ENG-Premier League,MF,21.0,1670,Defensive Anchor,Box-to-Box Engine,35.2,29.0,6.2,93.8,0,3
Steven Davis,1718,Southampton,ENG-Premier League,MF,32.0,1521,Box-to-Box Engine,Defensive Anchor,35.7,23.6,12.1,87.9,3,0
Badou Ndiaye,1718,Stoke City,ENG-Premier League,MF,26.0,1138,Defensive Anchor,Box-to-Box Engine,34.2,24.8,9.4,90.6,0,3
Darren Fletcher,1718,Stoke City,ENG-Premier League,MF,33.0,2219,Defensive Anchor,Ball Progressor,36.7,24.3,12.4,87.6,0,1
Joe Allen,1718,Stoke City,ENG-Premier League,MF,27.0,3139,Defensive Anchor,Box-to-Box Engine,35.1,26.5,8.6,91.4,0,3
Ramadan Sobhi,1718,Stoke City,ENG-Premier League,"MF,FW",20.0,1238,Ball Progressor,Box-to-Box Engine,31.0,23.4,7.6,92.4,1,3
Xherdan Shaqiri,1718,Stoke City,ENG-Premier League,"MF,FW",25.0,3039,Creative Playmaker,Ball Progressor,34.9,27.4,7.5,92.5,2,1
André Ayew,1718,Swansea City,ENG-Premier League,"MF,FW",27.0,950,Ball Progressor,Defensive Anchor,36.8,24.3,12.5,87.5,1,0
Ki Sung-yueng,1718,Swansea City,ENG-Premier League,MF,28.0,1868,Defensive Anchor,Ball Progressor,30.8,28.9,1.9,98.1,0,1
Leroy Fer,1718,Swansea City,ENG-Premier League,MF,27.0,1397,Defensive Anchor,Box-to-Box Engine,36.9,24.2,12.7,87.3,0,3
Nathan Dyer,1718,Swansea City,ENG-Premier League,"MF,FW",29.0,1307,Ball Progressor,Defensive Anchor,32.7,22.7,10.0,90.0,1,0
Sam Clucas,1718,Swansea City,ENG-Premier League,MF,26.0,2044,Defensive Anchor,Ball Progressor,36.6,28.1,8.5,91.5,0,1
Tom Carroll,1718,Swansea City,ENG-Premier League,MF,25.0,2570,Box-to-Box Engine,Ball Progressor,31.5,25.4,6.1,93.9,3,1
Christian Eriksen,1718,Tottenham,ENG-Premier League,"MF,FW",25.0,3218,Creative Playmaker,Box-to-Box Engine,36.9,24.2,12.7,87.3,2,3
Dele Alli,1718,Tottenham,ENG-Premier League,"MF,FW",21.0,2958,Creative Playmaker,Ball Progressor,38.8,25.7,13.1,86.9,2,1
Eric Dier,1718,Tottenham,ENG-Premier League,"MF,DF",23.0,2824,Box-to-Box Engine,Defensive Anchor,31.6,31.5,0.1,99.9,3,0
Mousa Dembélé,1718,Tottenham,ENG-Premier League,MF,30.0,1879,Box-to-Box Engine,Defensive Anchor,33.0,25.8,7.2,92.8,3,0
Moussa Sissoko,1718,Tottenham,ENG-Premier League,"MF,FW",27.0,1402,Ball Progressor,Creative Playmaker,27.4,26.8,0.6,99.4,1,2
Abdoulaye Doucouré,1718,Watford,ENG-Premier League,MF,24.0,3324,Box-to-Box Engine,Defensive Anchor,36.0,26.2,9.8,90.2,3,0
Roberto Pereyra,1718,Watford,ENG-Premier League,"MF,FW",26.0,1624,Creative Playmaker,Ball Progressor,34.2,28.8,5.4,94.6,2,1
Tom Cleverley,1718,Watford,ENG-Premier League,MF,27.0,1901,Box-to-Box Engine,Defensive Anchor,31.8,26.8,5.0,95.0,3,0
Will Hughes,1718,Watford,ENG-Premier League,MF,22.0,990,Ball Progressor,Box-to-Box Engine,28.3,25.7,2.6,97.4,1,3
Étienne Capoue,1718,Watford,ENG-Premier League,MF,29.0,1542,Defensive Anchor,Box-to-Box Engine,38.7,25.4,13.3,86.7,0,3
Chris Brunt,1718,West Brom,ENG-Premier League,"MF,DF",32.0,1920,Box-to-Box Engine,Defensive Anchor,30.3,25.2,5.1,94.9,3,0
Claudio Yacob,1718,West Brom,ENG-Premier League,MF,30.0,903,Defensive Anchor,Box-to-Box Engine,36.5,24.5,12.0,88.0,0,3
Gareth Barry,1718,West Brom,ENG-Premier League,MF,36.0,1923,Defensive Anchor,Box-to-Box Engine,33.7,26.7,7.0,93.0,0,3
Grzegorz Krychowiak,1718,West Brom,ENG-Premier League,MF,27.0,1641,Defensive Anchor,Box-to-Box Engine,36.9,27.1,9.8,90.2,0,3
Jake Livermore,1718,West Brom,ENG-Premier League,MF,27.0,2674,Defensive Anchor,Ball Progressor,40.9,23.7,17.2,82.8,0,1
James McClean,1718,West Brom,ENG-Premier League,"MF,FW",28.0,1406,Ball Progressor,Defensive Anchor,32.7,25.2,7.5,92.5,1,0
Matt Phillips,1718,West Brom,ENG-Premier League,"MF,DF",26.0,2093,Ball Progressor,Creative Playmaker,34.8,22.6,12.2,87.8,1,2
André Ayew,1718,West Ham,ENG-Premier League,"MF,FW",27.0,950,Ball Progressor,Defensive Anchor,30.8,25.2,5.6,94.4,1,0
Cheikhou Kouyaté,1718,West Ham,ENG-Premier League,MF,27.0,2799,Defensive Anchor,Ball Progressor,39.8,25.2,14.6,85.4,0,1
João Mário,1718,West Ham,ENG-Premier League,MF,24.0,1022,Ball Progressor,Creative Playmaker,33.9,23.9,10.0,90.0,1,2
Manuel Lanzini,1718,West Ham,ENG-Premier League,"MF,FW",24.0,2042,Creative Playmaker,Box-to-Box Engine,30.0,26.7,3.3,96.7,2,3
Mark Noble,1718,West Ham,ENG-Premier League,MF,30.0,2400,Defensive Anchor,Box-to-Box Engine,34.5,28.3,6.2,93.8,0,3
Pedro Obiang,1718,West Ham,ENG-Premier League,MF,25.0,1563,Defensive Anchor,Box-to-Box Engine,35.8,25.9,9.9,90.1,0,3
Aaron Ramsey,1819,Arsenal,ENG-Premier League,MF,27.0,1331,Creative Playmaker,Ball Progressor,35.6,25.5,10.1,89.9,2,1
Granit Xhaka,1819,Arsenal,ENG-Premier League,"MF,DF",25.0,2498,Box-to-Box Engine,Defensive Anchor,38.4,22.7,15.7,84.3,3,0
Lucas Torreira,1819,Arsenal,ENG-Premier League,MF,22.0,2382,Defensive Anchor,Box-to-Box Engine,33.6,31.5,2.1,97.9,0,3
Mattéo Guendouzi,1819,Arsenal,ENG-Premier League,MF,19.0,2149,Box-to-Box Engine,Defensive Anchor,35.5,24.4,11.1,88.9,3,0
Mesut Özil,1819,Arsenal,ENG-Premier League,"MF,FW",29.0,1735,Creative Playmaker,Ball Progressor,39.6,22.9,16.7,83.3,2,1
Andrew Surman,1819,Bournemouth,ENG-Premier League,MF,31.0,1439,Defensive Anchor,Box-to-Box Engine,34.2,25.1,9.1,90.9,0,3
Dan Gosling,1819,Bournemouth,ENG-Premier League,MF,28.0,1739,Defensive Anchor,Box-to-Box Engine,36.7,27.2,9.5,90.5,0,3
David Brooks,1819,Bournemouth,ENG-Premier League,"MF,FW",21.0,2261,Ball Progressor,Creative Playmaker,31.9,29.4,2.5,97.5,1,2
Jefferson Lerma,1819,Bournemouth,ENG-Premier League,MF,23.0,2506,Defensive Anchor,Box-to-Box Engine,38.2,26.7,11.5,88.5,0,3
Junior Stanislas,1819,Bournemouth,ENG-Premier League,"MF,FW",28.0,1031,Creative Playmaker,Ball Progressor,36.8,27.4,9.4,90.6,2,1
Ryan Fraser,1819,Bournemouth,ENG-Premier League,"MF,FW",24.0,3166,Creative Playmaker,Ball Progressor,39.7,24.8,14.9,85.1,2,1
Anthony Knockaert,1819,Brighton,ENG-Premier League,"MF,FW",26.0,1837,Ball Progressor,Creative Playmaker,30.6,24.0,6.6,93.4,1,2
Beram Kayal,1819,Brighton,ENG-Premier League,MF,30.0,940,Defensive Anchor,Ball Progressor,39.5,24.5,15.0,85.0,0,1
Dale Stephens,1819,Brighton,ENG-Premier League,MF,29.0,2485,Defensive Anchor,Box-to-Box Engine,42.4,24.3,18.1,81.9,0,3
Davy Pröpper,1819,Brighton,ENG-Premier League,MF,26.0,2546,Defensive Anchor,Box-to-Box Engine,38.9,25.0,13.9,86.1,0,3
Pascal Groß,1819,Brighton,ENG-Premier League,"MF,FW",27.0,1864,Creative Playmaker,Ball Progressor,30.1,29.6,0.5,99.5,2,1
Yves Bissouma,1819,Brighton,ENG-Premier League,MF,21.0,1774,Defensive Anchor,Box-to-Box Engine,34.0,26.7,7.3,92.7,0,3
Aaron Lennon,1819,Burnley,ENG-Premier League,MF,31.0,1215,Ball Progressor,Defensive Anchor,31.6,28.1,3.5,96.5,1,0
Ashley Westwood,1819,Burnley,ENG-Premier League,MF,28.0,2824,Defensive Anchor,Box-to-Box Engine,30.2,29.6,0.6,99.4,0,3
Dwight McNeil,1819,Burnley,ENG-Premier League,MF,18.0,1591,Ball Progressor,Box-to-Box Engine,30.7,24.0,6.7,93.3,1,3
Jack Cork,1819,Burnley,ENG-Premier League,MF,29.0,3312,Defensive Anchor,Ball Progressor,37.7,25.6,12.1,87.9,0,1
Jeff Hendrick,1819,Burnley,ENG-Premier League,"MF,FW",26.0,2063,Ball Progressor,Defensive Anchor,32.8,29.2,3.6,96.4,1,0
Jóhann Berg Guðmundsson,1819,Burnley,ENG-Premier League,MF,27.0,1752,Ball Progressor,Creative Playmaker,32.0,25.1,6.9,93.1,1,2
Aron Gunnarsson,1819,Cardiff City,ENG-Premier League,MF,29.0,2266,Defensive Anchor,Box-to-Box Engine,40.7,22.9,17.8,82.2,0,3
Harry Arter,1819,Cardiff City,ENG-Premier League,MF,28.0,1997,Defensive Anchor,Ball Progressor,35.3,26.4,8.9,91.1,0,1
Joe Ralls,1819,Cardiff City,ENG-Premier League,MF,24.0,1959,Defensive Anchor,Box-to-Box Engine,34.0,26.6,7.4,92.6,0,3
Josh Murphy,1819,Cardiff City,ENG-Premier League,"MF,FW",23.0,1817,Ball Progressor,Creative Playmaker,35.3,23.2,12.1,87.9,1,2
Junior Hoilett,1819,Cardiff City,ENG-Premier League,"MF,FW",28.0,2141,Ball Progressor,Defensive Anchor,35.9,25.4,10.5,89.5,1,0
Nathaniel Mendez-Laing,1819,Cardiff City,ENG-Premier League,"MF,FW",26.0,985,Ball Progressor,Creative Playmaker,29.3,27.5,1.8,98.2,1,2
Víctor Camarasa,1819,Cardiff City,ENG-Premier League,MF,24.0,2569,Ball Progressor,Defensive Anchor,34.5,22.8,11.7,88.3,1,0
Cesc Fàbregas,1819,Chelsea,ENG-Premier League,MF,31.0,966,Box-to-Box Engine,Creative Playmaker,28.5,25.5,3.0,97.0,3,2
Jorginho,1819,Chelsea,ENG-Premier League,MF,26.0,3156,Box-to-Box Engine,Defensive Anchor,35.9,25.2,10.7,89.3,3,0
Mateo Kovačić,1819,Chelsea,ENG-Premier League,MF,24.0,1735,Box-to-Box Engine,Ball Progressor,35.5,22.3,13.2,86.8,3,1
N'Golo Kanté,1819,Chelsea,ENG-Premier League,MF,27.0,3092,Box-to-Box Engine,Ball Progressor,31.6,25.9,5.7,94.3,3,1
Ross Barkley,1819,Chelsea,ENG-Premier League,MF,24.0,1245,Box-to-Box Engine,Creative Playmaker,28.1,27.9,0.2,99.8,3,2
Ruben Loftus-Cheek,1819,Chelsea,ENG-Premier League,"MF,FW",22.0,998,Creative Playmaker,Ball Progressor,30.0,25.6,4.4,95.6,2,1
Cheikhou Kouyaté,1819,Crystal Palace,ENG-Premier League,MF,28.0,1899,Defensive Anchor,Ball Progressor,41.8,23.4,18.4,81.6,0,1
James McArthur,1819,Crystal Palace,ENG-Premier League,MF,30.0,3058,Defensive Anchor,Ball Progressor,32.1,27.1,5.0,95.0,0,1
Jeffrey Schlupp,1819,Crystal Palace,ENG-Premier League,"MF,FW",25.0,1670,Ball Progressor,Defensive Anchor,33.6,27.4,6.2,93.8,1,0
Luka Milivojević,1819,Crystal Palace,ENG-Premier League,MF,27.0,3420,Box-to-Box Engine,Defensive Anchor,28.3,28.0,0.3,99.7,3,0
Max Meyer,1819,Crystal Palace,ENG-Premier League,MF,22.0,1416,Ball Progressor,Box-to-Box Engine,31.5,24.7,6.8,93.2,1,3
André Gomes,1819,Everton,ENG-Premier League,MF,25.0,1980,Box-to-Box Engine,Defensive Anchor,31.7,31.3,0.4,99.6,3,0
Gylfi Sigurðsson,1819,Everton,ENG-Premier League,MF,28.0,3117,Creative Playmaker,Ball Progressor,30.1,29.4,0.7,99.3,2,1
Idrissa Gana Gueye,1819,Everton,ENG-Premier League,MF,28.0,2822,Defensive Anchor,Box-to-Box Engine,32.4,30.3,2.1,97.9,0,3
Tom Davies,1819,Everton,ENG-Premier League,MF,20.0,980,Defensive Anchor,Box-to-Box Engine,39.4,24.9,14.5,85.5,0,3
Andre-Frank Zambo Anguissa,1819,Fulham,ENG-Premier League,MF,22.0,1517,Defensive Anchor,Box-to-Box Engine,32.7,31.0,1.7,98.3,0,3
Calum Chambers,1819,Fulham,ENG-Premier League,"MF,DF",23.0,2588,Defensive Anchor,Box-to-Box Engine,38.0,26.3,11.7,88.3,0,3
Jean Seri,1819,Fulham,ENG-Premier League,MF,27.0,2244,Box-to-Box Engine,Defensive Anchor,35.0,23.4,11.6,88.4,3,0
Tom Cairney,1819,Fulham,ENG-Premier League,"MF,FW",27.0,2194,Box-to-Box Engine,Ball Progressor,30.2,27.2,3.0,97.0,3,1
Aaron Mooy,1819,Huddersfield,ENG-Premier League,"MF,FW",27.0,2330,Box-to-Box Engine,Ball Progressor,31.0,26.3,4.7,95.3,3,1
Alex Pritchard,1819,Huddersfield,ENG-Premier League,"MF,FW",25.0,2081,Ball Progressor,Creative Playmaker,36.4,23.2,13.2,86.8,1,2
Jonathan Hogg,1819,Huddersfield,ENG-Premier League,MF,29.0,2367,Defensive Anchor,Box-to-Box Engine,34.6,27.7,6.9,93.1,0,3
Juninho Bacuna,1819,Huddersfield,ENG-Premier League,"MF,DF",20.0,1412,Defensive Anchor,Box-to-Box Engine,32.9,30.6,2.3,97.7,0,3
Philip Billing,1819,Huddersfield,ENG-Premier League,MF,22.0,2188,Defensive Anchor,Box-to-Box Engine,31.7,28.1,3.6,96.4,0,3
Adrien Silva,1819,Leicester City,ENG-Premier League,MF,29.0,1184,Box-to-Box Engine,Defensive Anchor,28.9,28.3,0.6,99.4,3,0
Harvey Barnes,1819,Leicester City,ENG-Premier League,"MF,FW",20.0,1004,Creative Playmaker,Ball Progressor,31.1,28.3,2.8,97.2,2,1
James Maddison,1819,Leicester City,ENG-Premier League,"MF,FW",21.0,2831,Creative Playmaker,Ball Progressor,36.7,24.1,12.6,87.4,2,1
Nampalys Mendy,1819,Leicester City,ENG-Premier League,MF,26.0,2092,Defensive Anchor,Box-to-Box Engine,39.7,23.4,16.3,83.7,0,3
Vicente Iborra,1819,Leicester City,ENG-Premier League,MF,30.0,1665,Defensive Anchor,Box-to-Box Engine,32.9,27.4,5.5,94.5,0,3
Wilfred Ndidi,1819,Leicester City,ENG-Premier League,MF,21.0,3296,Defensive Anchor,Box-to-Box Engine,34.5,28.1,6.4,93.6,0,3
Youri Tielemans,1819,Leicester City,ENG-Premier League,MF,21.0,1086,Box-to-Box Engine,Ball Progressor,29.0,27.0,2.0,98.0,3,1
Youri Tielemans,1819,Leicester City,ENG-Premier League,MF,21.0,1680,Box-to-Box Engine,Ball Progressor,29.0,27.0,2.0,98.0,3,1
Fabinho,1819,Liverpool,ENG-Premier League,MF,24.0,2017,Box-to-Box Engine,Defensive Anchor,33.8,30.1,3.7,96.3,3,0
Georginio Wijnaldum,1819,Liverpool,ENG-Premier League,MF,27.0,2725,Box-to-Box Engine,Defensive Anchor,29.3,28.5,0.8,99.2,3,0
James Milner,1819,Liverpool,ENG-Premier League,"MF,DF",32.0,1789,Creative Playmaker,Box-to-Box Engine,29.8,27.8,2.0,98.0,2,3
