player,season,team,role,similar_player,similar_team,similar_league,similar_season,similar_pos,similarity_score,rank
Angelo Fulgini,1819,Angers,Ball Progressor,Ilias Akhomach,Villarreal,ESP-La Liga,2324,"MF,FW",70.2,5
Angelo Fulgini,1920,Angers,Box-to-Box Engine,Renato Sanches,Lille,FRA-Ligue 1,2122,"MF,FW",76.1,1
Angelo Fulgini,1920,Angers,Box-to-Box Engine,Curtis Jones,Liverpool,ENG-Premier League,2021,MF,73.6,2
Angelo Fulgini,1920,Angers,Box-to-Box Engine,Jack Wilshere,Arsenal,ENG-Premier League,1718,MF,69.8,3
Angelo Fulgini,1920,Angers,Box-to-Box Engine,Mattéo Guendouzi,Marseille,FRA-Ligue 1,2223,MF,68.7,4
Angelo Fulgini,1920,Angers,Box-to-Box Engine,Sofian Kiyine,Venezia,ITA-Serie A,2122,"MF,FW",67.4,5
Angelo Fulgini,2021,Angers,Creative Playmaker,Houssem Aouar,Lyon,FRA-Ligue 1,2122,"MF,FW",88.9,1
Angelo Fulgini,2021,Angers,Creative Playmaker,Piotr Zieliński,Napoli,ITA-Serie A,1819,MF,88.0,2
Angelo Fulgini,2021,Angers,Creative Playmaker,Hakan Çalhanoğlu,Milan,ITA-Serie A,1920,"MF,FW",87.7,3
Angelo Fulgini,2021,Angers,Creative Playmaker,Muhammed Cham,Clermont Foot,FRA-Ligue 1,2324,"MF,FW",87.5,4
Angelo Fulgini,2021,Angers,Creative Playmaker,Rade Krunić,Empoli,ITA-Serie A,1819,MF,87.5,5
Angelo Fulgini,2122,Angers,Ball Progressor,Lewis Ferguson,Bologna,ITA-Serie A,2324,MF,89.2,1
Angelo Fulgini,2122,Angers,Ball Progressor,Aimar Oroz,Osasuna,ESP-La Liga,2425,MF,85.9,2
Angelo Fulgini,2122,Angers,Ball Progressor,Nikola Vlašić,Torino,ITA-Serie A,2223,"MF,FW",85.5,3
Angelo Fulgini,2122,Angers,Ball Progressor,Diego López,Valencia,ESP-La Liga,2324,"MF,FW",83.5,4
Angelo Fulgini,2122,Angers,Ball Progressor,Morgan Gibbs-White,Nott'ham Forest,ENG-Premier League,2425,MF,82.9,5
Angelo Fulgini,2324,Lens,Creative Playmaker,Pascal Groß,Brighton,ENG-Premier League,1920,"MF,FW",84.9,1
Angelo Fulgini,2324,Lens,Creative Playmaker,Adrien Thomasson,Lens,FRA-Ligue 1,2324,MF,84.1,2
Angelo Fulgini,2324,Lens,Creative Playmaker,Emil Forsberg,RB Leipzig,GER-Bundesliga,1718,MF,83.2,3
Angelo Fulgini,2324,Lens,Creative Playmaker,Aleksei Miranchuk,Atalanta,ITA-Serie A,2324,"MF,FW",82.5,4
Angelo Fulgini,2324,Lens,Creative Playmaker,Nabil Fekir,Betis,ESP-La Liga,2324,"MF,FW",81.9,5
Angelo Fulgini,2425,Lens,Creative Playmaker,Mario Götze,Dortmund,GER-Bundesliga,1718,MF,88.4,1
Angelo Fulgini,2425,Lens,Creative Playmaker,Hakim Ziyech,Chelsea,ENG-Premier League,2122,"MF,FW",87.4,2
Angelo Fulgini,2425,Lens,Creative Playmaker,Junior Stanislas,Bournemouth,ENG-Premier League,1819,"MF,FW",85.6,3
Angelo Fulgini,2425,Lens,Creative Playmaker,Aleksei Miranchuk,Atalanta,ITA-Serie A,2324,"MF,FW",85.5,4
Angelo Fulgini,2425,Lens,Creative Playmaker,Nabil Fekir,Betis,ESP-La Liga,2324,"MF,FW",85.3,5
Angelo Stiller,2122,Hoffenheim,Defensive Anchor,Aljoscha Kemlein,Union Berlin,GER-Bundesliga,2425,MF,73.5,1
Angelo Stiller,2122,Hoffenheim,Defensive Anchor,Assane Dioussé,Saint-Étienne,FRA-Ligue 1,1718,MF,71.9,2
Angelo Stiller,2122,Hoffenheim,Defensive Anchor,Gianluca Busio,Venezia,ITA-Serie A,2122,MF,70.0,3
Angelo Stiller,2122,Hoffenheim,Defensive Anchor,Yehor Yarmoliuk,Brentford,ENG-Premier League,2425,MF,68.9,4
Angelo Stiller,2122,Hoffenheim,Defensive Anchor,Tyler Adams,RB Leipzig,GER-Bundesliga,2122,MF,68.5,5
Angelo Stiller,2324,Stuttgart,Box-to-Box Engine,Manuel Locatelli,Sassuolo,ITA-Serie A,1920,MF,88.2,1
Angelo Stiller,2324,Hoffenheim,Ball Progressor,Teun Koopmeiners,Juventus,ITA-Serie A,2425,"MF,FW",59.3,2
Angelo Stiller,2324,Hoffenheim,Ball Progressor,Gerson,Fiorentina,ITA-Serie A,1819,"MF,FW",57.4,3
Angelo Stiller,2324,Stuttgart,Box-to-Box Engine,Joan Jordán,Sevilla,ESP-La Liga,2021,MF,82.1,4
Angelo Stiller,2324,Stuttgart,Box-to-Box Engine,Koke,Atlético Madrid,ESP-La Liga,1718,MF,82.1,5
Angelo Stiller,2425,Stuttgart,Box-to-Box Engine,Joshua Kimmich,Bayern Munich,GER-Bundesliga,1920,"MF,DF",88.0,1
Angelo Stiller,2425,Stuttgart,Box-to-Box Engine,Angel Gomes,Lille,FRA-Ligue 1,2324,MF,86.6,2
Angelo Stiller,2425,Stuttgart,Box-to-Box Engine,Joan Jordán,Sevilla,ESP-La Liga,2021,MF,82.5,3
Angelo Stiller,2425,Stuttgart,Box-to-Box Engine,Pedri,Barcelona,ESP-La Liga,2425,MF,80.3,4
Angelo Stiller,2425,Stuttgart,Box-to-Box Engine,Aleix García,Girona,ESP-La Liga,2324,MF,78.9,5
Ansgar Knauff,2324,Eint Frankfurt,Ball Progressor,Yeremi Pino,Villarreal,ESP-La Liga,2122,"MF,FW",88.4,1
Ansgar Knauff,2324,Eint Frankfurt,Ball Progressor,Paul Nebel,Mainz 05,GER-Bundesliga,2425,MF,85.1,2
Ansgar Knauff,2324,Eint Frankfurt,Ball Progressor,Jesper Lindstrøm,Eint Frankfurt,GER-Bundesliga,2223,"MF,FW",84.9,3
Ansgar Knauff,2324,Eint Frankfurt,Ball Progressor,Ritsu Doan,Freiburg,GER-Bundesliga,2223,"MF,FW",84.8,4
Ansgar Knauff,2324,Eint Frankfurt,Ball Progressor,Anthony Gordon,Everton,ENG-Premier League,2122,"MF,FW",84.8,5
Ansgar Knauff,2425,Eint Frankfurt,Creative Playmaker,Viktor Tsyhankov,Girona,ESP-La Liga,2324,"MF,FW",86.1,1
Ansgar Knauff,2425,Eint Frankfurt,Creative Playmaker,Armand Lauriente,Lorient,FRA-Ligue 1,2021,"MF,FW",85.7,2
Ansgar Knauff,2425,Eint Frankfurt,Creative Playmaker,Jean Mattéo Bahoya,Eint Frankfurt,GER-Bundesliga,2425,"MF,FW",85.2,3
Ansgar Knauff,2425,Eint Frankfurt,Creative Playmaker,Jamal Musiala,Bayern Munich,GER-Bundesliga,2324,"MF,FW",84.9,4
Ansgar Knauff,2425,Eint Frankfurt,Creative Playmaker,Ihlas Bebou,Hannover 96,GER-Bundesliga,1718,"MF,FW",84.9,5
Anthony Gonçalves,1718,Strasbourg,Ball Progressor,Marcos Llorente,Atlético Madrid,ESP-La Liga,2223,"MF,DF",76.6,1
Anthony Gonçalves,1718,Strasbourg,Ball Progressor,Portu,Getafe,ESP-La Liga,2223,"MF,DF",76.3,2
Anthony Gonçalves,1718,Strasbourg,Ball Progressor,Franco Cervi,Celta Vigo,ESP-La Liga,2223,"MF,DF",74.0,3
Anthony Gonçalves,1718,Strasbourg,Ball Progressor,Denis Cheryshev,Valencia,ESP-La Liga,2021,MF,69.4,4
Anthony Gonçalves,1718,Strasbourg,Ball Progressor,James McClean,West Brom,ENG-Premier League,1718,"MF,FW",69.0,5
Anthony Gonçalves,1819,Strasbourg,Ball Progressor,Luis Muriel,Sevilla,ESP-La Liga,1819,"MF,FW",74.4,1
Anthony Gonçalves,1819,Strasbourg,Ball Progressor,Nathaniel Mendez-Laing,Cardiff City,ENG-Premier League,1819,"MF,FW",73.0,2
Anthony Gonçalves,1819,Strasbourg,Ball Progressor,Adrien Thomasson,Lens,FRA-Ligue 1,2223,"MF,FW",72.1,3
Anthony Gonçalves,1819,Strasbourg,Ball Progressor,Iván Sánchez,Valladolid,ESP-La Liga,2425,"MF,FW",68.3,4
Anthony Gonçalves,1819,Strasbourg,Ball Progressor,Alberto Perea,Cádiz,ESP-La Liga,2021,MF,67.8,5
Anthony Gordon,2122,Everton,Ball Progressor,Jacob Ramsey,Aston Villa,ENG-Premier League,2223,"MF,FW",87.5,1
Anthony Gordon,2122,Everton,Ball Progressor,Ritsu Doan,Arminia,GER-Bundesliga,2021,"MF,FW",85.6,2
Anthony Gordon,2122,Everton,Ball Progressor,Ansgar Knauff,Eint Frankfurt,GER-Bundesliga,2324,"MF,DF",84.8,3
Anthony Gordon,2122,Everton,Ball Progressor,Alfonso Pedraza,Alavés,ESP-La Liga,1718,"MF,DF",84.0,4
Anthony Gordon,2122,Everton,Ball Progressor,Félix Lemaréchal,Strasbourg,FRA-Ligue 1,2425,"MF,FW",81.2,5
Anthony Knockaert,1718,Brighton,Ball Progressor,Nathan Redmond,Southampton,ENG-Premier League,1920,"MF,FW",89.9,1
Anthony Knockaert,1718,Brighton,Ball Progressor,Gaetano Castrovilli,Fiorentina,ITA-Serie A,1920,MF,86.0,2
Anthony Knockaert,1718,Brighton,Ball Progressor,Seko Fofana,Lens,FRA-Ligue 1,2122,MF,82.4,3
Anthony Knockaert,1718,Brighton,Ball Progressor,Daniel Bessa,Genoa,ITA-Serie A,1819,MF,79.2,4
Anthony Knockaert,1718,Brighton,Ball Progressor,Junior Messias,Crotone,ITA-Serie A,2021,"MF,FW",78.4,5
Anthony Knockaert,1819,Brighton,Ball Progressor,Jóhann Berg Guðmundsson,Burnley,ENG-Premier League,1819,MF,77.7,1
Anthony Knockaert,1819,Brighton,Ball Progressor,Matt Phillips,West Brom,ENG-Premier League,1718,"MF,DF",68.7,2
Anthony Knockaert,1819,Brighton,Ball Progressor,Jamie Leweling,Stuttgart,GER-Bundesliga,2425,"MF,FW",67.3,3
Anthony Knockaert,1819,Brighton,Ball Progressor,Dominick Drexler,Köln,GER-Bundesliga,1920,"MF,FW",65.4,4
Anthony Knockaert,1819,Brighton,Ball Progressor,Federico Bernardeschi,Juventus,ITA-Serie A,1920,"MF,FW",65.2,5
Anthony Losilla,2122,Bochum,Defensive Anchor,Fernando,Sevilla,ESP-La Liga,1920,MF,93.7,1
Anthony Losilla,2122,Bochum,Defensive Anchor,Papakouli Diop,Eibar,ESP-La Liga,2021,MF,93.6,2
Anthony Losilla,2122,Bochum,Defensive Anchor,Nicolas Höfler,Freiburg,GER-Bundesliga,2223,MF,93.2,3
Anthony Losilla,2122,Bochum,Defensive Anchor,Oier Sanjurjo,Osasuna,ESP-La Liga,1920,MF,91.2,4
Anthony Losilla,2122,Bochum,Defensive Anchor,Albin Ekdal,Sampdoria,ITA-Serie A,2021,MF,91.0,5
Anthony Losilla,2223,Bochum,Defensive Anchor,Oier Sanjurjo,Osasuna,ESP-La Liga,1920,MF,92.1,1
Anthony Losilla,2223,Bochum,Defensive Anchor,Juraj Kucka,Watford,ENG-Premier League,2122,MF,89.3,2
Anthony Losilla,2223,Bochum,Defensive Anchor,Idrissa Gana Gueye,Everton,ENG-Premier League,2425,MF,88.6,3
Anthony Losilla,2223,Bochum,Defensive Anchor,Tomás Rincón,Sampdoria,ITA-Serie A,2223,MF,88.3,4
Anthony Losilla,2223,Bochum,Defensive Anchor,Papakouli Diop,Eibar,ESP-La Liga,1920,MF,87.9,5
Anthony Losilla,2324,Bochum,Defensive Anchor,Tomás Rincón,Sampdoria,ITA-Serie A,2223,MF,91.1,1
Anthony Losilla,2324,Bochum,Defensive Anchor,Papakouli Diop,Eibar,ESP-La Liga,1920,MF,90.5,2
Anthony Losilla,2324,Bochum,Defensive Anchor,Adam Bodzek,Düsseldorf,GER-Bundesliga,1920,MF,90.0,3
Anthony Losilla,2324,Bochum,Defensive Anchor,Jackson Irvine,St. Pauli,GER-Bundesliga,2425,MF,89.8,4
Anthony Losilla,2324,Bochum,Defensive Anchor,Manu García,Alavés,ESP-La Liga,1920,MF,88.6,5
Anthony Losilla,2425,Bochum,Defensive Anchor,Milan Badelj,Genoa,ITA-Serie A,2425,MF,89.2,1
Anthony Losilla,2425,Bochum,Defensive Anchor,Antonino Barillà,Parma,ITA-Serie A,1920,MF,88.5,2
Anthony Losilla,2425,Bochum,Defensive Anchor,Francis Coquelin,Villarreal,ESP-La Liga,2324,MF,87.0,3
Anthony Losilla,2425,Bochum,Defensive Anchor,Norman Theuerkauf,Heidenheim,GER-Bundesliga,2324,"MF,DF",87.0,4
Anthony Losilla,2425,Bochum,Defensive Anchor,Yannick Cahuzac,Toulouse,FRA-Ligue 1,1718,MF,86.1,5
Antoine Joujou,2425,Le Havre,Ball Progressor,Filippo Melegoni,Genoa,ITA-Serie A,2122,"MF,FW",83.9,1
Antoine Joujou,2425,Le Havre,Ball Progressor,Ander Barrenetxea,Real Sociedad,ESP-La Liga,2425,"MF,FW",82.2,2
Antoine Joujou,2425,Le Havre,Ball Progressor,Brian Ocampo,Cádiz,ESP-La Liga,2223,"MF,FW",81.8,3
Antoine Joujou,2425,Le Havre,Ball Progressor,Antonio Nusa,RB Leipzig,GER-Bundesliga,2425,"MF,DF",81.4,4
Antoine Joujou,2425,Le Havre,Ball Progressor,Amath,Getafe,ESP-La Liga,1819,MF,80.7,5
Antoine Makoumbou,2324,Cagliari,Defensive Anchor,Fran Beltrán,Celta Vigo,ESP-La Liga,2324,MF,84.8,1
Antoine Makoumbou,2324,Cagliari,Defensive Anchor,Hugo Magnetti,Brest,FRA-Ligue 1,2324,MF,84.1,2
Antoine Makoumbou,2324,Cagliari,Defensive Anchor,Jack Cork,Burnley,ENG-Premier League,1819,MF,82.7,3
Antoine Makoumbou,2324,Cagliari,Defensive Anchor,Ander Guevara,Alavés,ESP-La Liga,2324,MF,82.7,4
Antoine Makoumbou,2324,Cagliari,Defensive Anchor,Seydouba Cissé,Leganés,ESP-La Liga,2425,MF,82.1,5
Antoine Makoumbou,2425,Cagliari,Defensive Anchor,Fran Beltrán,Celta Vigo,ESP-La Liga,2324,MF,85.2,1
Antoine Makoumbou,2425,Cagliari,Defensive Anchor,Magnus Knudsen,Holstein Kiel,GER-Bundesliga,2425,MF,84.1,2
Antoine Makoumbou,2425,Cagliari,Defensive Anchor,Ander Guevara,Alavés,ESP-La Liga,2425,MF,79.8,3
Antoine Makoumbou,2425,Cagliari,Defensive Anchor,Nampalys Mendy,Leicester City,ENG-Premier League,1819,MF,79.5,4
Antoine Makoumbou,2425,Cagliari,Defensive Anchor,Alexis Blin,Lecce,ITA-Serie A,2324,MF,79.2,5
Anton Stach,2122,Mainz 05,Box-to-Box Engine,Leon Goretzka,Bayern Munich,GER-Bundesliga,2021,MF,77.4,1
Anton Stach,2122,Mainz 05,Box-to-Box Engine,Rodrigo Bentancur,Juventus,ITA-Serie A,1819,MF,69.1,2
Anton Stach,2122,Mainz 05,Box-to-Box Engine,Federico Viviani,SPAL,ITA-Serie A,1718,MF,69.0,3
Anton Stach,2122,Mainz 05,Box-to-Box Engine,Lorenzo Pellegrini,Roma,ITA-Serie A,1718,MF,67.5,4
Anton Stach,2122,Mainz 05,Box-to-Box Engine,Maximilian Arnold,Wolfsburg,GER-Bundesliga,2021,MF,65.6,5
Anton Stach,2223,Mainz 05,Defensive Anchor,Weston McKennie,Schalke 04,GER-Bundesliga,1920,"MF,DF",60.9,1
Anton Stach,2223,Mainz 05,Defensive Anchor,Salih Özcan,Köln,GER-Bundesliga,2122,MF,59.0,2
Anton Stach,2223,Mainz 05,Defensive Anchor,Robert Andrich,Union Berlin,GER-Bundesliga,1920,MF,58.3,3
Anton Stach,2223,Mainz 05,Defensive Anchor,Jerdy Schouten,Bologna,ITA-Serie A,2021,MF,56.1,4
Anton Stach,2223,Mainz 05,Defensive Anchor,Lewis Cook,Bournemouth,ENG-Premier League,2324,MF,56.0,5
Anton Stach,2324,Hoffenheim,Defensive Anchor,Djibril Sow,Eint Frankfurt,GER-Bundesliga,2021,MF,85.1,1
Anton Stach,2324,Mainz 05,Defensive Anchor,Patrick Osterhage,Bochum,GER-Bundesliga,2324,MF,65.7,2
Anton Stach,2324,Mainz 05,Defensive Anchor,Mikel Vesga,Leganés,ESP-La Liga,1819,MF,65.4,3
Anton Stach,2324,Hoffenheim,Defensive Anchor,Philip Billing,Huddersfield,ENG-Premier League,1819,MF,82.2,4
Anton Stach,2324,Hoffenheim,Defensive Anchor,Baptiste Santamaria,Angers,FRA-Ligue 1,2021,MF,81.5,5
Anton Stach,2425,Hoffenheim,Defensive Anchor,Lucas Robertone,Almería,ESP-La Liga,2324,MF,85.4,1
Anton Stach,2425,Hoffenheim,Defensive Anchor,Moisés Caicedo,Chelsea,ENG-Premier League,2425,"MF,DF",82.8,2
Anton Stach,2425,Hoffenheim,Defensive Anchor,Ryan Gravenberch,Liverpool,ENG-Premier League,2425,MF,79.8,3
Anton Stach,2425,Hoffenheim,Defensive Anchor,Martín Zubimendi,Real Sociedad,ESP-La Liga,2223,MF,79.2,4
Anton Stach,2425,Hoffenheim,Defensive Anchor,Éderson,Atalanta,ITA-Serie A,2324,MF,78.0,5
Antonin Bobichon,1819,Nîmes,Ball Progressor,Arne Maier,Augsburg,GER-Bundesliga,2223,MF,76.3,1
Antonin Bobichon,1819,Nîmes,Ball Progressor,Marco Brescianini,Frosinone,ITA-Serie A,2324,MF,73.8,2
Antonin Bobichon,1819,Nîmes,Ball Progressor,Armin Gigovic,Holstein Kiel,GER-Bundesliga,2425,MF,72.3,3
Antonin Bobichon,1819,Nîmes,Ball Progressor,Matheus Henrique,Sassuolo,ITA-Serie A,2223,MF,72.2,4
Antonin Bobichon,1819,Nîmes,Ball Progressor,Tomáš Suslov,Hellas Verona,ITA-Serie A,2324,"MF,FW",72.2,5
Antonin Bobichon,2021,Angers,Ball Progressor,Dennis Geiger,Hoffenheim,GER-Bundesliga,1920,MF,71.7,1
Antonin Bobichon,2021,Angers,Ball Progressor,Manuel Lanzini,West Ham,ENG-Premier League,1920,"MF,FW",68.6,2
Antonin Bobichon,2021,Angers,Ball Progressor,Alex Pritchard,Huddersfield,ENG-Premier League,1718,"MF,FW",67.0,3
Antonin Bobichon,2021,Angers,Ball Progressor,Jesse Lingard,Manchester Utd,ENG-Premier League,1920,"MF,FW",66.7,4
Antonin Bobichon,2021,Angers,Ball Progressor,Arthur Atta,Udinese,ITA-Serie A,2425,"MF,FW",65.8,5
Antonino Barillà,1819,Parma,Defensive Anchor,Jeffrey Schlupp,Crystal Palace,ENG-Premier League,2223,"MF,FW",94.9,1
Antonino Barillà,1819,Parma,Defensive Anchor,Rani Khedira,Union Berlin,GER-Bundesliga,2425,MF,88.4,2
Antonino Barillà,1819,Parma,Defensive Anchor,Nemanja Maksimović,Getafe,ESP-La Liga,2324,MF,86.2,3
Antonino Barillà,1819,Parma,Defensive Anchor,Lassana Coulibaly,Lecce,ITA-Serie A,2425,MF,85.8,4
Antonino Barillà,1819,Parma,Defensive Anchor,Cheikhou Kouyaté,Crystal Palace,ENG-Premier League,1920,"MF,DF",85.2,5
Antonino Barillà,1920,Parma,Defensive Anchor,Gonzalo Escalante,Cádiz,ESP-La Liga,2324,MF,89.8,1
Antonino Barillà,1920,Parma,Defensive Anchor,Darko Brašanac,Leganés,ESP-La Liga,2425,MF,89.0,2
Antonino Barillà,1920,Parma,Defensive Anchor,César de la Hoz,Almería,ESP-La Liga,2223,MF,88.9,3
Antonino Barillà,1920,Parma,Defensive Anchor,Anthony Losilla,Bochum,GER-Bundesliga,2425,MF,88.5,4
Antonino Barillà,1920,Parma,Defensive Anchor,Jake Livermore,West Brom,ENG-Premier League,2021,MF,88.2,5
Antonio Blanco,2324,Alavés,Defensive Anchor,Gideon Jung,Hamburger SV,GER-Bundesliga,1718,"MF,DF",92.6,1
Antonio Blanco,2324,Alavés,Defensive Anchor,Hugo Guillamón,Valencia,ESP-La Liga,2122,"MF,DF",91.1,2
Antonio Blanco,2324,Alavés,Defensive Anchor,Jon Moncayola,Osasuna,ESP-La Liga,2021,MF,87.6,3
Antonio Blanco,2324,Alavés,Defensive Anchor,Ibrahima Sissoko,Strasbourg,FRA-Ligue 1,2021,MF,87.6,4
Antonio Blanco,2324,Alavés,Defensive Anchor,Mauro Arambarri,Getafe,ESP-La Liga,1819,MF,86.1,5
Antonio Blanco,2425,Alavés,Defensive Anchor,Gideon Jung,Hamburger SV,GER-Bundesliga,1718,"MF,DF",90.2,1
Antonio Blanco,2425,Alavés,Defensive Anchor,Haris Belkebla,Brest,FRA-Ligue 1,2021,MF,89.9,2
Antonio Blanco,2425,Alavés,Defensive Anchor,Iddrisu Baba,Mallorca,ESP-La Liga,1920,MF,88.7,3
Antonio Blanco,2425,Alavés,Defensive Anchor,Sergi Darder,Espanyol,ESP-La Liga,1718,MF,88.5,4
Antonio Blanco,2425,Alavés,Defensive Anchor,Mauro Arambarri,Getafe,ESP-La Liga,1920,MF,88.0,5
Antonio Candreva,2021,Sampdoria,Creative Playmaker,Papu Gómez,Atalanta,ITA-Serie A,1920,"MF,FW",94.6,1
Antonio Candreva,2021,Sampdoria,Creative Playmaker,Radja Nainggolan,Cagliari,ITA-Serie A,1920,MF,91.5,2
Antonio Candreva,2021,Sampdoria,Creative Playmaker,David Silva,Manchester City,ENG-Premier League,1819,MF,91.4,3
Antonio Candreva,2021,Sampdoria,Creative Playmaker,Luis Alberto,Lazio,ITA-Serie A,2324,MF,91.2,4
Antonio Candreva,2021,Sampdoria,Creative Playmaker,Dimitri Payet,Marseille,FRA-Ligue 1,1718,"MF,FW",91.1,5
Antonio Candreva,2122,Sampdoria,Creative Playmaker,Valter Birsa,Chievo,ITA-Serie A,1718,"MF,FW",89.2,1
Antonio Candreva,2122,Sampdoria,Creative Playmaker,Pascal Groß,Brighton,ENG-Premier League,2223,"MF,DF",88.9,2
Antonio Candreva,2122,Sampdoria,Creative Playmaker,José Callejón,Napoli,ITA-Serie A,1819,"MF,FW",88.2,3
Antonio Candreva,2122,Sampdoria,Creative Playmaker,Joaquín,Betis,ESP-La Liga,1718,"MF,FW",86.2,4
Antonio Candreva,2122,Sampdoria,Creative Playmaker,Julian Brandt,Dortmund,GER-Bundesliga,2425,MF,85.6,5
Antonio Candreva,2223,Salernitana,Creative Playmaker,Andrej Kramarić,Hoffenheim,GER-Bundesliga,2425,"MF,FW",83.2,1
Antonio Candreva,2223,Salernitana,Creative Playmaker,Joaquín,Betis,ESP-La Liga,1718,"MF,FW",81.3,2
Antonio Candreva,2223,Salernitana,Creative Playmaker,Giacomo Bonaventura,Fiorentina,ITA-Serie A,2324,MF,81.1,3
Antonio Candreva,2223,Salernitana,Creative Playmaker,Fabián Orellana,Eibar,ESP-La Liga,1920,"MF,FW",79.3,4
Antonio Candreva,2223,Salernitana,Creative Playmaker,Valter Birsa,Chievo,ITA-Serie A,1718,"MF,FW",78.8,5
Antonio Candreva,2324,Salernitana,Creative Playmaker,Andrej Kramarić,Hoffenheim,GER-Bundesliga,2425,"MF,FW",85.5,1
Antonio Candreva,2324,Salernitana,Creative Playmaker,Joaquín,Betis,ESP-La Liga,1718,"MF,FW",83.3,2
Antonio Candreva,2324,Salernitana,Creative Playmaker,Piotr Zieliński,Napoli,ITA-Serie A,2324,MF,81.7,3
Antonio Candreva,2324,Salernitana,Creative Playmaker,Fabián Orellana,Eibar,ESP-La Liga,1920,"MF,FW",81.1,4
Antonio Candreva,2324,Salernitana,Creative Playmaker,Pascal Groß,Brighton,ENG-Premier League,2223,"MF,DF",80.6,5
Antonio Nusa,2425,RB Leipzig,Ball Progressor,Ander Barrenetxea,Real Sociedad,ESP-La Liga,2021,"MF,FW",90.0,1
Antonio Nusa,2425,RB Leipzig,Ball Progressor,Giuliano Simeone,Atlético Madrid,ESP-La Liga,2425,MF,87.9,2
Antonio Nusa,2425,RB Leipzig,Ball Progressor,Habib Diarra,Strasbourg,FRA-Ligue 1,2223,"MF,FW",87.3,3
Antonio Nusa,2425,RB Leipzig,Ball Progressor,Ilias Akhomach,Villarreal,ESP-La Liga,2324,"MF,FW",86.5,4
Antonio Nusa,2425,RB Leipzig,Ball Progressor,James Mcatee,Sheffield Utd,ENG-Premier League,2324,"MF,FW",86.2,5
Antonio Puertas,2122,Granada,Ball Progressor,André Hahn,Augsburg,GER-Bundesliga,2122,"MF,FW",87.7,1
Antonio Puertas,2122,Granada,Ball Progressor,Marius Bülter,Union Berlin,GER-Bundesliga,1920,"MF,FW",86.8,2
Antonio Puertas,2122,Granada,Ball Progressor,Adrien Hunou,Angers,FRA-Ligue 1,2223,"MF,FW",86.3,3
Antonio Puertas,2122,Granada,Ball Progressor,Édgar Méndez,Alavés,ESP-La Liga,2021,"MF,FW",84.4,4
Antonio Puertas,2122,Granada,Ball Progressor,Bobby De Cordova-Reid,Fulham,ENG-Premier League,2021,"MF,FW",83.7,5
Antonio Sánchez,2122,Mallorca,Defensive Anchor,Wilfred Ndidi,Leicester City,ENG-Premier League,2122,"MF,DF",91.8,1
Antonio Sánchez,2122,Mallorca,Defensive Anchor,Lamine Fomba,Nîmes,FRA-Ligue 1,1920,MF,87.6,2
Antonio Sánchez,2122,Mallorca,Defensive Anchor,Lassana Coulibaly,Angers,FRA-Ligue 1,2021,MF,87.4,3
Antonio Sánchez,2122,Mallorca,Defensive Anchor,Ellyes Skhiri,Köln,GER-Bundesliga,2122,MF,85.4,4
Antonio Sánchez,2122,Mallorca,Defensive Anchor,Gastón Brugman,Parma,ITA-Serie A,1920,MF,85.2,5
Antonio Sánchez,2223,Mallorca,Defensive Anchor,Kevin Spadanuda,Ajaccio,FRA-Ligue 1,2223,"MF,FW",73.4,1
Antonio Sánchez,2223,Mallorca,Defensive Anchor,Martin Hongla,Hellas Verona,ITA-Serie A,2223,MF,73.1,2
Antonio Sánchez,2223,Mallorca,Defensive Anchor,Frank Onyeka,Brentford,ENG-Premier League,2122,MF,71.3,3
Antonio Sánchez,2223,Mallorca,Defensive Anchor,Danny Williams,Huddersfield,ENG-Premier League,1718,MF,70.5,4
Antonio Sánchez,2223,Mallorca,Defensive Anchor,Janik Haberer,Freiburg,GER-Bundesliga,1920,"MF,FW",70.4,5
Antonio Sánchez,2324,Mallorca,Ball Progressor,Florent Mollet,Schalke 04,GER-Bundesliga,2223,MF,73.1,1
Antonio Sánchez,2324,Mallorca,Ball Progressor,Selim Amallah,Valladolid,ESP-La Liga,2425,MF,71.9,2
Antonio Sánchez,2324,Mallorca,Ball Progressor,Abdoulaye Doucouré,Everton,ENG-Premier League,2223,MF,71.8,3
Antonio Sánchez,2324,Mallorca,Ball Progressor,Quentin Boisgard,Lorient,FRA-Ligue 1,2122,"MF,FW",69.1,4
Antonio Sánchez,2324,Mallorca,Ball Progressor,Jacob Brown,Luton Town,ENG-Premier League,2324,"MF,FW",67.4,5
Antonio Sánchez,2425,Mallorca,Defensive Anchor,Marcus Rohdén,Crotone,ITA-Serie A,1718,MF,88.3,1
Antonio Sánchez,2425,Mallorca,Defensive Anchor,Karol Linetty,Torino,ITA-Serie A,2021,MF,83.2,2
Antonio Sánchez,2425,Mallorca,Defensive Anchor,Kevin Spadanuda,Ajaccio,FRA-Ligue 1,2223,"MF,FW",83.2,3
Antonio Sánchez,2425,Mallorca,Defensive Anchor,Rani Khedira,Union Berlin,GER-Bundesliga,2324,MF,82.3,4
Antonio Sánchez,2425,Mallorca,Defensive Anchor,Patrick Osterhage,Bochum,GER-Bundesliga,2223,MF,80.8,5
Antonio Vacca,2122,Venezia,Defensive Anchor,Lucas Biglia,Milan,ITA-Serie A,1819,MF,91.5,1
Antonio Vacca,2122,Venezia,Defensive Anchor,Pedro Mosquera,La Coruña,ESP-La Liga,1718,MF,88.6,2
