player,season,team,role,similar_player,similar_team,similar_league,similar_season,similar_pos,similarity_score,rank
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Leroy Sané,Bayern Munich,GER-Bundesliga,2223,"MF,FW",84.6,3
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Alexis Sánchez,Arsenal,ENG-Premier League,1718,"MF,FW",83.8,4
Aaron Ramsey,1819,Arsenal,Creative Playmaker,Franck Ribéry,Bayern Munich,GER-Bundesliga,1819,"MF,FW",83.3,5
Aaron Ramsey,1920,Juventus,Ball Progressor,Lee Jae-sung,Mainz 05,GER-Bundesliga,2122,"MF,FW",67.6,1
Aaron Ramsey,1920,Juventus,Ball Progressor,Adrien Thomasson,Lens,FRA-Ligue 1,2223,"MF,FW",67.3,2
Aaron Ramsey,1920,Juventus,Ball Progressor,Arturo Vidal,Barcelona,ESP-La Liga,1920,MF,62.6,3
Aaron Ramsey,1920,Juventus,Ball Progressor,Anthony Gonçalves,Strasbourg,FRA-Ligue 1,1819,"MF,FW",62.3,4
Aaron Ramsey,1920,Juventus,Ball Progressor,Caiuby,Augsburg,GER-Bundesliga,1819,"MF,FW",61.0,5
Aaron Ramsey,2021,Juventus,Creative Playmaker,Alexis Sánchez,Arsenal,ENG-Premier League,1718,"MF,FW",90.6,1
Aaron Ramsey,2021,Juventus,Creative Playmaker,Kevin De Bruyne,Manchester City,ENG-Premier League,2021,MF,87.6,2
Aaron Ramsey,2021,Juventus,Creative Playmaker,David Silva,Manchester City,ENG-Premier League,1920,MF,87.6,3
Aaron Ramsey,2021,Juventus,Creative Playmaker,Emil Forsberg,RB Leipzig,GER-Bundesliga,1819,"MF,FW",86.7,4
Aaron Ramsey,2021,Juventus,Creative Playmaker,Josip Iličić,Atalanta,ITA-Serie A,2021,"MF,FW",86.0,5
Aaron Ramsey,2223,Nice,Box-to-Box Engine,James Milner,Liverpool,ENG-Premier League,2223,"MF,DF",82.1,1
Aaron Ramsey,2223,Nice,Box-to-Box Engine,Óscar Trejo,Rayo Vallecano,ESP-La Liga,1819,"MF,FW",74.5,2
Aaron Ramsey,2223,Nice,Box-to-Box Engine,Thiago Alcántara,Liverpool,ENG-Premier League,2223,MF,73.6,3
Aaron Ramsey,2223,Nice,Box-to-Box Engine,Borja Valero,Inter,ITA-Serie A,1819,MF,73.5,4
Aaron Ramsey,2223,Nice,Box-to-Box Engine,Ander Herrera,Athletic Club,ESP-La Liga,2324,MF,73.3,5
Abdelhamid Sabiri,1920,Paderborn 07,Ball Progressor,Tommaso Pobega,Spezia,ITA-Serie A,2021,MF,87.0,1
Abdelhamid Sabiri,1920,Paderborn 07,Ball Progressor,Giovanni Fabbian,Bologna,ITA-Serie A,2324,"MF,FW",78.7,2
Abdelhamid Sabiri,1920,Paderborn 07,Ball Progressor,Ramón Terrats,Getafe,ESP-La Liga,2425,"MF,FW",74.7,3
Abdelhamid Sabiri,1920,Paderborn 07,Ball Progressor,Davide Frattesi,Inter,ITA-Serie A,2425,MF,72.7,4
Abdelhamid Sabiri,1920,Paderborn 07,Ball Progressor,Gonzalo Melero,Levante,ESP-La Liga,2122,MF,70.1,5
Abdelhamid Sabiri,2223,Sampdoria,Ball Progressor,Munir El Haddadi,Getafe,ESP-La Liga,2223,"MF,FW",81.5,1
Abdelhamid Sabiri,2223,Sampdoria,Ball Progressor,Ado Onaiwu,Auxerre,FRA-Ligue 1,2425,"MF,FW",78.0,2
Abdelhamid Sabiri,2223,Sampdoria,Ball Progressor,Luca Waldschmidt,Köln,GER-Bundesliga,2324,"MF,FW",78.0,3
Abdelhamid Sabiri,2223,Sampdoria,Ball Progressor,Carlos Soler,West Ham,ENG-Premier League,2425,"MF,FW",74.4,4
Abdelhamid Sabiri,2223,Sampdoria,Ball Progressor,Marshall Munetsi,Wolves,ENG-Premier League,2425,"MF,FW",73.0,5
Abdou Harroui,2324,Frosinone,Ball Progressor,Marco Brescianini,Atalanta,ITA-Serie A,2425,MF,86.7,1
Abdou Harroui,2324,Frosinone,Ball Progressor,Christoph Baumgartner,RB Leipzig,GER-Bundesliga,2324,"MF,FW",84.0,2
Abdou Harroui,2324,Frosinone,Ball Progressor,Luca Waldschmidt,Köln,GER-Bundesliga,2324,"MF,FW",80.3,3
Abdou Harroui,2324,Frosinone,Ball Progressor,Philipp Förster,Stuttgart,GER-Bundesliga,2122,"MF,FW",80.0,4
Abdou Harroui,2324,Frosinone,Ball Progressor,Richarlison,Tottenham,ENG-Premier League,2223,"MF,FW",76.2,5
Abdoulaye Doucouré,1718,Watford,Box-to-Box Engine,Declan Rice,West Ham,ENG-Premier League,2223,MF,88.0,1
Abdoulaye Doucouré,1718,Watford,Box-to-Box Engine,Mikel Merino,Real Sociedad,ESP-La Liga,1920,MF,87.0,2
Abdoulaye Doucouré,1718,Watford,Box-to-Box Engine,Rúben Neves,Wolves,ENG-Premier League,2122,MF,85.6,3
Abdoulaye Doucouré,1718,Watford,Box-to-Box Engine,James Ward-Prowse,Southampton,ENG-Premier League,2021,MF,85.5,4
Abdoulaye Doucouré,1718,Watford,Box-to-Box Engine,Pierre Højbjerg,Tottenham,ENG-Premier League,2122,MF,85.0,5
Abdoulaye Doucouré,1819,Watford,Box-to-Box Engine,Youri Tielemans,Leicester City,ENG-Premier League,2021,MF,87.7,1
Abdoulaye Doucouré,1819,Watford,Box-to-Box Engine,Mikel Merino,Real Sociedad,ESP-La Liga,1920,MF,85.1,2
Abdoulaye Doucouré,1819,Watford,Box-to-Box Engine,James Ward-Prowse,Southampton,ENG-Premier League,2021,MF,83.6,3
Abdoulaye Doucouré,1819,Watford,Box-to-Box Engine,José Luis García Vayá,Valencia,ESP-La Liga,2324,MF,83.4,4
Abdoulaye Doucouré,1819,Watford,Box-to-Box Engine,Aaron Mooy,Huddersfield,ENG-Premier League,1718,MF,82.4,5
Abdoulaye Doucouré,1920,Watford,Box-to-Box Engine,Stuart Dallas,Leeds United,ENG-Premier League,2021,"MF,DF",79.8,1
Abdoulaye Doucouré,1920,Watford,Box-to-Box Engine,Luis Milla,Granada,ESP-La Liga,2122,MF,77.9,2
Abdoulaye Doucouré,1920,Watford,Box-to-Box Engine,Wataru Endo,Stuttgart,GER-Bundesliga,2223,MF,77.9,3
Abdoulaye Doucouré,1920,Watford,Box-to-Box Engine,Matteo Pessina,Monza,ITA-Serie A,2223,MF,77.8,4
Abdoulaye Doucouré,1920,Watford,Box-to-Box Engine,James Ward-Prowse,Southampton,ENG-Premier League,2021,MF,77.3,5
Abdoulaye Doucouré,2021,Everton,Defensive Anchor,Jefferson Lerma,Crystal Palace,ENG-Premier League,2324,"MF,DF",86.3,1
Abdoulaye Doucouré,2021,Everton,Defensive Anchor,Tomás Rincón,Torino,ITA-Serie A,1718,MF,85.4,2
Abdoulaye Doucouré,2021,Everton,Defensive Anchor,Ivan Radovanović,Chievo,ITA-Serie A,1718,MF,84.6,3
Abdoulaye Doucouré,2021,Everton,Defensive Anchor,Étienne Capoue,Watford,ENG-Premier League,1920,MF,84.5,4
Abdoulaye Doucouré,2021,Everton,Defensive Anchor,Lucas Torró,Osasuna,ESP-La Liga,2122,MF,82.8,5
Abdoulaye Doucouré,2122,Everton,Defensive Anchor,Lassana Coulibaly,Salernitana,ITA-Serie A,2223,MF,87.3,1
Abdoulaye Doucouré,2122,Everton,Defensive Anchor,Walace,Udinese,ITA-Serie A,2324,MF,86.0,2
Abdoulaye Doucouré,2122,Everton,Defensive Anchor,Rubén Pérez,Leganés,ESP-La Liga,1819,MF,85.3,3
Abdoulaye Doucouré,2122,Everton,Defensive Anchor,Rubén Alcaraz,Cádiz,ESP-La Liga,2324,MF,85.1,4
Abdoulaye Doucouré,2122,Everton,Defensive Anchor,Iñigo Ruiz de Galarreta,Mallorca,ESP-La Liga,2223,MF,84.8,5
Abdoulaye Doucouré,2223,Everton,Ball Progressor,Florent Mollet,Schalke 04,GER-Bundesliga,2223,MF,75.4,1
Abdoulaye Doucouré,2223,Everton,Ball Progressor,Marshall Munetsi,Reims,FRA-Ligue 1,2425,MF,75.1,2
Abdoulaye Doucouré,2223,Everton,Ball Progressor,Pere Milla,Elche,ESP-La Liga,2122,"MF,FW",75.1,3
Abdoulaye Doucouré,2223,Everton,Ball Progressor,Aaron Lennon,Burnley,ENG-Premier League,2122,"MF,FW",74.7,4
Abdoulaye Doucouré,2223,Everton,Ball Progressor,Dominick Drexler,Schalke 04,GER-Bundesliga,2223,"MF,FW",73.4,5
Abdoulaye Doucouré,2425,Everton,Ball Progressor,Rubén Sobrino,Cádiz,ESP-La Liga,2223,"MF,FW",86.0,1
Abdoulaye Doucouré,2425,Everton,Ball Progressor,Dani Rodríguez,Mallorca,ESP-La Liga,2122,"MF,FW",85.8,2
Abdoulaye Doucouré,2425,Everton,Ball Progressor,Filip Đuričić,Sampdoria,ITA-Serie A,2223,"MF,FW",85.3,3
Abdoulaye Doucouré,2425,Everton,Ball Progressor,Óscar Plano,Valladolid,ESP-La Liga,2021,"MF,FW",83.6,4
Abdoulaye Doucouré,2425,Everton,Ball Progressor,Antonio Puertas,Granada,ESP-La Liga,2122,"MF,FW",82.1,5
Abdoulaye Touré,1718,Nantes,Defensive Anchor,Morten Hjulmand,Lecce,ITA-Serie A,2223,MF,94.6,1
Abdoulaye Touré,1718,Nantes,Defensive Anchor,Habib Maïga,Metz,FRA-Ligue 1,2021,MF,93.6,2
Abdoulaye Touré,1718,Nantes,Defensive Anchor,Ellyes Skhiri,Köln,GER-Bundesliga,1920,MF,93.6,3
Abdoulaye Touré,1718,Nantes,Defensive Anchor,Cheick Doucouré,Crystal Palace,ENG-Premier League,2223,MF,91.6,4
Abdoulaye Touré,1718,Nantes,Defensive Anchor,Declan Rice,West Ham,ENG-Premier League,1920,MF,90.7,5
Abdoulaye Touré,1819,Nantes,Defensive Anchor,Jean-Eudes Aholou,Strasbourg,FRA-Ligue 1,1718,MF,91.8,1
Abdoulaye Touré,1819,Nantes,Defensive Anchor,Davy Pröpper,Brighton,ENG-Premier League,1718,MF,90.5,2
