player,season,team,league,pos_,age_,Playing Time_Min,role_cluster,primary_role,role_confidence_pct,role_similarity_score,distance_to_centroid
Bruno Guimarães,2425,Newcastle Utd,ENG-Premier League,MF,26.0,3271,3,Box-to-Box Engine,59.1,59.1,3.281868163564162
Joe Willock,2425,Newcastle Utd,ENG-Premier League,"MF,FW",24.0,1086,1,Ball Progressor,29.7,29.7,3.8224296782896405
Joelinton,2425,Newcastle Utd,ENG-Premier League,"MF,FW",27.0,2393,1,Ball Progressor,88.5,88.5,2.3847084372225287
Sandro Tonali,2425,Newcastle Utd,ENG-Premier League,MF,24.0,2630,0,Defensive Anchor,72.6,72.6,2.4452141510182757
Elliot Anderson,2425,Nott'ham Forest,ENG-Premier League,MF,21.0,2728,3,Box-to-Box Engine,68.7,68.7,3.013227547516036
James Ward-Prowse,2425,Nott'ham Forest,ENG-Premier League,MF,29.0,1039,0,Defensive Anchor,3.0,3.0,4.060755315871302
Morgan Gibbs-White,2425,Nott'ham Forest,ENG-Premier League,MF,24.0,2803,1,Ball Progressor,64.7,64.7,2.96702957691435
Nicolás Domínguez,2425,Nott'ham Forest,ENG-Premier League,"MF,FW",26.0,1963,0,Defensive Anchor,40.5,40.5,3.1896589840780067
Ryan Yates,2425,Nott'ham Forest,ENG-Premier League,MF,26.0,1915,0,Defensive Anchor,73.1,73.1,2.432330274412097
Flynn Downes,2425,Southampton,ENG-Premier League,MF,25.0,2151,0,Defensive Anchor,66.5,66.5,2.585686080142458
Joe Aribo,2425,Southampton,ENG-Premier League,"MF,DF",28.0,2013,0,Defensive Anchor,73.5,73.5,2.422375919858785
Lesley Ugochukwu,2425,Southampton,ENG-Premier League,MF,20.0,1655,0,Defensive Anchor,62.6,62.6,2.676022563100345
Mateus Fernandes,2425,Southampton,ENG-Premier League,MF,20.0,2909,1,Ball Progressor,67.7,67.7,2.8922683135578455
Dejan Kulusevski,2425,Tottenham,ENG-Premier League,"MF,FW",24.0,2389,2,Creative Playmaker,86.2,86.2,2.95987951469307
James Maddison,2425,Tottenham,ENG-Premier League,MF,27.0,1809,2,Creative Playmaker,62.9,62.9,3.801197823171821
Lucas Bergvall,2425,Tottenham,ENG-Premier League,MF,18.0,1212,0,Defensive Anchor,53.4,53.4,2.8900696949564773
Pape Matar Sarr,2425,Tottenham,ENG-Premier League,MF,21.0,1913,0,Defensive Anchor,63.1,63.1,2.6639569342738296
Rodrigo Bentancur,2425,Tottenham,ENG-Premier League,MF,27.0,1645,0,Defensive Anchor,68.5,68.5,2.5388555775870114
Yves Bissouma,2425,Tottenham,ENG-Premier League,MF,27.0,1408,0,Defensive Anchor,36.0,36.0,3.29346035872836
Carlos Soler,2425,West Ham,ENG-Premier League,"MF,FW",27.0,1409,1,Ball Progressor,79.4,79.4,2.606285330819259
Edson Álvarez,2425,West Ham,ENG-Premier League,MF,26.0,1772,0,Defensive Anchor,80.0,80.0,2.2722763762039557
Guido Rodríguez,2425,West Ham,ENG-Premier League,MF,30.0,1149,0,Defensive Anchor,46.6,46.6,3.0477611932488893
James Ward-Prowse,2425,West Ham,ENG-Premier League,MF,29.0,1039,3,Box-to-Box Engine,26.3,26.3,4.193868623051661
Lucas Paquetá,2425,West Ham,ENG-Premier League,"MF,FW",26.0,2380,1,Ball Progressor,57.0,57.0,3.1560383367743703
Tomáš Souček,2425,West Ham,ENG-Premier League,MF,29.0,2567,1,Ball Progressor,0.0,0.0,4.708062215042384
André,2425,Wolves,ENG-Premier League,MF,23.0,2472,0,Defensive Anchor,57.8,57.8,2.7867450346350036
Gonçalo Guedes,2425,Wolves,ENG-Premier League,"MF,FW",27.0,995,1,Ball Progressor,22.3,22.3,4.003793474052334
Jean-Ricner Bellegarde,2425,Wolves,ENG-Premier League,"MF,FW",26.0,1677,1,Ball Progressor,59.4,59.4,3.0956737201092586
João Gomes,2425,Wolves,ENG-Premier League,MF,23.0,2974,0,Defensive Anchor,48.8,48.8,2.9973256924445617
Mario Lemina,2425,Wolves,ENG-Premier League,"MF,DF",30.0,1364,0,Defensive Anchor,57.4,57.4,2.796503334144161
Marshall Munetsi,2425,Wolves,ENG-Premier League,"MF,FW",28.0,1078,1,Ball Progressor,0.0,0.0,4.625375486867117
Marshall Munetsi,2425,Wolves,ENG-Premier League,"MF,FW",28.0,1692,1,Ball Progressor,0.0,0.0,4.625375486867117
Matheus Cunha,2425,Wolves,ENG-Premier League,"MF,FW",25.0,2597,2,Creative Playmaker,88.1,88.1,2.8898194457137842
Alfonso Pedraza,1718,Alavés,ESP-La Liga,"MF,DF",21.0,2440,1,Ball Progressor,84.8,84.8,2.4749650427645857
Burgui,1718,Alavés,ESP-La Liga,"MF,FW",23.0,1034,1,Ball Progressor,53.4,53.4,3.2441966207536956
Daniel Torres,1718,Alavés,ESP-La Liga,MF,27.0,1217,0,Defensive Anchor,63.0,63.0,2.666339118457704
Ibai Gómez,1718,Alavés,ESP-La Liga,"MF,FW",27.0,2319,1,Ball Progressor,77.8,77.8,2.644674492395706
Manu García,1718,Alavés,ESP-La Liga,MF,31.0,2439,0,Defensive Anchor,80.4,80.4,2.263152445400381
Tomás Pina Isla,1718,Alavés,ESP-La Liga,MF,29.0,2387,0,Defensive Anchor,63.8,63.8,2.649354961320083
Wakaso,1718,Alavés,ESP-La Liga,MF,27.0,1098,0,Defensive Anchor,28.0,28.0,3.4791520163049174
Álvaro Medrán,1718,Alavés,ESP-La Liga,MF,23.0,947,0,Defensive Anchor,69.8,69.8,2.509437256493504
Ander Iturraspe,1718,Athletic Club,ESP-La Liga,MF,28.0,1904,0,Defensive Anchor,46.7,46.7,3.0447805744705847
Beñat Etxebarria,1718,Athletic Club,ESP-La Liga,MF,30.0,1120,3,Box-to-Box Engine,33.0,33.0,4.008400129223436
Mikel Rico,1718,Athletic Club,ESP-La Liga,MF,32.0,1171,0,Defensive Anchor,62.1,62.1,2.6867279237866373
Mikel San José,1718,Athletic Club,ESP-La Liga,MF,28.0,2155,0,Defensive Anchor,100.0,100.0,1.5852747885903018
Raúl García,1718,Athletic Club,ESP-La Liga,"MF,FW",31.0,2627,1,Ball Progressor,12.1,12.1,4.254703289670781
Raúl García,1718,Athletic Club,ESP-La Liga,"MF,FW",31.0,1392,1,Ball Progressor,12.1,12.1,4.254703289670781
Gabi,1718,Atlético Madrid,ESP-La Liga,MF,34.0,2349,3,Box-to-Box Engine,67.4,67.4,3.0512804305097014
Koke,1718,Atlético Madrid,ESP-La Liga,MF,25.0,2756,3,Box-to-Box Engine,89.3,89.3,2.4402270233734944
Saúl Ñíguez,1718,Atlético Madrid,ESP-La Liga,MF,22.0,3155,0,Defensive Anchor,52.0,52.0,2.9224336978492955
Thomas Partey,1718,Atlético Madrid,ESP-La Liga,"MF,DF",24.0,2377,0,Defensive Anchor,27.8,27.8,3.4830845403039032
Yannick Carrasco,1718,Atlético Madrid,ESP-La Liga,"MF,FW",23.0,901,2,Creative Playmaker,53.5,53.5,4.139935961915534
Ángel Correa,1718,Atlético Madrid,ESP-La Liga,"MF,FW",22.0,2253,1,Ball Progressor,40.0,40.0,3.5711583040870165
Andrés Iniesta,1718,Barcelona,ESP-La Liga,MF,33.0,1824,3,Box-to-Box Engine,0.0,0.0,5.09365488222335
Ivan Rakitić,1718,Barcelona,ESP-La Liga,MF,29.0,2835,3,Box-to-Box Engine,96.8,96.8,2.2316606681429767
Paulinho,1718,Barcelona,ESP-La Liga,MF,29.0,1945,1,Ball Progressor,0.0,0.0,4.575760543722339
Philippe Coutinho,1718,Barcelona,ESP-La Liga,"MF,FW",25.0,1109,2,Creative Playmaker,51.8,51.8,4.20113009509035
Philippe Coutinho,1718,Barcelona,ESP-La Liga,"MF,FW",25.0,1296,2,Creative Playmaker,51.8,51.8,4.20113009509035
Sergio Busquets,1718,Barcelona,ESP-La Liga,MF,29.0,2593,3,Box-to-Box Engine,53.9,53.9,3.427623227354402
Andrés Guardado,1718,Betis,ESP-La Liga,MF,30.0,2264,3,Box-to-Box Engine,100.0,100.0,2.0067855372914365
Fabián Ruiz Peña,1718,Betis,ESP-La Liga,MF,21.0,2659,3,Box-to-Box Engine,82.7,82.7,2.6241603516896053
Javi García,1718,Betis,ESP-La Liga,"MF,DF",30.0,2410,0,Defensive Anchor,43.1,43.1,3.127905217336563
Joaquín,1718,Betis,ESP-La Liga,"MF,FW",36.0,2479,2,Creative Playmaker,100.0,100.0,2.2438856144960977
Ryad Boudebouz,1718,Betis,ESP-La Liga,"MF,FW",27.0,1360,1,Ball Progressor,53.7,53.7,3.2366098648179102
Víctor Camarasa,1718,Betis,ESP-La Liga,MF,23.0,1252,1,Ball Progressor,62.6,62.6,3.016550765820171
Brais Méndez,1718,Celta Vigo,ESP-La Liga,"MF,FW",20.0,948,1,Ball Progressor,92.4,92.4,2.2892384192869515
Daniel Wass,1718,Celta Vigo,ESP-La Liga,"MF,DF",28.0,2932,1,Ball Progressor,85.4,85.4,2.4586798741444422
Jozabed,1718,Celta Vigo,ESP-La Liga,MF,26.0,1473,3,Box-to-Box Engine,76.9,76.9,2.78719486189794
Nemanja Radoja,1718,Celta Vigo,ESP-La Liga,MF,24.0,1105,0,Defensive Anchor,64.9,64.9,2.6223321664260526
Pablo Hernández,1718,Celta Vigo,ESP-La Liga,MF,30.0,1819,3,Box-to-Box Engine,62.9,62.9,3.175381110057618
Stanislav Lobotka,1718,Celta Vigo,ESP-La Liga,MF,22.0,3061,0,Defensive Anchor,23.6,23.6,3.5823483433936842
Dani García,1718,Eibar,ESP-La Liga,MF,27.0,2775,0,Defensive Anchor,58.6,58.6,2.769979885344072
Fabián Orellana,1718,Eibar,ESP-La Liga,"MF,FW",31.0,1180,2,Creative Playmaker,58.6,58.6,3.9562009174025063
Gonzalo Escalante,1718,Eibar,ESP-La Liga,MF,24.0,1565,0,Defensive Anchor,76.2,76.2,2.3607762306229563
Iván Alejo,1718,Eibar,ESP-La Liga,"MF,FW",22.0,1102,2,Creative Playmaker,18.9,18.9,5.385846302757444
Joan Jordán,1718,Eibar,ESP-La Liga,MF,23.0,2427,1,Ball Progressor,82.8,82.8,2.522126498463353
Papakouli Diop,1718,Eibar,ESP-La Liga,MF,31.0,940,0,Defensive Anchor,47.1,47.1,3.0353878427229253
Takashi Inui,1718,Eibar,ESP-La Liga,"MF,FW",29.0,2631,1,Ball Progressor,83.7,83.7,2.5002404624717243
Carlos Sánchez,1718,Espanyol,ESP-La Liga,MF,31.0,1122,0,Defensive Anchor,40.7,40.7,3.185831314140921
Esteban Granero,1718,Espanyol,ESP-La Liga,MF,30.0,1230,3,Box-to-Box Engine,91.2,91.2,2.3894387365320293
Javi Fuego,1718,Espanyol,ESP-La Liga,MF,33.0,1341,0,Defensive Anchor,63.7,63.7,2.6495768459615947
José Manuel Jurado,1718,Espanyol,ESP-La Liga,"MF,FW",31.0,1501,1,Ball Progressor,71.5,71.5,2.800968511176627
Pablo Piatti,1718,Espanyol,ESP-La Liga,"MF,FW",28.0,1738,1,Ball Progressor,34.4,34.4,3.708156761590557
Papakouli Diop,1718,Espanyol,ESP-La Liga,MF,31.0,940,0,Defensive Anchor,39.7,39.7,3.209033838259203
Sergi Darder,1718,Espanyol,ESP-La Liga,MF,23.0,2782,0,Defensive Anchor,98.7,98.7,1.8389024626334303
Víctor Sánchez,1718,Espanyol,ESP-La Liga,"MF,DF",29.0,2457,0,Defensive Anchor,18.4,18.4,3.7023237981358563
Amath,1718,Getafe,ESP-La Liga,"MF,FW",21.0,2859,1,Ball Progressor,71.1,71.1,2.8087446172880375
Fayçal Fajr,1718,Getafe,ESP-La Liga,"MF,FW",28.0,2385,0,Defensive Anchor,78.6,78.6,2.3045360586874284
Francisco Portillo,1718,Getafe,ESP-La Liga,"MF,FW",27.0,2460,1,Ball Progressor,50.6,50.6,3.311696844334154
Gaku Shibasaki,1718,Getafe,ESP-La Liga,"MF,FW",25.0,1002,1,Ball Progressor,28.7,28.7,3.8467000274150873
Markel Bergara,1718,Getafe,ESP-La Liga,MF,31.0,1463,0,Defensive Anchor,0.0,0.0,4.733414096804839
Mauro Arambarri,1718,Getafe,ESP-La Liga,MF,21.0,2124,0,Defensive Anchor,68.2,68.2,2.546007898852984
Mehdi Lacen,1718,Getafe,ESP-La Liga,MF,33.0,1056,0,Defensive Anchor,0.0,0.0,4.338884591151177
Borja García,1718,Girona,ESP-La Liga,MF,26.0,2798,1,Ball Progressor,70.1,70.1,2.8331182616314066
David Timor,1718,Girona,ESP-La Liga,"MF,DF",27.0,925,0,Defensive Anchor,45.3,45.3,3.0781448383504317
Pere Pons,1718,Girona,ESP-La Liga,MF,24.0,2559,0,Defensive Anchor,83.3,83.3,2.1950046125692255
Portu,1718,Girona,ESP-La Liga,MF,25.0,2997,1,Ball Progressor,14.8,14.8,4.188030698451322
Álex Granell,1718,Girona,ESP-La Liga,MF,28.0,2848,3,Box-to-Box Engine,61.9,61.9,3.2037768212733106
Celso Borges,1718,La Coruña,ESP-La Liga,MF,29.0,2300,0,Defensive Anchor,78.1,78.1,2.316886032376481
Emre Çolak,1718,La Coruña,ESP-La Liga,MF,26.0,1449,2,Creative Playmaker,41.3,41.3,4.579626986177039
Federico Valverde,1718,La Coruña,ESP-La Liga,"MF,FW",19.0,1233,0,Defensive Anchor,89.4,89.4,2.0532670632070205
Guilherme,1718,La Coruña,ESP-La Liga,MF,26.0,2639,0,Defensive Anchor,100.0,100.0,1.7346255426345056
Guilherme,1718,La Coruña,ESP-La Liga,MF,26.0,944,0,Defensive Anchor,100.0,100.0,1.7346255426345056
Pedro Mosquera,1718,La Coruña,ESP-La Liga,MF,29.0,1396,0,Defensive Anchor,86.7,86.7,2.11740541501566
Alberto Aquilani,1718,Las Palmas,ESP-La Liga,MF,33.0,1297,0,Defensive Anchor,70.3,70.3,2.4984635869137293
Javi Castellano,1718,Las Palmas,ESP-La Liga,MF,29.0,1566,0,Defensive Anchor,55.5,55.5,2.842222788999509
Jonathan Viera,1718,Las Palmas,ESP-La Liga,MF,27.0,1993,2,Creative Playmaker,57.0,57.0,4.011968261069231
Oghenekaro Etebo,1718,Las Palmas,ESP-La Liga,MF,21.0,1215,0,Defensive Anchor,68.4,68.4,2.5408560876391912
Tana,1718,Las Palmas,ESP-La Liga,"MF,FW",26.0,1552,1,Ball Progressor,50.9,50.9,3.303097433571577
Vicente Gómez,1718,Las Palmas,ESP-La Liga,MF,28.0,1525,0,Defensive Anchor,50.4,50.4,2.9597125627047807
Alexander,1718,Leganés,ESP-La Liga,"MF,FW",28.0,1060,1,Ball Progressor,42.2,42.2,3.517818381049349
Darko Brašanac,1718,Leganés,ESP-La Liga,"MF,FW",25.0,1203,0,Defensive Anchor,60.8,60.8,2.7171487128743874
Gabriel,1718,Leganés,ESP-La Liga,MF,23.0,2377,0,Defensive Anchor,49.6,49.6,2.9772092127271588
Gerard Gumbau,1718,Leganés,ESP-La Liga,MF,22.0,1434,0,Defensive Anchor,48.4,48.4,3.0066848106565303
Javier Eraso,1718,Leganés,ESP-La Liga,"MF,FW",27.0,2533,1,Ball Progressor,74.2,74.2,2.7347171825291072
Rubén Pérez,1718,Leganés,ESP-La Liga,MF,28.0,2516,0,Defensive Anchor,2.1,2.1,4.080139209223514
Cheick Doukouré,1718,Levante,ESP-La Liga,MF,24.0,1022,0,Defensive Anchor,59.1,59.1,2.7564100053165466
Enis Bardhi,1718,Levante,ESP-La Liga,MF,22.0,1580,1,Ball Progressor,24.8,24.8,3.942240832901737
Ivi,1718,Levante,ESP-La Liga,"MF,FW",23.0,1762,1,Ball Progressor,93.6,93.6,2.258238470343514
Jefferson Lerma,1718,Levante,ESP-La Liga,MF,22.0,2135,0,Defensive Anchor,56.4,56.4,2.820812255313861
José Campaña,1718,Levante,ESP-La Liga,MF,24.0,2734,3,Box-to-Box Engine,100.0,100.0,1.8037110877007394
José Luis Morales,1718,Levante,ESP-La Liga,"MF,FW",30.0,3058,2,Creative Playmaker,76.5,76.5,3.3085445501898914
Saša Lukić,1718,Levante,ESP-La Liga,MF,20.0,994,0,Defensive Anchor,81.0,81.0,2.2495496826400236
Adrián González,1718,Málaga,ESP-La Liga,"MF,FW",29.0,2340,0,Defensive Anchor,86.2,86.2,2.12818365249636
Chory Castro,1718,Málaga,ESP-La Liga,"MF,FW",32.0,2061,1,Ball Progressor,86.4,86.4,2.4352841138359778
Keko,1718,Málaga,ESP-La Liga,"MF,FW",25.0,1209,1,Ball Progressor,35.1,35.1,3.691220375707787
Manuel Iturra,1718,Málaga,ESP-La Liga,MF,33.0,1583,0,Defensive Anchor,48.8,48.8,2.996062615031942
Mehdi Lacen,1718,Málaga,ESP-La Liga,MF,33.0,1056,0,Defensive Anchor,93.8,93.8,1.9512975252605411
Recio,1718,Málaga,ESP-La Liga,MF,26.0,1837,0,Defensive Anchor,84.8,84.8,2.1610085393030998
Casemiro,1718,Real Madrid,ESP-La Liga,MF,25.0,2595,0,Defensive Anchor,0.0,0.0,4.1732519904928145
Isco,1718,Real Madrid,ESP-La Liga,MF,25.0,1774,2,Creative Playmaker,0.0,0.0,6.37424256904936
Lucas Vázquez,1718,Real Madrid,ESP-La Liga,"MF,FW",26.0,1679,2,Creative Playmaker,32.1,32.1,4.910915197505475
Luka Modrić,1718,Real Madrid,ESP-La Liga,MF,31.0,1970,3,Box-to-Box Engine,11.1,11.1,4.617777702915987
Mateo Kovačić,1718,Real Madrid,ESP-La Liga,MF,23.0,992,3,Box-to-Box Engine,15.1,15.1,4.506380712410267
Toni Kroos,1718,Real Madrid,ESP-La Liga,MF,27.0,2261,3,Box-to-Box Engine,0.0,0.0,5.072518046813398
Asier Illarramendi,1718,Real Sociedad,ESP-La Liga,MF,27.0,3163,3,Box-to-Box Engine,53.3,53.3,3.4437890575677184
David Zurutuza,1718,Real Sociedad,ESP-La Liga,MF,31.0,2242,0,Defensive Anchor,100.0,100.0,1.248476857743232
Igor Zubeldia,1718,Real Sociedad,ESP-La Liga,MF,20.0,1582,0,Defensive Anchor,61.8,61.8,2.695348608558321
Sergio Canales,1718,Real Sociedad,ESP-La Liga,"MF,FW",26.0,1928,2,Creative Playmaker,84.5,84.5,3.0211358244055924
Xabi Prieto,1718,Real Sociedad,ESP-La Liga,"MF,FW",33.0,1929,2,Creative Playmaker,68.5,68.5,3.5964881492639313
Franco Vázquez,1718,Sevilla,ESP-La Liga,MF,28.0,1838,2,Creative Playmaker,89.9,89.9,2.826081016811804
Guido Pizarro,1718,Sevilla,ESP-La Liga,MF,27.0,1755,0,Defensive Anchor,35.5,35.5,3.3054531846750375
Steven Nzonzi,1718,Sevilla,ESP-La Liga,MF,28.0,2214,3,Box-to-Box Engine,41.2,41.2,3.7792217420075875
Éver Banega,1718,Sevilla,ESP-La Liga,MF,29.0,2399,3,Box-to-Box Engine,0.0,0.0,4.953795272107307
Andreas Pereira,1718,Valencia,ESP-La Liga,MF,21.0,1078,2,Creative Playmaker,65.2,65.2,3.7159186790865677
Carlos Soler,1718,Valencia,ESP-La Liga,MF,20.0,2365,1,Ball Progressor,100.0,100.0,1.8865361190247927
Daniel Parejo,1718,Valencia,ESP-La Liga,MF,28.0,3001,3,Box-to-Box Engine,45.1,45.1,3.672635716268125
Geoffrey Kondogbia,1718,Valencia,ESP-La Liga,MF,24.0,2614,3,Box-to-Box Engine,49.2,49.2,3.556659599886141
Gonçalo Guedes,1718,Valencia,ESP-La Liga,MF,20.0,2439,2,Creative Playmaker,66.1,66.1,3.683195520336084
João Cancelo,1718,Valencia,ESP-La Liga,MF,23.0,1851,2,Creative Playmaker,0.0,0.0,8.404280155114412
Álvaro Medrán,1718,Valencia,ESP-La Liga,MF,23.0,947,0,Defensive Anchor,0.0,0.0,5.330088432651339
Dani Raba,1718,Villarreal,ESP-La Liga,"MF,FW",21.0,1110,1,Ball Progressor,41.4,41.4,3.536640118599881
Denis Cheryshev,1718,Villarreal,ESP-La Liga,"MF,FW",26.0,926,2,Creative Playmaker,28.0,28.0,5.060368159632954
Javi Fuego,1718,Villarreal,ESP-La Liga,MF,33.0,1341,0,Defensive Anchor,3.3,3.3,4.053905264015959
Manu Trigueros,1718,Villarreal,ESP-La Liga,MF,25.0,2698,3,Box-to-Box Engine,100.0,100.0,1.361654673798096
Pablo Fornals,1718,Villarreal,ESP-La Liga,"MF,FW",21.0,2620,2,Creative Playmaker,83.1,83.1,3.0696857793219987
Roberto Soriano,1718,Villarreal,ESP-La Liga,"MF,FW",26.0,1139,1,Ball Progressor,65.8,65.8,2.9384176509387085
Rodri,1718,Villarreal,ESP-La Liga,MF,21.0,3227,0,Defensive Anchor,5.9,5.9,3.9935579232794653
Samu Castillejo,1718,Villarreal,ESP-La Liga,"MF,FW",22.0,2074,2,Creative Playmaker,81.6,81.6,3.124204807223628
Darko Brašanac,1819,Alavés,ESP-La Liga,MF,26.0,1580,0,Defensive Anchor,84.9,84.9,2.158771477709674
Ibai Gómez,1819,Alavés,ESP-La Liga,"MF,FW",28.0,1449,1,Ball Progressor,73.1,73.1,2.7598026160049973
Jony,1819,Alavés,ESP-La Liga,"MF,FW",27.0,2971,2,Creative Playmaker,74.7,74.7,3.37441849476243
Manu García,1819,Alavés,ESP-La Liga,MF,32.0,2330,0,Defensive Anchor,72.2,72.2,2.4544676260630083
Manu García,1819,Alavés,ESP-La Liga,MF,32.0,1843,0,Defensive Anchor,72.2,72.2,2.4544676260630083
Tomás Pina Isla,1819,Alavés,ESP-La Liga,MF,30.0,2340,0,Defensive Anchor,62.8,62.8,2.672349856860543
Wakaso,1819,Alavés,ESP-La Liga,MF,28.0,1669,0,Defensive Anchor,61.4,61.4,2.7034922401687833
Beñat Etxebarria,1819,Athletic Club,ESP-La Liga,MF,31.0,2031,3,Box-to-Box Engine,67.9,67.9,3.038109448878284
Dani García,1819,Athletic Club,ESP-La Liga,MF,28.0,2476,0,Defensive Anchor,71.0,71.0,2.481995275511835
Iker Muniain,1819,Athletic Club,ESP-La Liga,"MF,FW",25.0,2383,1,Ball Progressor,43.2,43.2,3.4925704275562284
Mikel San José,1819,Athletic Club,ESP-La Liga,MF,29.0,1733,0,Defensive Anchor,75.1,75.1,2.387002007202697
Raúl García,1819,Athletic Club,ESP-La Liga,"MF,FW",32.0,2369,1,Ball Progressor,13.6,13.6,4.218379455978822
Koke,1819,Atlético Madrid,ESP-La Liga,MF,26.0,2586,3,Box-to-Box Engine,72.7,72.7,2.9040361463383895
Rodri,1819,Atlético Madrid,ESP-La Liga,MF,22.0,2735,0,Defensive Anchor,27.1,27.1,3.500327224527634
Saúl Ñíguez,1819,Atlético Madrid,ESP-La Liga,"MF,DF",23.0,2925,0,Defensive Anchor,74.9,74.9,2.389592184186592
Thomas Lemar,1819,Atlético Madrid,ESP-La Liga,MF,22.0,1817,1,Ball Progressor,68.9,68.9,2.8627972409245834
Thomas Partey,1819,Atlético Madrid,ESP-La Liga,MF,25.0,2070,3,Box-to-Box Engine,70.3,70.3,2.96929709463239
Ángel Correa,1819,Atlético Madrid,ESP-La Liga,"MF,FW",23.0,1919,1,Ball Progressor,66.0,66.0,2.9333951680250485
Arthur Melo,1819,Barcelona,ESP-La Liga,MF,21.0,1430,3,Box-to-Box Engine,38.6,38.6,3.8518964248599237
Arturo Vidal,1819,Barcelona,ESP-La Liga,MF,31.0,1929,3,Box-to-Box Engine,22.7,22.7,4.295090401541459
Ivan Rakitić,1819,Barcelona,ESP-La Liga,MF,30.0,2643,3,Box-to-Box Engine,48.1,48.1,3.5880058158949626
Sergio Busquets,1819,Barcelona,ESP-La Liga,MF,30.0,2715,0,Defensive Anchor,36.7,36.7,3.277029649233922
Andrés Guardado,1819,Betis,ESP-La Liga,"MF,DF",31.0,2335,3,Box-to-Box Engine,88.9,88.9,2.451765112891078
Giovani Lo Celso,1819,Betis,ESP-La Liga,"MF,FW",22.0,2397,2,Creative Playmaker,67.0,67.0,3.653521920818239
Sergio Canales,1819,Betis,ESP-La Liga,MF,27.0,2655,2,Creative Playmaker,85.0,85.0,3.0016556939301977
William Carvalho,1819,Betis,ESP-La Liga,MF,26.0,2385,3,Box-to-Box Engine,48.8,48.8,3.5689159891787994
Brais Méndez,1819,Celta Vigo,ESP-La Liga,"MF,FW",21.0,2349,1,Ball Progressor,78.1,78.1,2.6388990489965884
Fran Beltrán,1819,Celta Vigo,ESP-La Liga,MF,19.0,1517,0,Defensive Anchor,57.0,57.0,2.8057391961134575
Jozabed,1819,Celta Vigo,ESP-La Liga,MF,27.0,1155,0,Defensive Anchor,49.7,49.7,2.976373266576268
Okay Yokuşlu,1819,Celta Vigo,ESP-La Liga,MF,24.0,2198,0,Defensive Anchor,70.9,70.9,2.483073484549062
Sofiane Boufal,1819,Celta Vigo,ESP-La Liga,"MF,FW",24.0,2085,2,Creative Playmaker,57.4,57.4,3.996719149456626
Stanislav Lobotka,1819,Celta Vigo,ESP-La Liga,MF,23.0,2489,0,Defensive Anchor,35.8,35.8,3.297561605689737
Bebé,1819,Eibar,ESP-La Liga,MF,28.0,1302,2,Creative Playmaker,0.0,0.0,7.78383309714789
Fabián Orellana,1819,Eibar,ESP-La Liga,"MF,FW",32.0,2733,2,Creative Playmaker,87.6,87.6,2.9080891510313642
Gonzalo Escalante,1819,Eibar,ESP-La Liga,MF,25.0,1789,0,Defensive Anchor,58.4,58.4,2.774513637887375
Joan Jordán,1819,Eibar,ESP-La Liga,MF,24.0,2875,3,Box-to-Box Engine,78.9,78.9,2.7300801768955494
Marc Cucurella,1819,Eibar,ESP-La Liga,"MF,FW",20.0,2354,1,Ball Progressor,88.5,88.5,2.3831760323111473
Papakouli Diop,1819,Eibar,ESP-La Liga,MF,32.0,2352,0,Defensive Anchor,75.9,75.9,2.3675727972751823
Esteban Granero,1819,Espanyol,ESP-La Liga,MF,31.0,2013,3,Box-to-Box Engine,74.9,74.9,2.8432387131819468
Marc Roca,1819,Espanyol,ESP-La Liga,MF,21.0,3112,0,Defensive Anchor,71.4,71.4,2.470791757765999
Sergi Darder,1819,Espanyol,ESP-La Liga,MF,24.0,2709,1,Ball Progressor,88.7,88.7,2.3780632751792043
Víctor Sánchez,1819,Espanyol,ESP-La Liga,MF,30.0,1265,0,Defensive Anchor,86.0,86.0,2.1334379836804866
Óscar Melendo,1819,Espanyol,ESP-La Liga,"MF,FW",20.0,1997,1,Ball Progressor,38.4,38.4,3.6097249834885345
Amath,1819,Getafe,ESP-La Liga,MF,22.0,1002,1,Ball Progressor,100.0,100.0,2.0678788636786756
Dimitri Foulquier,1819,Getafe,ESP-La Liga,"MF,DF",25.0,1799,1,Ball Progressor,60.0,60.0,3.080768390426374
Francisco Portillo,1819,Getafe,ESP-La Liga,MF,28.0,1994,1,Ball Progressor,42.3,42.3,3.514825125250132
Mauro Arambarri,1819,Getafe,ESP-La Liga,MF,22.0,2676,0,Defensive Anchor,81.7,81.7,2.2327434707353766
Nemanja Maksimović,1819,Getafe,ESP-La Liga,MF,23.0,3209,0,Defensive Anchor,37.8,37.8,3.2519871851850626
Sergi Guardiola,1819,Getafe,ESP-La Liga,"MF,FW",27.0,1514,1,Ball Progressor,0.0,0.0,10.238770882753819
Aleix García,1819,Girona,ESP-La Liga,MF,21.0,1663,3,Box-to-Box Engine,100.0,100.0,1.8368572322660595
Borja García,1819,Girona,ESP-La Liga,"MF,FW",27.0,2629,1,Ball Progressor,68.8,68.8,2.866754260458844
Douglas Luiz,1819,Girona,ESP-La Liga,MF,20.0,1490,0,Defensive Anchor,50.4,50.4,2.9591162260029735
Pere Pons,1819,Girona,ESP-La Liga,MF,25.0,2792,0,Defensive Anchor,100.0,100.0,1.5576604101681468
Álex Granell,1819,Girona,ESP-La Liga,"MF,DF",29.0,2391,3,Box-to-Box Engine,90.6,90.6,2.405034682206851
