player_name_fbref,club,league,position,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,matching_confidence,expected_upside,portfolio_value_score,portfolio_cost,is_eligible_portfolio,expected_roi,matching_confidence_norm,risk_proxy,roi_score_norm,optimization_score,scenario,budget,max_signings,solver_status,budget_utilization,grid_scenario,grid_budget,grid_elapsed_seconds
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,93.46049752103364,500000.0,True,7.116626584516202,85.0,15.0,55.87884728775951,84.06508496271512,conservative,50000000,6,Optimal,0.722,conservative,50000000,0.12198449997231364
Ousmane Camara,Angers,Ligue 1,DF,DEF,22.598220396988363,1000000.0,6220258.354835828,5220258.354835828,5.0,2.3208829607210006,0.85,5220258.354835828,94.1534520037707,1000000.0,True,5.220258354835828,85.0,15.0,42.74670525366642,81.30176531624463,conservative,50000000,6,Optimal,0.722,conservative,50000000,0.12198449997231364
Mateus Fernandes,West Ham United,Premier League,MF,MID,21.270362765229294,32000000.0,46850395.10417414,14850395.104174135,0.4640748470054417,0.6691261547606671,0.85,14850395.104174135,78.14714728855878,32000000.0,True,0.4640748470054417,85.0,15.0,9.810656026788697,61.063024473116265,conservative,50000000,6,Optimal,0.722,conservative,50000000,0.12198449997231364
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,96.3266478623314,500000.0,True,13.488013068392833,100.0,0.0,100.0,97.24498589674855,conservative,75000000,7,Optimal,0.7213333333333334,conservative,75000000,0.10850719991140068
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,94.88046490164798,600000.0,True,11.319138956909441,85.0,15.0,84.98078461751709,92.40554483061526,conservative,75000000,7,Optimal,0.7213333333333334,conservative,75000000,0.10850719991140068
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,95.3607543528196,1500000.0,True,8.988459074112015,85.0,15.0,68.84108201236538,88.73083626770605,conservative,75000000,7,Optimal,0.7213333333333334,conservative,75000000,0.10850719991140068
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,93.46049752103364,500000.0,True,7.116626584516202,85.0,15.0,55.87884728775951,84.06508496271512,conservative,75000000,7,Optimal,0.7213333333333334,conservative,75000000,0.10850719991140068
Pablo,West Ham United,Premier League,"MF,FW",MID,21.744010951403148,1500000.0,10456423.118064376,8956423.118064377,5.0,2.361008690955276,0.85,8956423.118064376,94.73583548881884,1500000.0,True,5.97094874537625,85.0,15.0,47.94515388717216,83.03816508840717,conservative,75000000,7,Optimal,0.7213333333333334,conservative,75000000,0.10850719991140068
Filippo Terracciano,Cremonese,Serie A,DF,DEF,22.87200547570157,4500000.0,24042844.878461286,19542844.878461286,4.342854417435841,2.14726618361751,0.85,19542844.878461286,94.47406079480832,4500000.0,True,4.342854417435841,85.0,15.0,36.67077920361275,80.02324039700943,conservative,75000000,7,Optimal,0.7213333333333334,conservative,75000000,0.10850719991140068
Elliot Anderson,Nottingham Forest,Premier League,MF,MID,22.94592744695414,45000000.0,48978206.90008575,3978206.9000857472,0.0884045977796832,0.3305616063360065,1.0,3978206.9000857472,76.12179530830777,45000000.0,True,0.08840459777968328,100.0,0.0,7.209180747039199,58.89364166799063,conservative,75000000,7,Optimal,0.7213333333333334,conservative,75000000,0.10850719991140068
