player_name_fbref,club,league,position,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,matching_confidence,expected_upside,expected_roi,inefficiency_score_norm,upside_score_norm,matching_confidence_norm,age_potential_score,portfolio_value_score,player_level_tier,player_level_rank,portfolio_cost,is_eligible_portfolio,risk_proxy,roi_score_norm,optimization_score,scenario,budget,max_signings,minimum_player_level,solver_status,budget_utilization
Ayoube Amaimouni Echghouyab,Eintracht Frankfurt,Bundesliga,"MF,FW",MID,20.85968514715948,500000.0,7244006.534196417,6744006.534196417,5.0,2.361008690955276,1.0,6744006.534196417,13.488013068392831,100.0,88.73109521387053,100.0,91.43874058863793,96.3266478623314,Elite Target,5,500000.0,True,0.0,100.0,97.61232111051541,balanced,30000000,5,Development Prospect,Optimal,0.77
Pedro Santos,Famalicão,Liga Portugal,MF,MID,22.85284052019165,600000.0,7391483.374145665,6791483.374145665,5.0,2.361008690955276,0.85,6791483.374145665,11.31913895690944,100.0,88.7573147742853,85.0,99.4113620807666,94.88046490164798,Elite Target,5,600000.0,True,15.0,84.94958083086249,91.40465547687306,balanced,30000000,5,Development Prospect,Optimal,0.77
Pablo,Gil Vicente FC,Liga Portugal,FW,ATT,21.744010951403148,1500000.0,14982688.611168023,13482688.611168023,5.0,2.361008690955276,0.85,13482688.611168023,8.988459074112015,100.0,92.45259988903337,85.0,94.9760438056126,95.3607543528196,Elite Target,5,1500000.0,True,15.0,68.77634652489063,86.05621161304447,balanced,30000000,5,Development Prospect,Optimal,0.77
Kareem Tunde,Levante,LaLiga,MF,MID,20.418891170431213,500000.0,4058313.2922581015,3558313.292258101,5.0,2.361008690955276,0.85,3558313.292258101,7.116626584516203,100.0,86.97176421144462,85.0,89.67556468172485,93.46049752103364,Key Player Profile,4,500000.0,True,15.0,55.78718157812516,80.27483694101568,balanced,30000000,5,Development Prospect,Optimal,0.77
Michael Kayode,Brentford,Premier League,DF,DEF,21.270362765229294,20000000.0,43988025.186965816,23988025.186965816,1.1994012593482908,1.1338069664627246,0.85,23988025.186965816,1.1994012593482908,75.02923693121397,98.2542772399495,85.0,93.08145106091716,84.13633288168607,First Team Ready,3,20000000.0,True,15.0,14.725913434211092,59.84268607506983,balanced,30000000,5,Development Prospect,Optimal,0.77
