model,split,feature_set_A,feature_set_B,MAE_A,MAE_B,RMSE_A,RMSE_B,R2_A,R2_B,delta_MAE_B_minus_A,delta_RMSE_B_minus_A,delta_R2_B_minus_A,MAE_improves,RMSE_improves,R2_improves
LightGBM,test,A_v13A_current,B_v13B_advanced,0.8023126157390027,0.7830020095080324,1.0048811566431564,0.9803317560522412,0.39713967011915163,0.42623580396880223,-0.01931060623097025,-0.02454940059091515,0.029096133849650596,True,True,True
HistGradientBoosting,test,A_v13A_current,B_v13B_advanced,0.7903944063236935,0.781814038117257,0.9867410045750857,0.974465759919095,0.41870892663584536,0.4330817087251445,-0.008580368206436484,-0.012275244655990725,0.014372782089299152,True,True,True
XGBoost,test,A_v13A_current,B_v13B_advanced,0.7852398356030866,0.7777385022958286,0.9721705576786511,0.9638858465371071,0.4357491390404862,0.44532510686792925,-0.007501333307257996,-0.008284711141544054,0.009575967827443077,True,True,True
RandomForest,test,A_v13A_current,B_v13B_advanced,0.8042580745463622,0.8034360014493428,0.988846205032042,0.9805673053107137,0.4162259252424342,0.4259600484061925,-0.0008220730970194268,-0.008278899721328337,0.009734123163758324,True,True,True
LightGBM,train,A_v13A_current,B_v13B_advanced,0.5512836881152905,0.4979423133056096,0.686401073885199,0.6243719167528807,0.7161179390424391,0.7651077095125264,-0.053341374809680875,-0.06202915713231827,0.048989770470087235,True,True,True
HistGradientBoosting,train,A_v13A_current,B_v13B_advanced,0.6142381877054294,0.5801498412659358,0.7607409397800452,0.7174397537840571,0.6512970525094176,0.6898634753202345,-0.034088346439493544,-0.04330118599598809,0.0385664228108169,True,True,True
XGBoost,train,A_v13A_current,B_v13B_advanced,0.6669491997158439,0.64086832320258,0.8231268485685282,0.7916709177452794,0.5917599803920751,0.6223657089352922,-0.02608087651326385,-0.03145593082324882,0.03060572854321708,True,True,True
RandomForest,train,A_v13A_current,B_v13B_advanced,0.7375574256279499,0.7278268452229845,0.9032369153276346,0.8914422450338987,0.5084299680370135,0.5211842104154764,-0.009730580404965439,-0.011794670293735932,0.012754242378462899,True,True,True
