league,players,undervalued_rate,inefficiency_score_z_mean,inefficiency_score_z_median,inefficiency_score_z_std,growth_score_mean,growth_score_median,growth_score_std,growth_score_z_mean,growth_score_z_median,growth_score_z_std,confidence_score_mean,confidence_score_median,confidence_score_std,confidence_score_z_mean,confidence_score_z_median,confidence_score_z_std,opportunity_score_mean,opportunity_score_median,opportunity_score_std,sample_share
Eredivisie,199,0.4824120603015075,-0.05543752451826332,-0.0134695638776798,0.9707865441690108,20.128568995686226,15.479561707129594,14.960511079489976,-0.03967324075544034,-0.3009531984679537,0.8407992200460307,81.41187914186014,84.41111111111111,10.118446278780173,0.08667181467278269,0.3623573737535169,0.9300746150990541,51.82782690412027,52.836359512182185,15.27100717831672,0.17486818980667837
Ligue 1,198,0.51010101010101,-0.023580203383047713,0.0688591543874443,1.0798463710183228,19.94463650445246,13.914954866404294,15.807016645585326,-0.05001047417940332,-0.3888860374178224,0.8883738794915461,79.87691624686575,79.76527777777778,11.126750852570101,-0.0544200075714264,-0.06468167258465955,1.0227566793737821,51.471129459203745,53.76046643720133,17.745777852901696,0.17398945518453426
Serie A,169,0.5502958579881657,0.13427212956970805,0.1294069161605525,0.8355513184685697,23.26568904900912,13.360256356348806,21.73044840017042,0.13663678501906484,-0.4200607795196978,1.2212780679105442,79.31453252017147,80.85833333333333,10.614261286735506,-0.10611359903122296,0.0357905933250994,0.9756492952405588,54.778403788541986,55.235815915195175,14.977009582231252,0.14850615114235502
Premier League,166,0.39759036144578314,-0.11596250217090483,-0.1668847132442528,0.8705841609469908,17.86230949739897,13.199264700758505,13.965335532392665,-0.16703982659314764,-0.4291087096161378,0.7848691238506258,82.02051073178214,85.54424603174604,11.830720835862087,0.14261645045357182,0.46651368353943756,1.0874646980964464,50.37909803464687,50.565237354874384,15.076150029373128,0.14586994727592267
LaLiga,148,0.5945945945945946,0.2842772866417025,0.3950894101582799,1.1078313985568942,25.827081298800547,15.395319241209874,24.56914119823746,0.28059019639744154,-0.3056877292111689,1.3808161129601668,80.72734172292998,82.61944444444445,10.54809036355026,0.023750012363315174,0.1976696697845347,0.9695669487797849,58.658333082232694,61.28767501929272,19.243104600260033,0.13005272407732865
Bundesliga,143,0.4405594405594406,-0.12552735909445575,-0.0496073827088292,0.9671100908862966,19.5863115767603,11.029140343025656,16.541837844354085,-0.07014877815350075,-0.5510723816918968,0.929671739405241,80.76990989911627,81.72222222222223,10.814470213343903,0.02766282456699996,0.1151981529132452,0.9940522432055262,50.27089927162851,49.67179599374168,16.6856989646067,0.1256590509666081
Liga Portugal,115,0.4782608695652174,-0.10316428661215149,-0.0063735789161647,1.1226390878360741,19.432373920702194,14.883841648566628,13.400473150873692,-0.0788002647545708,-0.3344334023155481,0.7531231596057538,78.60678208336138,80.39166666666667,10.9354897137296,-0.1711691121965986,-0.0071048086389149,1.0051762005938008,49.47512521253798,50.58127538984997,18.18076008747907,0.10105448154657294
