opportunity_tier,players,avg_opportunity_score,avg_growth_score,avg_confidence_score,undervalued_rate,sample_share
target_scouting,53,86.66426365127599,43.97942352285624,85.11487720874514,0.9622641509433962,0.04657293497363796
high_priority,323,68.16054891591217,25.557954572868177,84.06275240025252,0.9009287925696594,0.28383128295254834
monitoring,499,50.57664129693691,18.95387640223395,80.55265257379742,0.4408817635270541,0.4384885764499121
interesting,226,32.430552543278196,14.113839149060382,75.89878539842752,0.0,0.19859402460456943
low_opportunity,37,13.76218478385898,12.859484494694179,69.2275978900979,0.0,0.03251318101933216
