position_group,players,undervalued_rate,inefficiency_score_z_mean,inefficiency_score_z_median,inefficiency_score_z_std,growth_score_mean,growth_score_median,growth_score_std,growth_score_z_mean,growth_score_z_median,growth_score_z_std,confidence_score_mean,confidence_score_median,confidence_score_std,confidence_score_z_mean,confidence_score_z_median,confidence_score_z_std,opportunity_score_mean,opportunity_score_median,opportunity_score_std,sample_share
MID,606,0.5016501650165016,0.0460619736681242,0.0434896990357109,0.9695455066345039,20.539115630835802,13.978897748714436,17.403014779193406,-0.01660001225460935,-0.3852923683721459,0.9780709479140471,80.48718360448697,82.03690476190478,10.754915703454822,0.0016749858800288943,0.14412336869340198,0.9885780689759638,53.02549812018171,53.62626153701914,16.28675866456879,0.5325131810193322
DEF,388,0.5025773195876289,-0.009910019791626468,0.03762584850982,1.0495437927720999,21.29091201242708,13.943216544462873,18.70315233331169,0.025651873922057453,-0.38729769616780824,1.0511402859631898,81.3497853553267,83.75277777777778,10.683167242456216,0.08096423338817002,0.3018442174114256,0.9819830423870307,52.90829833193259,53.143581905316296,17.6295658951815,0.3409490333919156
ATT,111,0.43243243243243246,-0.18861948304276552,-0.1186317971014344,1.0310576648943122,19.06204691899751,12.910390130934438,16.021370380973483,-0.09961310012769889,-0.4453438176086845,0.9004208244502241,76.82718575047008,75.55277777777778,11.734087370133736,-0.3347473265531515,-0.4518892742419668,1.0785822737630335,47.19441353817795,48.60783809024159,17.309792917301415,0.09753954305799649
GK,33,0.45454545454545453,-0.09490017412076471,-0.0170131252507204,0.78028568293491,26.853834282937765,25.942443515041543,18.91568906643739,0.3382949835972608,0.2870736955855936,1.0630851131481525,82.02758100485374,86.41666666666667,10.344714206023646,0.14326634089371823,0.5467054702893401,0.9508728730076403,54.086711392567416,54.35626761816775,14.987268235664894,0.02899824253075571
