role_subgroup,k,silhouette,calinski_harabasz,inertia
DEF_CB,3,0.1568478872725999,795.5556126777809,46579.29700925231
DEF_CB,4,0.15430264221892082,753.4966008937176,41903.239089604656
DEF_CB,5,0.13071870318428583,670.4606627838855,39410.756917224804
DEF_CB,6,0.1190731038567491,591.0249436060265,37944.80518633484
DEF_CB,7,0.09921919499333182,531.7767484423365,36765.28262989155
DEF_CB,8,0.10258561932638834,488.7409450877579,35679.21116550016
MID,3,0.23227113820296208,2273.105951425184,57845.28529038488
MID,4,0.21948612518140487,2006.3758779012917,50554.27384806092
MID,5,0.18553573139881677,1746.5135713039476,46688.2129266118
MID,6,0.1601251169965697,1549.0364446341996,44042.20062363229
MID,7,0.1568303070451812,1428.7645802438362,41479.38693449402
MID,8,0.14487693576115612,1315.2781460251942,39706.360915624595
ATT_CF,3,0.2441437288390803,603.6159093203958,19731.467784648943
ATT_CF,4,0.18610278952037734,522.8453111613239,17606.74310824345
ATT_CF,5,0.19162159098540846,474.8695817138679,16024.119628673925
ATT_CF,6,0.15426719734250677,426.30219636185143,15071.896873346082
ATT_CF,7,0.13984517521992312,384.4556823527006,14422.87205641815
ATT_CF,8,0.1312090925719875,351.1534997290618,13904.550626833243
