position_taxonomy,player,team,season,pos_,position_confidence,representative_score
W,Karim Bellarabi,Leverkusen,1920,"FW,DF",52.39,39.14162881278534
W,Willian,Arsenal,2021,FW,55.92,38.94747483791734
CF,Patrik Schick,Leverkusen,2425,FW,84.67,60.62479905810822
CF,Alexander Sørloth,Atlético Madrid,2425,FW,83.77,60.28644001114265
CF,Rodrigo Muniz,Fulham,2425,FW,85.06,59.57792422396893
CF,Patrik Schick,Leverkusen,2122,FW,81.82,59.29289170698007
CF,Lucas Alario,Leverkusen,1920,FW,83.47,59.2212711943459
CF,Robert Lewandowski,Barcelona,2425,FW,83.28,59.15978541113226
CF,Rodrigo Muniz,Fulham,2324,FW,83.3,58.80888948626197
CF,Erling Haaland,Manchester City,2223,FW,81.11,58.63999076153225
CF,Erling Haaland,Manchester City,2324,FW,81.75,58.522704405259525
CF,Pierre-Emerick Aubameyang,Barcelona,2122,FW,81.77,58.29778858058163
CF,Olivier Giroud,Chelsea,1920,FW,82.79,58.22801862775809
CF,Serhou Guirassy,Rennes,2122,FW,81.99,58.188332064522086
CF,Paco Alcácer,Dortmund,1819,FW,80.1,57.95945128776836
CF,Álvaro Morata,Atlético Madrid,2324,FW,82.03,57.94636638247255
CF,Erling Haaland,Manchester City,2425,FW,81.83,57.8916210957832
