role_subgroup,archetype_id,n_players,progressive_passes_p90_mean,progressive_passes_p90_median,pass_completion_pct_mean,pass_completion_pct_median,long_pass_completion_pct_mean,long_pass_completion_pct_median,passes_final_third_p90_mean,passes_final_third_p90_median,blocks_p90_mean,blocks_p90_median,clearances_p90_mean,clearances_p90_median,interceptions_p90_mean,interceptions_p90_median,tackles_p90_mean,tackles_p90_median,tackles_won_p90_mean,tackles_won_p90_median,aerials_won_p90_mean,aerials_won_p90_median,aerials_won_pct_mean,aerials_won_pct_median,duel_index_role_mean,duel_index_role_median,defending_index_role_mean,defending_index_role_median,errors_p90_mean,errors_p90_median,recoveries_p90_mean,recoveries_p90_median,progressive_passes_p90_z,pass_completion_pct_z,long_pass_completion_pct_z,passes_final_third_p90_z,blocks_p90_z,clearances_p90_z,interceptions_p90_z,tackles_p90_z,tackles_won_p90_z,aerials_won_p90_z,aerials_won_pct_z,duel_index_role_z,defending_index_role_z,errors_p90_z,recoveries_p90_z,progressive_carries_p90_mean,progressive_carries_p90_median,progressive_receipts_p90_mean,progressive_receipts_p90_median,key_passes_p90_mean,key_passes_p90_median,sca_p90_mean,sca_p90_median,gca_p90_mean,gca_p90_median,gca_live_p90_mean,gca_live_p90_median,passes_penalty_area_p90_mean,passes_penalty_area_p90_median,touches_att_third_p90_mean,touches_att_third_p90_median,touches_box_p90_mean,touches_box_p90_median,takeons_attempted_p90_mean,takeons_attempted_p90_median,takeons_success_pct_mean,takeons_success_pct_median,creation_index_role_mean,creation_index_role_median,progression_index_role_mean,progression_index_role_median,progressive_carries_p90_z,progressive_receipts_p90_z,key_passes_p90_z,sca_p90_z,gca_p90_z,gca_live_p90_z,passes_penalty_area_p90_z,touches_att_third_p90_z,touches_box_p90_z,takeons_attempted_p90_z,takeons_success_pct_z,creation_index_role_z,progression_index_role_z,xg_p90_mean,xg_p90_median,shots_p90_mean,shots_p90_median,sot_p90_mean,sot_p90_median,g_per_shot_mean,g_per_shot_median,g_per_sot_mean,g_per_sot_median,shot_distance_mean,shot_distance_median,carries_box_p90_mean,carries_box_p90_median,finishing_index_role_mean,finishing_index_role_median,xg_p90_z,shots_p90_z,sot_p90_z,g_per_shot_z,g_per_sot_z,shot_distance_z,carries_box_p90_z,finishing_index_role_z
DEF_CB,0,983,5.0804824278472855,4.951456310679611,86.74130213631739,87.3,65.18331637843336,65.5,4.6200492659780155,4.357142857142857,1.0266434739487926,1.0086455331412103,2.934486612808884,2.9056603773584904,1.1524686641191435,1.1379310344827587,1.4806184640203566,1.4285714285714286,0.915713769701117,0.8737864077669902,1.7499469510363457,1.6877637130801688,58.22675483214649,58.7,40.76623759018115,41.017197452229304,2.41061575553374,2.3972125435540073,0.04835939591937419,0.03802281368821293,5.458861562771524,5.390946502057613,1.0549173553773987,0.8600281295622223,0.8124754457616535,1.1786772597747595,-0.41591838307531265,-0.43006416640568695,-0.3304874139319281,-0.3641096738835859,-0.3403563328709464,-0.06453150162524496,0.23970657864354328,0.1696170300093563,-0.3875114986525784,0.11188062843118506,0.26451576039459535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_CB,1,1694,3.6225154370452257,3.526610644257703,75.90643447461629,76.0,47.16782762691853,46.4,2.7367825528660075,2.626578073089701,1.1524002296644835,1.129032258064516,2.643417598620315,2.5751922207146087,1.2318263423555533,1.1679871898850003,2.077486748962074,2.03125,1.2953800917880611,1.273156089193825,1.1335580827899217,1.0471204188481675,48.23943329397875,49.349999999999994,33.231692687156055,33.585851684847384,2.4501208830766954,2.4383458646616543,0.02852273791438888,0.0,5.145473495781052,5.142183288409704,0.014650188440526185,-0.704778630948375,-0.7315659393169904,-0.1903190429796227,-0.061579696515762734,-0.6393665180977902,-0.17277129286836615,0.577725563229584,0.5441708183541882,-0.7030625121158717,-0.6531249604873552,-0.6602956676708094,-0.2948591540994278,-0.27098733691999144,0.0026730264779203402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_CB,2,1738,2.745741322065718,2.67024535566735,82.17474108170312,82.9,58.66150747986191,58.6,2.3366990054837316,2.27841057868552,1.2790449948822884,1.2576733325801228,4.7374606341703185,4.657888697647734,1.4975441789417334,1.436794918450392,1.485021501594057,1.4204545454545454,0.9167718349184175,0.8746584699453552,2.508974399362989,2.3925944856177415,61.149769850402755,61.3,44.198249256808,44.68500167954316,2.7918335800166845,2.765694772786971,0.05296885988023885,0.042735042735042736,4.960096590495028,4.849054454317612,-0.610932784553644,0.20051055780602903,0.2535151542113198,-0.4811503380616263,0.2952610911741856,0.8664211491567588,0.35531858343734063,-0.35716184964519576,-0.3378913067202863,0.7217620032346969,0.501013875868226,0.5476451786738522,0.506568015086257,0.20084803854695646,-0.15221352089843732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MID,0,2050,3.2571677652973836,3.1287472141130674,,,,,2.095658647147526,1.92,,,,,0.630293013385642,0.5844155844155844,1.443621369983524,1.401417671226692,,,,,,,,,1.6963129065401596,1.7102913189869713,,,4.539341468718368,4.554455445544555,-0.6287949225826537,,,-0.6674046791276959,,,-0.5878291940480003,-0.4837178996050853,,,,,-0.6620303453664464,,-0.6157301234426973,2.4222516704035915,2.3285705562679366,5.8371916620122555,5.778336125069794,1.2149734049038432,1.1722567182410424,2.8043951219512198,2.8049999999999997,0.2920439024390244,0.28,0.18965606270857677,0.18107744770148862,0.9351820244155575,0.9294019933554818,18.71823558878641,18.57142857142857,2.922839863903764,2.797276956759715,2.6144478699373788,2.426827527127356,48.01078048780488,47.75,0.9123478517124759,0.9130197044334976,3.403067436215189,3.4132525083612038,0.27599631497380134,0.5406088432232994,0.03317547916109738,0.03360647243900042,0.010428028184427306,-0.07543602610796087,-0.0005545235270451272,0.2527652914579003,0.5007669548086199,0.3333384430756377,-0.49133202381014507,0.03560275184372347,-0.10972134263631003,,,,,,,,,,,,,,,,,,,,,,,,
MID,1,2528,4.829671891534229,4.631750241080039,,,,,4.109872494801285,3.849002849002849,,,,,1.332264495431155,1.2827368709721652,2.269777016016923,2.204724409448819,,,,,,,,,2.5570162579883315,2.5390625,,,6.3090092297320925,6.283040288775035,0.18826795747165415,,,0.4045403230520191,,,0.725587133563932,0.6036898773046389,,,,,0.7974831654434275,,0.6020131409707611,1.181805881703947,1.064701778862923,1.7374034238536544,1.441874566874567,0.7903517818374942,0.7189542483660131,2.0044343354430376,1.92,0.17760284810126584,0.16,0.13241227049869278,0.11627906976744186,0.5972140515503931,0.5500809061488674,11.104929669152213,10.820613542835765,0.9697869276767576,0.8520721992538065,1.2611632055403152,1.115405196503954,61.4271790808241,61.9,0.6204548500383849,0.5849807400667273,2.9646884229732784,2.87286759716972,-0.6741122291427796,-0.8530828372548511,-0.617033936921344,-0.6445792854603335,-0.5625878421124251,-0.4605639815661584,-0.5838261649542662,-0.7804584413884553,-0.7616447421739402,-0.6020038497614212,0.4006465892782666,-0.6615508032939819,-0.4843232905740841,,,,,,,,,,,,,,,,,,,,,,,,
MID,2,1099,5.8912243217918325,5.583756345177665,,,,,3.940455434000092,3.482142857142857,,,,,0.63845820534836,0.5847953216374269,1.4416163382306408,1.391304347826087,,,,,,,,,1.7331749885434085,1.7063492063492063,,,5.0908105461567414,5.043227665706051,0.7398436713431288,,,0.3143782124988832,,,-0.572551797862803,-0.4863569751007311,,,,,-0.5995225061326372,,-0.23625338245364413,3.414261279279004,3.2222222222222223,7.05298458649532,6.931216931216932,2.0798043176167433,1.9855595667870036,4.439754322111009,4.26,0.5445313921747044,0.52,0.3792517178773173,0.3643724696356275,1.7142603811372108,1.6355140186915889,26.609976522575202,25.666666666666668,3.4134612401777047,3.1515151515151514,3.2360768029260054,2.9467084639498435,55.34622383985441,55.2,1.506779789819982,1.4444604316546763,5.074731405391563,4.905913978494623,1.0358173517530986,0.9539083566628757,1.3574632031455034,1.4200210783837772,1.27465387359612,1.2001361227666685,1.343993920140881,1.3237762441686274,0.8178941318089646,0.7629862819761745,-0.0036408940196053442,1.4553364781142428,1.3187425213609847,,,,,,,,,,,,,,,,,,,,,,,,
ATT_CF,0,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8069595124980737,3.648258067373923,9.837700547195778,9.43793602737923,1.7375158636177643,1.6597181196725463,4.008844339622642,3.785,0.5513443396226415,0.525,0.35494821729567366,0.3411529368976177,,,,,5.866250686469481,5.772814142379359,3.788650543775021,3.423576118491373,50.255188679245286,49.650000000000006,1.3514748708367608,1.2879851296546638,4.713366088371769,4.5597310126582276,1.1597238420316431,1.2401135848868252,1.107901958790301,1.2889794478294032,1.0473881813264105,0.9801281277766043,,,0.8890209186248913,1.0229585817052433,0.20507094741831985,1.2855456054638854,1.2611313955170518,0.4225,0.39,2.9960613207547167,2.89,1.173183962264151,1.12,0.13014150943396227,0.13,0.3299528301886793,0.32,16.561084905660376,16.4,1.7650693908003472,1.6298530699620513,2.180618061822198,2.135231298150518,0.3560023832731398,0.6789436721317862,0.6185310878638473,0.03458126182209637,-0.024032715260950847,0.2954801771873822,1.2493519567386966,0.8011803597867373
ATT_CF,1,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.530583263315478,2.4068287037037037,6.302837926508818,6.279146793852677,1.1594047677376416,1.0754830141798397,2.557679558011049,2.46,0.2613812154696133,0.265,0.1834166992849466,0.17229224128334836,,,,,2.4723803805519617,2.5303343229637276,2.375467039636749,2.253205128205128,48.483977900552496,47.849999999999994,0.8443008430502907,0.8127644433819428,3.498512501240524,3.507195279068697,0.2815924029964689,-0.22932760224686966,-0.002139833923724188,-0.12988684533458708,-0.3841188093821601,-0.20146696312990117,,,-1.2117467168207363,0.051653393301735594,0.06821868843303554,-0.13567697066733822,0.2622364564360508,0.12414364640883978,0.11,1.2873480662983425,1.205,0.39635359116022106,0.37,0.06831491712707183,0.06,0.22869565217391305,0.22,18.638950276243094,18.45,0.666289383557624,0.5609860766736601,0.8761666838451991,0.8942554517133956,-1.1994168656119906,-1.1802990278814427,-1.1998973338464123,-0.8706487040696984,-0.6879855395279365,0.9655809567712712,-0.33753090705946664,-1.3026737100228458
ATT_CF,2,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2677812043314813,1.1498257839721255,5.800922063344679,5.714285714285714,0.9189334745544668,0.8955223880597014,2.1852027695351137,2.17,0.2780712166172107,0.26,0.1634634107103243,0.15151515151515152,,,,,4.528609517945203,4.484848484848484,1.6492174728183298,1.5286624203821657,46.171810089020774,46.2,0.7176581093520407,0.7135471698113208,2.4221351165392258,2.3815789473684212,-0.5872001571771888,-0.43797385556740603,-0.4638732053874377,-0.4940734400282357,-0.3017226309456538,-0.3389152181248821,,,0.061036045491743456,-0.4475103531337805,-0.11043051129389327,-0.4905601121019893,-0.6227985251524046,0.4079525222551928,0.39,2.498803165182987,2.44,0.981671612265084,0.96,0.14808110781404552,0.14,0.3709594460929772,0.37,14.188526211671613,14.1,0.6208850374715414,0.576923076923077,1.7647347621449259,1.7396363636363639,0.2801621116159534,0.137879457081311,0.17023308961239314,0.2972427060936319,0.2448515157346992,-0.4696576671401089,-0.40310488753875406,0.1304326513142369
