player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,assumed_buy_price_eur,assumed_sell_price_eur,expected_profit_eur,expected_roi_pct,risk_adjusted_profit_eur,risk_adjusted_roi_pct,positive_roi_flag,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
James Hill,James Hill,Bournemouth,Premier League,2024-2025,DEF,22.93223819301848,448,2000000.0,3863669.741363112,2000000.0,2931834.870681556,931834.8706815559,46.59174353407779,606883.3438333267,30.344167191666337,True,0.7991655195881379,10.994299876987418,65.12777777777778,52.96469178545535,monitoring,0.85,exact_age_validated
Dilane Bakwa,Dilane Bakwa,Strasbourg,Ligue 1,2023-2024,MID,21.138945927446954,2177,7000000.0,4581646.549009396,7000000.0,5790823.274504698,-1209176.7254953021,-17.27395322136146,-1060044.9293508816,-15.143498990726881,False,-0.4616794909924112,30.80531890462548,87.66666666666667,52.944155030886,monitoring,0.85,exact_age_validated
João Gomes,João Gomes,Wolves,Premier League,2023-2024,MID,22.652977412731005,2649,22000000.0,18188334.772735912,22000000.0,20094167.386367954,-1905832.6136320457,-8.662875516509299,-1752836.6065932512,-7.967439120878414,False,-0.1895604627220835,14.384401475854462,91.97222222222224,52.893091798919095,monitoring,0.85,exact_age_validated
Yorbe Vertessen,Yorbe Vertessen,PSV,Eredivisie,2023-2024,MID,22.93223819301848,437,4000000.0,7190706.598195158,4000000.0,5595353.299097579,1595353.299097579,39.883832477439476,1084586.0131091585,27.114650327728963,True,0.7153184297791796,10.199184357455511,67.9840643274854,52.836359512182185,monitoring,0.85,exact_age_validated
Saidou Sow,Saïdou Sow,Nantes,Ligue 1,2024-2025,DEF,22.261464750171115,799,4000000.0,5150832.963259081,4000000.0,4575416.481629541,575416.4816295411,14.38541204073853,415946.1972623763,10.398654931559408,True,0.3266568355681795,19.653663154146106,72.28611111111111,52.78700087859994,monitoring,0.85,exact_age_validated
Quentin Merlin,Quentin Merlin,Nantes,Ligue 1,2023-2024,DEF,21.418206707734427,1283,10000000.0,10378459.351759484,10000000.0,10189229.675879743,189229.67587974295,1.8922967587974298,156217.35746426226,1.5621735746426226,True,0.0753588179732991,16.037765668363015,82.55436507936508,52.78030161913497,monitoring,0.85,exact_age_validated
Tiago Gouveia,Tiago Gouveia,Benfica,Liga Portugal,2023-2024,MID,22.5242984257358,537,3500000.0,6193903.129599825,3500000.0,4846951.564799912,1346951.5647999123,38.48433042285463,922998.5597791402,26.37138742226115,True,0.69703741332723,10.053674839749371,68.52500000000002,52.77849276383184,monitoring,0.85,exact_age_validated
Carlos Martín,Carlos Martín,Alavés,LaLiga,2024-2025,MID,22.472279260780287,1333,4000000.0,4447630.320232115,4000000.0,4223815.160116058,223815.16011605784,5.595379002901446,182682.01920155392,4.567050480038848,True,0.1556581291246808,13.851015168172482,81.6218253968254,52.68083593966492,monitoring,0.85,exact_age_validated
Alessandro Bianco,Alessandro Bianco,Monza,Serie A,2024-2025,MID,22.21492128678987,2600,5000000.0,3098113.6988135315,5000000.0,4049056.849406766,-950943.1505932342,-19.018863011864685,-821773.3726376534,-16.435467452753066,False,-0.5255100186293099,34.19740882835558,86.41666666666667,52.66412448926436,monitoring,0.85,exact_age_validated
Diant Ramaj,Diant Ramaj,Ajax,Eredivisie,2023-2024,GK,22.07529089664613,1824,1000000.0,698523.429704052,1000000.0,849261.714852026,-150738.28514797403,-15.073828514797402,-135287.61092030673,-13.528761092030672,False,-0.3858822042911905,24.3593680578169,89.75000000000001,52.660013415870736,monitoring,0.85,exact_age_validated
Filip Krastev,Filip Krastev,Zwolle,Eredivisie,2024-2025,MID,22.99794661190965,2174,3500000.0,2890803.3579813563,3500000.0,3195401.678990678,-304598.32100932207,-8.702809171694916,-280991.9511310996,-8.02834146088856,False,-0.1906863992027904,13.360255974259095,92.25,52.627143344252566,monitoring,0.85,exact_age_validated
Charlie Cresswell,Charlie Cresswell,Toulouse,Ligue 1,2024-2025,DEF,22.31622176591376,2592,5000000.0,4148485.97358646,5000000.0,4574242.98679323,-425757.0132067697,-8.515140264135395,-383890.9069081041,-7.677818138162082,False,-0.1854044755895387,15.824466284610429,90.16666666666669,52.60642306592771,monitoring,0.85,exact_age_validated
Takefusa Kubo,Takefusa Kubo,Real Sociedad,LaLiga,2023-2024,MID,22.35728952772073,2150,50000000.0,35583834.300202206,50000000.0,42791917.1501011,-7208082.849898897,-14.416165699797794,-6469254.357784262,-12.938508715568526,False,-0.3641501712058506,23.35210814527611,89.75000000000001,52.60093526497099,monitoring,0.85,exact_age_validated
Otso Liimatta,Otso Liimatta,Famalicão,Liga Portugal,2023-2024,MID,19.04722792607803,464,600000.0,989157.6486752332,600000.0,794578.8243376166,194578.82433761656,32.42980405626943,122465.7500511588,20.4109583418598,True,0.6144680029701655,19.99951872428256,62.9388888888889,52.55384031108464,monitoring,0.85,exact_age_validated
William Saliba,William Saliba,Arsenal,Premier League,2023-2024,DEF,22.54346338124572,3420,70000000.0,59835099.805476286,70000000.0,64917549.90273814,-5082450.097261861,-7.260642996088373,-4796073.582166144,-6.851533688808777,False,-0.1506988334101744,8.8054399926068,94.3653846153846,52.54348990022895,monitoring,0.85,exact_age_validated
Andy Diouf,Andy Diouf,Lens,Ligue 1,2024-2025,MID,21.56878850102669,2225,10000000.0,8316200.185493733,10000000.0,9158100.092746867,-841899.9072531331,-8.418999072531332,-778991.275294496,-7.789912752944959,False,-0.1827078394439668,12.299680826799223,92.52777777777776,52.48193582424508,monitoring,0.85,exact_age_validated
Drissa Camara,Drissa Camara,Parma,Serie A,2024-2025,ATT,22.830937713894592,447,1000000.0,2089350.896782044,1000000.0,1544675.4483910222,544675.4483910222,54.46754483910221,350090.1444533295,35.009014445332944,True,0.8904775736711162,7.235640746425922,64.275,52.4741155672612,monitoring,0.85,exact_age_validated
Michel Costa,Michel Costa,Estoril,Liga Portugal,2024-2025,MID,22.80082135523614,597,600000.0,840254.4150318269,600000.0,720127.2075159135,120127.20751591353,20.021201252652254,75710.17253690453,12.618362089484089,True,0.4244084748270064,27.11458186895829,63.02500000000002,52.47378209015852,monitoring,0.85,exact_age_validated
Rodrigo Pinheiro,Rodrigo Pinheiro,Famalicão,Liga Portugal,2024-2025,DEF,22.310746064339494,1999,1500000.0,1265379.9616703088,1500000.0,1382689.9808351544,-117310.01916484558,-7.820667944323039,-106338.52442372317,-7.089234961581544,False,-0.1660642951623647,14.0594928088061,90.6474358974359,52.46346136328219,monitoring,0.85,exact_age_validated
Jamie Gittens,Jamie Gittens,Dortmund,Bundesliga,2023-2024,MID,19.19233401779603,1058,18000000.0,18462330.03829784,18000000.0,18231165.01914892,231165.01914891973,1.2842501063828873,178521.77264527607,0.9917876258070892,True,0.061628007673033,22.597183640779416,77.22698412698414,52.42236455751734,monitoring,0.85,exact_age_validated
Telasco Segovia,Telasco Segovia,Casa Pia,Liga Portugal,2024-2025,MID,21.71663244353183,905,1000000.0,1105079.6811806946,1000000.0,1052539.8405903473,52539.8405903473,5.25398405903473,37760.92551000299,3.7760925510002994,True,0.1484824917681195,25.94243801295512,71.87103174603176,52.32324367950794,monitoring,0.85,exact_age_validated
Julio Enciso,Julio Enciso,Ipswich Town,Premier League,2024-2025,MID,20.89801505817933,869,22000000.0,30527241.290018223,22000000.0,26263620.64500911,4263620.645009112,19.380093840950508,3267946.790492678,14.854303593148538,True,0.4136932255881505,9.113049802511323,76.64722222222223,52.24836674561726,monitoring,0.85,exact_age_validated
Ismaël Doukouré,Ismaël Doukouré,Strasbourg,Ligue 1,2023-2024,DEF,20.229979466119097,1656,9000000.0,6215582.478902693,9000000.0,7607791.239451347,-1392208.760548653,-15.468986228318368,-1222127.2569682926,-13.579191744092139,False,-0.3991376152312646,26.1417095913458,87.78333333333333,52.16576359733508,monitoring,0.85,exact_age_validated
Kiliann Sildillia,Kiliann Sildillia,Freiburg,Bundesliga,2023-2024,DEF,21.423682409308693,1806,15000000.0,11741815.468801197,15000000.0,13370907.734400598,-1629092.2655994017,-10.860615103996011,-1496049.7305754502,-9.973664870503002,False,-0.2532034160827579,14.883841782298074,91.83333333333331,52.07287580693399,monitoring,0.85,exact_age_validated
Carlos Dotor,Carlos Dotor,Celta Vigo,LaLiga,2023-2024,MID,22.57905544147844,708,3000000.0,2296243.30526654,3000000.0,2648121.6526332702,-351878.34736672975,-11.729278245557659,-229366.03609188006,-7.645534536396002,False,-0.2793495321630198,50.7665884780929,65.18333333333335,52.06902308548352,monitoring,0.85,exact_age_validated
