player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,assumed_buy_price_eur,assumed_sell_price_eur,expected_profit_eur,expected_roi_pct,risk_adjusted_profit_eur,risk_adjusted_roi_pct,positive_roi_flag,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Mikel Jauregizar,Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,4832096.551104931,3000000.0,3916048.2755524656,916048.2755524656,30.53494251841552,839710.919256427,27.990363975214233,True,0.5873761559851162,53.02963522044837,91.66666666666669,78.80179223080448,high_priority,1.0,exact_age_club_validated
Jack Hinshelwood,Jack Hinshelwood,Brighton,Premier League,2023-2024,DEF,18.494182067077343,869,1000000.0,6713010.049899593,1000000.0,3856505.0249497965,2856505.0249497965,285.6505024949796,1895846.5155868195,189.58465155868197,True,2.250193789470953,19.66307817607741,66.36944444444445,78.28294989911576,high_priority,0.85,exact_age_validated
Lukas Ullrich,Lukas Ullrich,Gladbach,Bundesliga,2024-2025,DEF,20.76386036960985,1903,3000000.0,5108477.640074883,3000000.0,4054238.8200374413,1054238.8200374413,35.14129400124805,911038.0469823556,30.367934899411853,True,0.6521715333079976,55.314543190906775,86.41666666666667,78.02900908476386,high_priority,0.85,exact_age_validated
Johan Manzambi,Johan Manzambi,Freiburg,Bundesliga,2024-2025,MID,18.98699520876112,335,750000.0,4168384.047145178,750000.0,2459192.0235725893,1709192.0235725893,227.8922698096786,990144.4347668433,132.01925796891246,True,2.030209251742749,38.61821727292495,57.93055555555557,78.01963153014428,high_priority,0.85,exact_age_validated
Arthur Atta,Arthur Atta,Metz,Ligue 1,2023-2024,MID,20.92539356605065,924,500000.0,3174393.0287945066,500000.0,1837196.5143972533,1337196.5143972533,267.4393028794507,994651.3406258236,198.93026812516473,True,2.1852087365389714,10.994299876987418,74.38333333333334,78.00858744310952,high_priority,0.85,exact_age_validated
Rocco Reitz,Rocco Reitz,Gladbach,Bundesliga,2023-2024,MID,21.388090349075977,2136,4000000.0,5623377.387520007,4000000.0,4811688.693760004,811688.6937600039,20.292217344000097,701434.3128576034,17.535857821440086,True,0.4289086729881923,63.892339247839104,86.41666666666667,77.96793832133194,high_priority,0.85,exact_age_validated
Jake O'Brien,Jake O'Brien,Lyon,Ligue 1,2023-2024,DEF,22.420260095824776,2369,1500000.0,3879399.7654269338,1500000.0,2689699.882713467,1189699.8827134669,79.31332551423112,1028098.9819782211,68.53993213188141,True,1.139032333410336,36.018415983235144,86.41666666666667,77.93922169828706,high_priority,0.85,exact_age_validated
Kamory Doumbia,Kamory Doumbia,Brest,Ligue 1,2023-2024,MID,20.829568788501028,879,2000000.0,20903538.31553769,2000000.0,11451769.157768846,9451769.157768846,472.5884578884423,7010849.772775043,350.5424886387521,True,2.3196196230899084,5.473351157642736,74.17500000000001,77.80782829179357,high_priority,0.85,exact_age_validated
Raúl Torrente,Raúl Torrente,Granada,LaLiga,2023-2024,DEF,22.086242299794662,1250,1500000.0,5706383.394708501,1500000.0,3603191.6973542506,2103191.6973542506,140.2127798236167,1680216.4782196735,112.01443188131157,True,1.5885902357455397,26.14170513363474,79.88888888888889,77.62985130110472,high_priority,0.85,exact_age_validated
Guela Doué,Guéla Doué,Rennes,Ligue 1,2023-2024,DEF,20.996577686516083,1234,1000000.0,2599568.4280436626,1000000.0,1799784.2140218313,799784.2140218313,79.97842140218313,603126.1622851299,60.312616228512994,True,1.1450086245697138,49.05744075747101,75.41111111111111,77.51396051843759,high_priority,0.85,exact_age_validated
Yann Gboho,Yann Gboho,Toulouse,Ligue 1,2023-2024,MID,22.92676249144421,1193,2500000.0,11279426.945051244,2500000.0,6889713.472525622,4389713.472525622,175.58853890102486,3555789.849231102,142.23159396924407,True,1.7872940902755032,16.328021749966467,81.0027777777778,77.41174971418151,high_priority,0.85,exact_age_validated
Matías Lacava,Matías Lacava,Vizela,Liga Portugal,2023-2024,MID,20.93086926762492,1334,500000.0,1533994.9977732294,500000.0,1016997.4988866147,516997.4988866147,103.39949977732294,435685.28114505886,87.13705622901178,True,1.3380133427188423,29.60592242531749,84.27222222222224,77.39990092220151,high_priority,1.0,exact_age_club_validated
Antoine Hainaut,Antoine Hainaut,Parma,Serie A,2024-2025,DEF,22.663928815879533,1206,750000.0,2610454.7556427084,750000.0,1680227.3778213542,930227.3778213542,124.03031704284722,696430.2301955872,92.85736402607829,True,1.4850105719524258,36.018403756397106,74.86666666666667,77.3471663119422,high_priority,0.85,exact_age_validated
Enzo Tchato,Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,7431334.42378054,2500000.0,4965667.21189027,2465667.21189027,98.6266884756108,2465667.21189027,98.6266884756108,True,1.3011918793766486,9.113049802511323,100.0,76.8883323186148,high_priority,1.0,exact_age_club_validated
Chrislain Matsima,Chrislain Matsima,Augsburg,Bundesliga,2024-2025,DEF,22.60095824777549,2551,7000000.0,24362898.99285207,7000000.0,15681449.496426035,8681449.496426035,124.02070709180049,8225673.397863668,117.50961996948097,True,1.4849462419621602,8.172424765273277,94.75,76.65559046842526,high_priority,0.85,exact_age_validated
Callum Hudson-Odoi,Callum Hudson-Odoi,Nottingham Forest,Premier League,2023-2024,MID,22.91854893908282,1854,12000000.0,41520382.11771278,12000000.0,26760191.05885639,14760191.05885639,123.0015921571366,14612589.148267826,121.77157623556522,True,1.478103939663017,2.651474708614667,99.0,76.56955510041213,high_priority,1.0,exact_age_club_validated
Syb Van Ottele,Syb van Ottele,Fortuna Sittard,Eredivisie,2024-2025,DEF,22.87200547570157,1874,600000.0,2256650.0661904714,600000.0,1428325.0330952357,828325.0330952357,138.05417218253928,765115.9442602302,127.5193240433717,True,1.575294411961334,6.86606910629981,92.36904761904762,76.32164450359232,high_priority,0.85,exact_age_validated
Yan Diomandé,Yan Diomande,Leganés,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,6359218.179445967,600000.0,3479609.0897229835,2879609.0897229835,479.9348482871639,1729765.18236832,288.2941970613866,True,2.3196196230899084,19.66307817607741,60.06944444444444,76.19791696799997,high_priority,0.85,exact_age_validated
Marc Pubill,Marc Pubill,Almería,LaLiga,2023-2024,DEF,20.314852840520192,1883,2500000.0,5311792.994658326,2500000.0,3905896.497329163,1405896.497329163,56.23585989316652,1214928.889775285,48.5971555910114,True,0.9100314792405914,40.27677923490349,86.41666666666667,76.16343130452243,high_priority,0.85,exact_age_validated
Rodrigo Gomes,Rodrigo Gomes,Estoril,Liga Portugal,2023-2024,MID,20.47364818617385,2445,5000000.0,14115555.86430679,5000000.0,9557777.932153396,4557777.932153396,91.15555864306792,4166568.6596435644,83.33137319287128,True,1.2411096571066875,20.641888185389423,91.41666666666669,76.11335369014584,high_priority,0.85,exact_age_validated
