player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
João Neves,670681.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.027378507871322,1844,60000000.0,7832148.046649249,-52167851.95335075,-0.8694641992225125,17.909855120186375,15.873747365803569,-2.0361077543828063,-2.007271025400168,0.8972621492128677,0.0,exact_age_club_validated,1.0,1.0273785078713225,73.07692307692308
Elye Wahi,659542.0,Marseille,Olympique Gymnaste Club Nice Côte d'Azur,Ligue 1,2024-2025,ATT,21.763175906913073,574,30000000.0,4111370.2428247486,-25888629.75717525,-0.862954325239175,17.216707939626428,15.229266923324296,-1.9874410163021317,-1.9566080822685306,0.5007384972241236,0.0,exact_age_validated,0.85,0.763175906913073,28.57142857142857
James Trafford,566799.0,Burnley,Manchester City Football Club,Championship,2024-2025,GK,22.223134839151268,4050,18000000.0,2483384.1819491833,-15516615.818050817,-0.8620342121139343,16.70588231586044,14.725132777430694,-1.9807495384297447,-1.9496421343483439,0.7460335386721423,0.0,exact_age_validated,0.85,1.2231348391512675,16.666666666666664
Endrick,971570.0,Real Madrid,Olympique Lyonnais,LaLiga,2024-2025,ATT,18.43668720054757,363,40000000.0,5600674.849465119,-34399325.15053488,-0.859983128763372,17.50439001207821,15.538397657277828,-1.9659923548003828,-1.934279642747651,0.4064407939767282,0.0,exact_age_validated,0.85,0.4366872005475706,27.586206896551722
Eduardo Quaresma,504073.0,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,22.60369609856263,1391,14000000.0,2024130.539881042,-11975869.460118959,-0.8554192471513542,16.454567887579532,14.520650803298373,-1.933917084281159,-1.9008887135353105,0.7986858316221764,0.0,exact_age_validated,0.85,0.6036960985626294,59.45945945945945
Yan Couto,627228.0,Dortmund,Borussia Dortmund,Bundesliga,2024-2025,DEF,22.548939082819988,895,25000000.0,3698419.6662117857,-21301580.333788216,-0.8520632133515286,17.034386382832476,15.123416169133845,-1.910970213698631,-1.8770006116155868,0.7988771769716327,0.0,exact_age_validated,0.85,0.548939082819988,64.0
Ahmetcan Kaplan,662131.0,Ajax,Nijmegen Eendracht Combinatie,Eredivisie,2024-2025,DEF,21.744010951403148,562,8000000.0,1205173.532201404,-6794826.467798596,-0.8493533084748245,15.89495209964411,14.002134124664076,-1.8928179749800336,-1.8581038070591007,0.4912873298349685,0.0,exact_age_validated,0.85,0.7440109514031477,12.121212121212121
Ryan Flamingo,586429.0,PSV,Eindhovense Voetbalvereniging Philips Sport Vereniging,Eredivisie,2024-2025,DEF,21.78781656399726,2939,12000000.0,1822689.091307357,-10177310.908692643,-0.8481092423910536,16.300417207752275,14.415823491286659,-1.8845937164656164,-1.8495422071276426,0.7830355920602328,0.0,exact_age_validated,0.85,0.7878165639972607,10.526315789473683
Oscar Gloukh,930571.0,RB Salzburg,AFC Ajax Amsterdam,Austrian Bundesliga,2024-2025,MID,20.711841204654345,1935,22000000.0,3354035.899216695,-18645964.100783303,-0.8475438227628775,16.90655301132259,15.025674924711915,-1.8808780866106751,-1.845674170117908,0.7894934976043807,0.0,exact_age_validated,0.85,0.7118412046543448,20.68965517241379
Stefan Bajcetic,864799.0,RB Salzburg,Liverpool Football Club,Austrian Bundesliga,2024-2025,MID,20.1533196440794,614,9000000.0,1390889.546077492,-7609110.453922508,-0.8454567171025009,16.012735135300492,14.145454061625854,-1.8672810736746381,-1.8315194369201202,0.5130091641949956,0.0,exact_age_validated,0.85,1.1533196440793994,29.411764705882348
