player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method,risk_age_component,risk_minutes_component,risk_confidence_component,risk_gap_component,risk_score_raw,risk_score,risk_level,risk_adjusted_opportunity_score
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,12425498.4513052,7425498.451305201,1.4850996902610405,1.0728519611380083,100.0,86.41666666666667,95.27909511481867,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,74.79
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,4210850.463119708,3710850.463119708,5.0,2.353404061443808,58.504578984604,79.80555555555557,93.85589337782976,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,22.99
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,11136596.71896897,6136596.718968971,1.227319343793794,0.9579494669155728,100.0,86.41666666666667,93.70020484281316,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,73.55
Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,21565060.96097284,18565060.96097284,5.0,2.1872630243839013,48.6491744011978,91.66666666666669,93.21291292088476,target_scouting,1.0,exact_age_club_validated,15,10,8.333333333333314,15,11.5,4.5,Bajo,89.02
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,3949082.18769605,3449082.18769605,5.0,2.286064654379409,58.504578984604,79.80555555555557,92.93057373654526,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,22.77
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,10478400.855198076,5478400.855198076,1.0956801710396151,0.8940313383213038,100.0,86.41666666666667,92.82189743856377,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,72.87
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,3912291.308239588,3412291.308239588,5.0,2.2762441291598856,58.504578984604,79.80555555555557,92.79562860902634,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,22.73
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,3877128.55178727,3377128.55178727,5.0,2.2667714995881454,58.504578984604,79.80555555555557,92.6654639613192,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,22.7
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,10203173.784334555,5203173.784334557,1.0406347568669114,0.8661044215042901,100.0,86.41666666666667,92.4381500048124,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,72.56
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,3791594.912868537,3291594.912868537,5.0,2.24336579674247,58.504578984604,79.80555555555557,92.34384312286336,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,22.62
Mikel Jauregizar,Athletic Club,LaLiga,2024-2025,MID,20.91170431211499,2244,3000000.0,20280360.260394126,17280360.260394126,5.0,2.122819345125972,48.6491744011978,91.66666666666669,92.32738385590538,target_scouting,1.0,exact_age_club_validated,15,10,8.333333333333314,15,11.5,4.5,Bajo,88.17
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,10091558.148807537,5091558.148807535,1.018311629761507,0.8545636218626689,100.0,86.41666666666667,92.27956636040476,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,72.44
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,9942059.173897846,4942059.173897846,0.9884118347795692,0.8389041645150018,100.0,86.41666666666667,92.0643876992414,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,72.27
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,9031419.332977334,4031419.332977334,0.8062838665954668,0.7381128056456167,100.0,86.41666666666667,90.6794003924122,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,71.18
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,3307743.9343483564,2807743.9343483564,5.0,2.100128104124505,58.504578984604,79.80555555555557,90.37559516628538,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,22.14
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,8452067.622394554,3452067.6223945543,0.6904135244789109,0.6685522436379833,100.0,86.41666666666667,89.72355956917927,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,70.43
Luca Marianucci,Empoli,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,6582896.108824483,5782896.108824483,5.0,2.3290693764560304,55.26108947219535,72.2027777777778,88.78645791658182,target_scouting,0.85,exact_age_validated,15,45,27.797222222222203,15,27.84,89.0,Muy alto,9.77
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,7896666.687396318,2896666.6873963177,0.5793333374792635,0.5972374822855638,100.0,86.41666666666667,88.74361406223706,target_scouting,0.85,exact_age_validated,15,10,13.583333333333329,15,13.08,21.5,Bajo,69.66
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,2937653.697161998,2437653.697161998,4.875307394323996,1.97563466638948,58.504578984604,79.80555555555557,88.66491447916437,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,21.72
Kévin Danois,Auxerre,Ligue 1,2024-2025,MID,20.27652292950034,1460,500000.0,2870631.6168483766,2370631.6168483766,4.7412632336967535,1.9514199691044385,58.504578984604,79.80555555555557,88.33217714181032,target_scouting,0.85,exact_age_validated,15,25,20.19444444444443,15,19.56,75.5,Muy alto,21.64
