player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Kacper Potulski,Kacper Potulski,Mainz 05,Bundesliga,2025-2026,DEF,18.168377823408623,1065,2500000.0,3489227.768764943,989227.7687649428,0.3956911075059771,0.6145080755026349,74.96509631903821,72.12500000000001,71.36146301144784,high_priority,0.85,exact_age_validated
William Mikelbrencis,William Mikelbrencis,Hamburger SV,Bundesliga,2025-2026,DEF,21.815195071868583,1372,2000000.0,9695302.036346762,7695302.0363467615,3.847651018173381,2.036205238035975,7.430932594939907,90.01111111111113,70.01553320151824,high_priority,1.0,exact_age_club_validated
Antoine Mendy,Antoine Mendy,Nice,Ligue 1,2025-2026,DEF,21.371663244353183,2097,3000000.0,11472644.264713524,8472644.264713524,2.824214754904508,1.7654305146109173,9.416989104315464,93.75,68.95700357295205,high_priority,0.85,exact_age_validated
Olivier Aertssen,Olivier Aertssen,Zwolle,Eredivisie,2025-2026,DEF,21.31964407939768,1861,750000.0,2553314.813949571,1803314.813949571,2.4044197519327613,1.6326601293572414,7.430932594939907,93.08333333333334,66.23687935457272,high_priority,0.85,exact_age_validated
Tiago Gabriel,Tiago Gabriel,Lecce,Serie A,2025-2026,DEF,20.78028747433265,3219,3000000.0,6115872.50700272,3115872.50700272,1.0386241690009066,1.0471306684910429,32.62979175781249,86.41666666666667,66.05269816142624,high_priority,0.85,exact_age_validated
Jon Martin,Jon Martín,Real Sociedad,LaLiga,2025-2026,DEF,19.444216290212182,2250,5000000.0,20003103.61041974,15003103.61041974,3.000620722083948,1.81692288933941,1.6081302566244116,91.20833333333334,65.47599800843244,high_priority,0.85,exact_age_validated
Dies Janse,Dies Janse,Groningen,Eredivisie,2025-2026,DEF,19.707049965776864,2725,2000000.0,4275599.994091431,2275599.9940914307,1.137799997045715,1.1013699789493063,26.16342085639053,88.08333333333334,64.87946617711064,high_priority,0.85,exact_age_validated
Joe Scally,Joe Scally,Gladbach,Bundesliga,2025-2026,DEF,22.78713210130048,2608,7000000.0,25792182.497396845,18792182.497396845,2.6845974996281208,1.7229637496103252,0.0,93.25,64.5137047944812,high_priority,0.85,exact_age_validated
Nelson Abbey,Nelson Abbey,Rio Ave,Liga Portugal,2025-2026,DEF,22.308008213552363,2082,1000000.0,2327750.71287174,1327750.71287174,1.32775071287174,1.1985684250833892,18.68937336812873,90.9404761904762,64.34147337439566,high_priority,0.85,exact_age_validated
Arnau Martinez,Arnau Martínez,Girona,LaLiga,2025-2026,DEF,22.633812457221083,2666,10000000.0,29276098.786078144,19276098.786078144,1.9276098786078144,1.460371564153804,5.90358773160327,94.75,64.17007894097448,high_priority,0.85,exact_age_validated
