player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank,market_value_growth_prev_growth_component_z,delta_log_market_value_prev_growth_component_z,growth_index_growth_component_z,breakout_indicator_growth_component_z,career_year_growth_component_z,growth_score_raw,growth_score_z,growth_score,growth_rank,high_growth_flag,matching_confidence_component,minutes_reliability_component,feature_completeness_component,temporal_stability_component,confidence_score_raw,confidence_score,confidence_score_z,confidence_rank,low_confidence_flag,position
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,RandomForest,B_v13B_advanced,16.40070698083851,13265894.559211424,1.2214660668960846,-1.2214660668960846,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,13265894.559211424,1.2214660668960846,-1.2214660668960846,-31734105.44078857,-0.705202343128635,-1.2214660668960846,-0.705202343128635,-1.163818268759353,-0.8240432027395147,False,True,5426,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5180,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,12,False,DEF
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,LightGBM,B_v13B_advanced,16.240231047721213,11299070.77184519,1.3819420000133815,-1.3819420000133815,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,11299070.77184519,1.3819420000133815,-1.3819420000133815,-33700929.22815481,-0.7489095384034402,-1.3819420000133815,-0.7489095384034402,-1.3321902101032987,-0.8584809248805929,False,True,5618,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5200,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,13,False,DEF
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,LightGBM,B_v13B_advanced,16.64172661419083,16881461.31520158,0.980446433543765,-0.980446433543765,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,16881461.31520158,0.980446433543765,-0.980446433543765,-28118538.68479842,-0.6248564152177426,-0.980446433543765,-0.6248564152177426,-0.9109395798417188,-0.760737133265929,False,True,4983,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5142,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,9,False,MID
Pape Matar Sarr,568693.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,17.622173047734595,XGBoost,A_v13A_current,16.741361618041992,18650092.0,0.8808114296926028,-0.8808114296926028,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.14,0.09,18650091.64609939,0.8808114296926028,-0.8808114296926028,-26349908.35390061,-0.5855535189755692,-0.8808114296926028,-0.5855535189755692,-0.8064021660479025,-0.7297696412633522,False,True,4808,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5130,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,19,False,MID
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,XGBoost,B_v13B_advanced,16.301738739013672,12015869.0,1.3204343087209232,-1.3204343087209232,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,12015868.858423509,1.3204343087209232,-1.3204343087209232,-32984131.14157649,-0.7329806920350331,-1.3204343087209232,-0.7329806920350331,-1.2676561133741295,-0.8459302868949217,False,True,5550,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5192,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,17,False,DEF
Destiny Udogie,556385.0,Tottenham Hotspur,Tottenham Hotspur Football Club,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,17.622173047734595,HistGradientBoosting,B_v13B_advanced,16.30758200022081,12086286.252047114,1.3145910475137867,-1.3145910475137867,0.0,0.0,-0.283298444277076,0,4,1.0,exact_age_club_validated,0.0,0.05,12086286.252047114,1.3145910475137867,-1.3145910475137867,-32913713.74795289,-0.7314158610656197,-1.3145910475137867,-0.7314158610656197,-1.2615253421481027,-0.8446973271091567,False,True,5545,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5191,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,18,False,DEF
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,RandomForest,A_v13A_current,15.43732809571734,5062282.850341878,-0.7055268058789093,0.7055268058789093,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,5062282.850341886,-0.705526805878911,0.705526805878911,2562282.8503418863,1.0249131401367546,0.705526805878911,1.0249131401367546,0.8579897658941719,0.5391473637120421,True,False,1308,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4805,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,2,False,DEF
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,HistGradientBoosting,B_v13B_advanced,14.874492996777988,2883435.4239919977,-0.1426917069395585,0.1426917069395585,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,2883435.4239919977,-0.1426917069395585,0.1426917069395585,383435.4239919977,0.1533741695967991,0.1426917069395585,0.1533741695967991,0.2674611026605191,-0.1475546018079816,True,False,2562,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4824,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,3,False,DEF
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,RandomForest,B_v13B_advanced,15.2047512196075,4011802.580530064,-0.4729499297690704,0.4729499297690704,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,4011802.580530064,-0.4729499297690704,0.4729499297690704,1511802.5805300637,0.6047210322120254,0.4729499297690704,0.6047210322120254,0.6139692490375956,0.2080700898763735,True,False,1797,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4812,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,1,False,DEF
Enzo Tchato,842338.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,14.73180128983843,LightGBM,A_v13A_current,15.009987657340986,3301830.789643441,-0.2781863675025562,0.2781863675025562,0.0,0.0,-0.283298444277076,0,3,1.0,exact_age_club_validated,0.0,0.0,3301830.789643441,-0.2781863675025562,0.2781863675025562,801830.7896434409,0.3207323158573763,0.2781863675025562,0.3207323158573763,0.4096226006345221,-0.0156899671012571,True,False,2223,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4818,False,1.0,1.0,1.0,1.0,1.0,100.0,1.7633028085790543,8,False,DEF
