player_name_fbref,club,league,season,season_start_year_fbref,position,position_group,age_fbref,matches_played,starts,minutes_played,nineties,goals,assists,g_a,goals_minus_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_per90,assists_per90,g_a_per90,goals_minus_pk_per90,g_a_minus_pk_per90,player_name_norm,player_id_tm,player_name_tm,season_start_year_tm,valuation_date,market_value_eur,log_market_value_eur,market_value_prev_eur,market_value_next_eur,market_value_growth_1y,delta_log_market_value_1y,age_tm,date_of_birth,nationality,position_tm,sub_position_tm,foot,height_in_cm,current_club_name_tm,current_club_id_tm,competition_id_tm,source,matching_method,matching_confidence,age_diff,club_score,matching_status,season_start_year,age,log_minutes_played,predicted_log_market_value,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score,inefficiency_score_z
Devyne Rensch,Ajax,Eredivisie,2024-2025,2024,DF,DEF,21.0,14,13,1113,12.4,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,devyne rensch,557407.0,Devyne Rensch,2024.0,2024-12-17,12000000.0,16.300417207752275,10000000.0,10000000.0,-0.16666666666666666,-0.1823215567939549,21.913757700205338,2003-01-18 00:00:00,Netherlands,Defender,Right-Back,right,181.0,Associazione Sportiva Roma,12.0,IT1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.9137577002053376,13.33333333333333,True,2024,21.913757700205338,7.01571242048723,14.070872871729073,1290929.2575915707,-10709070.742408428,-0.892422561867369,-0.892422561867369,-0.7698196732287215
Aleksandar Pavlovic,Bayern Munich,Bundesliga,2024-2025,2024,MF,MID,20.0,21,18,1451,16.1,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,aleksandar pavlovic,792380.0,Aleksandar Pavlovic,2024.0,2024-10-09,50000000.0,17.72753356339242,30000000.0,50000000.0,0.0,0.0,20.435318275154003,2004-05-03 00:00:00,Germany,Midfield,Defensive Midfield,both,188.0,FC Bayern München,27.0,L1,transfermarkt_kaggle_player_scores,exact_age_club_validated,1.0,0.43531827515400323,80.0,True,2024,20.435318275154003,7.280697195384741,15.53988358607081,5609003.239649037,-44390996.760350965,-0.8878199352070193,-0.8878199352070193,-0.767162163187564
Jude Bellingham,Real Madrid,LaLiga,2024-2025,2024,MF,MID,21.0,31,29,2488,27.6,9,8,17,8,1,2,5,1,0.33,0.29,0.61,0.29,0.58,jude bellingham,581678.0,Jude Bellingham,2024.0,2024-12-27,180000000.0,19.008467408854486,180000000.0,180000000.0,0.0,0.0,21.49760438056126,2003-06-29 00:00:00,England,Midfield,Attacking Midfield,right,186.0,Real Madrid Club de Fútbol,418.0,ES1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.4976043805612598,59.45945945945945,True,2024,21.49760438056126,7.819636302367592,16.840180776658467,20587214.31316529,-159412785.68683472,-0.8856265871490818,-0.8856265871490818,-0.7658957462222394
Nuno Mendes,Paris Saint-Germain,Ligue 1,2024-2025,2024,DF,DEF,22.0,24,19,1676,18.6,1,3,4,1,0,0,3,0,0.05,0.16,0.21,0.05,0.21,nuno mendes,616341.0,Nuno Mendes,2024.0,2024-12-10,55000000.0,17.822843743196746,55000000.0,70000000.0,0.2727272727272727,0.2411620568168864,22.477754962354553,2002-06-19 00:00:00,Portugal,Defender,Left-Back,left,180.0,Paris Saint-Germain Football Club,583.0,FR1,transfermarkt_kaggle_player_scores,exact_age_club_validated,1.0,0.4777549623545525,73.07692307692308,True,2024,22.477754962354553,7.424761761823209,15.668279689731053,6377455.10723239,-48622544.89276761,-0.8840462707775929,-0.8840462707775929,-0.764983287546932
Castello Lukeba,RB Leipzig,Bundesliga,2024-2025,2024,DF,DEF,21.0,23,18,1577,17.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,castello lukeba,618472.0,Castello Lukeba,2024.0,2024-12-20,50000000.0,17.72753356339242,40000000.0,40000000.0,-0.2,-0.22314355131420882,22.00958247775496,2002-12-17 00:00:00,France,Defender,Centre-Back,left,184.0,RasenBallsport Leipzig,23826.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.009582477754961,62.5,True,2024,22.00958247775496,7.363913501405819,15.602463558727255,5971230.384720468,-44028769.61527953,-0.8805753923055907,-0.8805753923055907,-0.7629792374530052
Zeno Debast,Sporting CP,Liga Portugal,2024-2025,2024,"MF,DF",DEF,20.0,31,23,2126,23.6,0,3,3,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,zeno debast,548193.0,Zeno Debast,2024.0,2024-10-08,22000000.0,16.90655301132259,18000000.0,24000000.0,0.09090909090909091,0.08701137698962924,20.958247775496236,2003-10-24 00:00:00,Belgium,Defender,Centre-Back,right,191.0,Sporting Clube de Portugal,336.0,PO1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.9582477754962362,59.45945945945945,True,2024,20.958247775496236,7.6624678152002375,14.825217621678735,2744796.846644805,-19255203.153355196,-0.8752365069706908,-0.8752365069706908,-0.7598966191063312
Jamal Musiala,Bayern Munich,Bundesliga,2024-2025,2024,MF,MID,21.0,25,21,1798,20.0,12,2,14,12,0,0,3,0,0.6,0.1,0.7,0.6,0.7,jamal musiala,580195.0,Jamal Musiala,2024.0,2024-07-18,130000000.0,18.683045008419857,120000000.0,140000000.0,0.07692307692307693,0.07410797215372256,21.39082819986311,2003-02-26 00:00:00,Germany,Midfield,Attacking Midfield,right,184.0,FC Bayern München,27.0,L1,transfermarkt_kaggle_player_scores,exact_age_club_validated,1.0,0.39082819986310824,80.0,True,2024,21.39082819986311,7.4949862339505335,16.635034984083383,16768873.93707036,-113231126.06292965,-0.8710086620225357,-0.8710086620225357,-0.7574555042318684
Tiago Santos,Lille,Ligue 1,2024-2025,2024,"DF,MF",DEF,22.0,7,4,404,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,tiago santos,816580.0,Tiago Santos,2024.0,2024-12-10,15000000.0,16.523560759066484,15000000.0,15000000.0,0.0,0.0,22.38466803559206,2002-07-23 00:00:00,Portugal,Defender,Right-Back,right,175.0,Lille Olympique Sporting Club,1082.0,FR1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.3846680355920604,29.411764705882348,True,2024,22.38466803559206,6.003887067106539,14.532965967287037,2049212.1645788122,-12950787.835421188,-0.8633858556947459,-0.8633858556947459,-0.7530541730241006
Pedri,Barcelona,LaLiga,2024-2025,2024,MF,MID,21.0,37,35,2879,32.0,4,5,9,4,0,0,3,0,0.13,0.16,0.28,0.13,0.28,pedri,683840.0,Pedri,2024.0,2024-12-27,100000000.0,18.420680743952367,80000000.0,120000000.0,0.2,0.18232155679395134,22.088980150581794,2002-11-25 00:00:00,Spain,Midfield,Central Midfield,right,174.0,Futbol Club Barcelona,131.0,ES1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,1.0889801505817935,60.0,True,2024,22.088980150581794,7.965545573129992,16.431073834371954,13674916.967014596,-86325083.0329854,-0.8632508303298541,-0.8632508303298541,-0.752976210745278
Willian Pacho,Paris Saint-Germain,Ligue 1,2024-2025,2024,DF,DEF,22.0,28,23,2132,23.7,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,willian pacho,661171.0,Willian Pacho,2024.0,2024-10-07,40000000.0,17.50439001207821,35000000.0,40000000.0,0.0,0.0,22.976043805612594,2001-10-16 00:00:00,Ecuador,Defender,Centre-Back,left,188.0,Paris Saint-Germain Football Club,583.0,FR1,transfermarkt_kaggle_player_scores,exact_age_club_validated,1.0,0.9760438056125942,73.07692307692308,True,2024,22.976043805612594,7.665284718471351,15.535802828938396,5586160.8983952515,-34413839.101604745,-0.8603459775401187,-0.8603459775401187,-0.751298978150397
Eduardo Quaresma,Sporting CP,Liga Portugal,2024-2025,2024,DF,DEF,22.0,20,18,1391,15.5,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,eduardo quaresma,504073.0,Eduardo Quaresma,2024.0,2024-10-08,14000000.0,16.454567887579532,8000000.0,14000000.0,0.0,0.0,22.60369609856263,2002-03-02 00:00:00,Portugal,Defender,Centre-Back,right,185.0,Sporting Clube de Portugal,336.0,PO1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.6036960985626294,59.45945945945945,True,2024,22.60369609856263,7.238496840894365,14.51496935934181,2012663.1621360215,-11987336.837863978,-0.8562383455617127,-0.8562383455617127,-0.7489272730277478
Ismaël Koné,Marseille,Ligue 1,2024-2025,2024,MF,MID,22.0,8,3,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ismael kone,921655.0,Ismaël Koné,2024.0,2024-10-07,12000000.0,16.300417207752275,11000000.0,12000000.0,0.0,0.0,22.310746064339494,2002-06-16 00:00:00,Canada,Midfield,Central Midfield,right,188.0,Unione Sportiva Sassuolo Calcio,6574.0,IT1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.3107460643394937,19.999999999999996,True,2024,22.310746064339494,5.8888779583328805,14.431355458970215,1851220.0366617232,-10148779.963338276,-0.8457316636115231,-0.8457316636115231,-0.7428608212291664
Malik Tillman,PSV,Eredivisie,2024-2025,2024,"MF,FW",MID,22.0,26,22,1915,21.3,12,2,14,12,0,0,2,0,0.56,0.09,0.66,0.56,0.66,malik tillman,467437.0,Malik Tillman,2024.0,2024-10-14,25000000.0,17.034386382832476,20000000.0,30000000.0,0.2,0.18232155679395134,22.38193018480493,2002-05-28 00:00:00,United States,Midfield,Attacking Midfield,right,187.0,Bayer 04 Leverkusen Fußball,15.0,L1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.38193018480492924,7.4074074074074066,True,2024,22.38193018480493,7.557994958530806,15.186627378228938,3939748.230046514,-21060251.769953486,-0.8424100707981395,-0.8424100707981395,-0.7409429671633029
Leny Yoro,Manchester Utd,Premier League,2024-2025,2024,DF,DEF,18.0,21,12,1165,12.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,leny yoro,923831.0,Leny Yoro,2024.0,2024-10-01,55000000.0,17.822843743196746,50000000.0,55000000.0,0.0,0.0,18.882956878850102,2005-11-13 00:00:00,France,Defender,Centre-Back,right,190.0,Manchester United Football Club,985.0,GB1,transfermarkt_kaggle_player_scores,exact_age_validated,0.85,0.8829568788501021,62.22222222222222,True,2024,18.882956878850102,7.061334366910438,16.013683966410664,9008543.532535298,-45991456.4674647,-0.8362082994084491,-0.8362082994084491,-0.7373621271436143
Lucas Beraldo,Paris Saint-Germain,Ligue 1,2024-2025,2024,DF,DEF,20.0,25,22,2011,22.3,1,0,1,1,0,0,6,0,0.04,0.0,0.04,0.04,0.04,lucas beraldo,872171.0,Lucas Beraldo,2024.0,2024-12-10,30000000.0,17.216707939626428,30000000.0,25000000.0,-0.16666666666666666,-0.18232155679395134,21.045859000684462,2003-11-24 00:00:00,Brazil,Defender,Centre-Back,left,186.0,Paris Saint-Germain Football Club,583.0,FR1,transfermarkt_kaggle_player_scores,exact_age_club_validated,1.0,1.0458590006844624,73.07692307692308,True,2024,21.045859000684462,7.60688453121963,15.408089546227515,4916411.961146492,-25083588.038853507,-0.8361196012951169,-0.8361196012951169,-0.73731091375087
