player_id_tm,player_name_tm,season,club,league,market_value_eur,minutes_played,display_club,display_league,display_age,display_market_value_eur,display_performance_season,display_performance_club,display_performance_league,display_minutes_played,display_performance_market_value_eur,display_dss_season,display_dss_modeling_club,display_dss_modeling_league,display_dss_modeling_market_value_eur,display_dss_opportunity_score,display_dss_confidence_score,display_dss_risk_score,display_dss_roi_3y_pct
1390649.0,Yan Diomande,2025-2026,RB Leipzig,Bundesliga,20000000.0,2472,RasenBallsport Leipzig,Bundesliga,19.35,75000000.0,2025-2026,RB Leipzig,Bundesliga,2472,20000000.0,2025-2026,RB Leipzig,Bundesliga,20000000.0,,,,20.77693233196613
1390649.0,Yan Diomande,2024-2025,Leganés,LaLiga,600000.0,545,RasenBallsport Leipzig,Bundesliga,19.35,75000000.0,2025-2026,RB Leipzig,Bundesliga,2472,20000000.0,2024-2025,Leganés,LaLiga,600000.0,,,,20.77693233196613
