dataset,n_rows,market_value_eur_coverage_pct,log_market_value_eur_coverage_pct,market_value_positive_pct,market_value_min,market_value_median,market_value_max,market_value_zero_or_negative
reports/rankings/top_undervalued_global.csv,50,100.0,,100.0,500000.0,2000000.0,20000000.0,0
reports/scouting_reports/player_shap_report.csv,3297,100.0,,100.0,500000.0,5000000.0,200000000.0,0
reports/sprint_13a1/econometric/03_econometric_scored_player_seasons.parquet,4716,100.0,100.0,100.0,500000.0,3500000.0,200000000.0,0
reports/sprint_13a1/econometric/03_econometric_test_predictions.parquet,776,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13a1/econometric/03_overvalued_ranking.csv,50,100.0,100.0,100.0,5000000.0,30000000.0,180000000.0,0
reports/sprint_13a1/econometric/03_undervalued_ranking.csv,50,100.0,100.0,100.0,500000.0,600000.0,2000000.0,0
reports/sprint_13a1/ml/04_ml_overvalued_ranking.csv,50,100.0,100.0,100.0,8000000.0,27500000.0,180000000.0,0
reports/sprint_13a1/ml/04_ml_test_predictions.csv,776,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13a1/ml/04_ml_test_predictions.parquet,776,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13a1/ml/04_ml_undervalued_ranking.csv,50,100.0,100.0,100.0,500000.0,725000.0,5000000.0,0
reports/sprint_13a1/ml/predictions/04_ml_test_predictions_v13a1.csv,776,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13a1/ml/predictions/04_ml_test_predictions_v13a1.parquet,776,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13a1/ml/tables/04_ml_overvalued_ranking_v13a1.csv,50,100.0,100.0,100.0,8000000.0,27500000.0,180000000.0,0
reports/sprint_13a1/ml/tables/04_ml_undervalued_ranking_v13a1.csv,50,100.0,100.0,100.0,500000.0,725000.0,5000000.0,0
reports/sprint_13a1/xgboost/predictions/tuned_xgboost_full_predictions.csv,5527,100.0,100.0,100.0,500000.0,3800000.0,200000000.0,0
reports/sprint_13a1/xgboost/predictions/tuned_xgboost_predictions.csv,811,100.0,100.0,100.0,500000.0,5000000.0,200000000.0,0
reports/sprint_13a1/xgboost/predictions/tuned_xgboost_test_predictions.csv,2433,100.0,100.0,100.0,500000.0,4000000.0,200000000.0,0
reports/sprint_13b/econometric/03_econometric_scored_player_seasons.parquet,4630,100.0,100.0,100.0,500000.0,3500000.0,200000000.0,0
reports/sprint_13b/econometric/03_econometric_test_predictions.parquet,776,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/econometric/03_overvalued_ranking.csv,50,100.0,100.0,100.0,5000000.0,30000000.0,180000000.0,0
reports/sprint_13b/econometric/03_undervalued_ranking.csv,50,100.0,100.0,100.0,500000.0,650000.0,2500000.0,0
reports/sprint_13b/ml/predictions/04_ml_test_predictions_v13b.csv,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/ml/predictions/04_ml_test_predictions_v13b.parquet,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/productive/03_econometric_scored_player_seasons.parquet,4630,100.0,100.0,100.0,500000.0,3500000.0,200000000.0,0
reports/sprint_13b/productive/03_econometric_test_predictions.parquet,776,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
reports/sprint_13b/productive/03_overvalued_ranking.csv,50,100.0,100.0,100.0,5000000.0,30000000.0,180000000.0,0
reports/sprint_13b/productive/03_undervalued_ranking.csv,50,100.0,100.0,100.0,500000.0,650000.0,2500000.0,0
reports/sprint_13b/productive/predictions/04_ml_test_predictions_v13b.csv,6208,100.0,100.0,100.0,500000.0,4000000.0,180000000.0,0
