player_name_fbref,player_id_tm,club_actual,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank,market_value_growth_prev_growth_component_z,delta_log_market_value_prev_growth_component_z,growth_index_growth_component_z,breakout_indicator_growth_component_z,career_year_growth_component_z,growth_score_raw,growth_score_z,growth_score,growth_rank,high_growth_flag,matching_confidence_component,minutes_reliability_component,feature_completeness_component,temporal_stability_component,confidence_score_raw,confidence_score,confidence_score_z,confidence_rank,low_confidence_flag,opportunity_score_raw,opportunity_score,opportunity_rank,opportunity_tier,is_scouting_target,is_high_priority_or_target,position,club_anterior,expected_roi,expected_upside,player_level_tier,player_level_rank,portfolio_value_score,is_eligible_portfolio,portfolio_cost,upside_score_norm,dss_entity,dss_universe,dss_model,dss_feature_set,season_context_club,season_context_league,season_context_season,season_context_age,season_context_market_value_eur,player_name_tm,player_name_norm,current_club,current_league,current_season,current_market_value_eur,current_valuation_date,current_age,current_competition_id,current_club_id,homonym_group_size,is_homonym_name,identity_resolution_status,snapshot_source,identity_match_method,current_snapshot_applied,identity_review_required,display_club,display_league,player_name_tm_snapshot,player_name_norm_snapshot,current_club_snapshot,current_league_snapshot,current_season_snapshot,current_market_value_eur_snapshot,current_valuation_date_snapshot,current_age_snapshot,current_competition_id_snapshot,current_club_id_snapshot,homonym_group_size_snapshot,is_homonym_name_snapshot,identity_resolution_status_snapshot,snapshot_source_snapshot,player_name_tm_snapshot.1,player_name_norm_snapshot.1,current_club_snapshot.1,current_league_snapshot.1,current_season_snapshot.1,current_market_value_eur_snapshot.1,current_valuation_date_snapshot.1,current_age_snapshot.1,current_competition_id_snapshot.1,current_club_id_snapshot.1,homonym_group_size_snapshot.1,is_homonym_name_snapshot.1,identity_resolution_status_snapshot.1,snapshot_source_snapshot.1,player_name_tm_snapshot.2,player_name_norm_snapshot.2,current_club_snapshot.2,current_league_snapshot.2,current_season_snapshot.2,current_market_value_eur_snapshot.2,current_valuation_date_snapshot.2,current_age_snapshot.2,current_competition_id_snapshot.2,current_club_id_snapshot.2,homonym_group_size_snapshot.2,is_homonym_name_snapshot.2,identity_resolution_status_snapshot.2,snapshot_source_snapshot.2,_dataset,_player_col,_league_col,league_normalized,understat_player_id,player_name,league_understat,team,current_xg,current_xa,current_npxg,current_expected_contribution,current_expected_contribution_per90,_audit_dataset,club,inefficiency_score_norm,matching_confidence_norm,age_potential_score,player_name_tm_from_dss,player_name_norm_from_dss,name_key,contract_expiration_date,current_club_name,market_value_in_eur,contract_months_remaining,contract_years_remaining,contract_expiring_12m,contract_critical_zone,free_agent_horizon,negotiation_leverage_score,contract_opportunity_score,contract_status,recruitment_contract_score
Javi Rodríguez,1076815,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,DEF,21.29226557152635,2514.0,3000000.0,14.914122846632385,XGBoost,B_v13B_advanced,16.0855655670166,9679933.0,-1.171442720384217,1.171442720384217,11.0,2.48490298312928,2.8588112452295302,1.0,1.0,0.85,exact_age_validated,0.11,0.07,9679933.283383902,-1.171442720384217,1.171442720384217,6679933.283383902,2.2266444277946342,1.171442720384217,2.2266444277946342,1.346830463090546,1.4860140732411742,True,False,536.0,6.6290096924450985,4.102819913318239,4.305620378843948,1.5997564550586283,0.889997660433723,4.500429504967537,4.994883102669253,100.0,3.0,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2407.0,False,2.0929008046940103,99.04386971261016,3.0,target_scouting,True,True,DEF,,2.4478858025645875,7343657.407693762,First Team Ready,3,82.15384222082675,True,3000000.0,82.82432161281184,player,global_prospect_universe,XGBoost,B_v13B_advanced,Celta Vigo,LaLiga,2024-2025,21.29226557152635,3000000.0,Javi Rodríguez,javi rodriguez,Celta de Vigo,LaLiga,2025-2026,15000000.0,2025-12-12,22.46,ES1,940.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Celta de Vigo,LaLiga,Javi Rodríguez,javi rodriguez,Celta de Vigo,LaLiga,2025-2026,15000000.0,2025-12-12,22.46,ES1,940.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Javi Rodríguez,javi rodriguez,Celta de Vigo,LaLiga,2025-2026,15000000.0,2025-12-12,22.46,ES1,940.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Javi Rodríguez,javi rodriguez,Celta de Vigo,LaLiga,2025-2026,15000000.0,2025-12-12,22.46,ES1,940.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,DSS,player_name_norm,display_league,LaLiga,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Lasse Rosenboom,512352,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734.0,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,16.16267967224121,10455928.0,-3.0403162948368827,3.0403162948368827,0.0,0.0,-0.283298444277076,0.0,1.0,1.0,exact_age_club_validated,0.1,0.1,10455928.25070382,-3.0403162948368827,3.0403162948368827,9955928.25070382,5.0,2.200072275181844,5.0,2.426072388659802,3.671193149444084,True,False,57.0,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,0.889997660433723,-0.5037066718106122,-0.559047962189276,9.970270748459184,3772.0,False,1.0,0.9633333333333334,1.0,0.6666666666666666,0.9538333333333334,95.38333333333334,1.3397523263291815,166.0,False,1.4625282884814084,83.29472138514419,84.0,target_scouting,True,True,MID,,26.61374085534891,13306870.427674456,Elite Target,5,96.43803122863338,True,500000.0,85.88244661200102,player,global_prospect_universe,XGBoost,B_v13B_advanced,Holstein Kiel,Bundesliga,2024-2025,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,DSS,player_name_norm,display_league,Bundesliga,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Antoine Hainaut,917375,Parma,Parma Calcio 1913,Serie A,2024-2025,DEF,22.663928815879533,1206.0,750000.0,13.527828485512494,XGBoost,B_v13B_advanced,15.257908821105955,4230830.5,-1.7300803355934633,1.7300803355934633,1.1428571428571428,0.7621385282405662,0.6419759272696414,1.0,1.0,0.85,exact_age_validated,0.15,0.0,4230830.303932427,-1.7300803355934615,1.7300803355934615,3480830.3039324274,4.641107071909904,1.7300803355934615,4.641107071909904,1.932955110901641,3.3884146536322235,True,False,151.0,0.29546383961471,0.8196725595489412,0.9778828493099871,1.5997564550586283,0.889997660433723,0.7834871606041413,0.869567399142755,33.12825608953058,812.0,True,0.85,0.67,1.0,0.1666666666666666,0.7486666666666668,74.86666666666667,-0.5425243655466082,4188.0,False,1.1720122876722698,76.03650585294571,198.0,high_priority,False,True,DEF,,6.013051731730568,4509788.798797926,Key Player Profile,4,90.17419335418376,True,750000.0,81.37102380033325,player,global_prospect_universe,XGBoost,B_v13B_advanced,Parma,Serie A,2024-2025,22.663928815879533,750000.0,Antoine Hainaut,antoine hainaut,Venezia FC,Serie A,2025-2026,1700000.0,2025-12-11,23.81,IT1,607.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Venezia FC,Serie A,Antoine Hainaut,antoine hainaut,Venezia FC,Serie A,2025-2026,1700000.0,2025-12-11,23.81,IT1,607.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Antoine Hainaut,antoine hainaut,Venezia FC,Serie A,2025-2026,1700000.0,2025-12-11,23.81,IT1,607.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Antoine Hainaut,antoine hainaut,Venezia FC,Serie A,2025-2026,1700000.0,2025-12-11,23.81,IT1,607.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,DSS,player_name_norm,display_league,Serie A,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Raúl Asencio,935245,Real Madrid,Real Madrid Club de Fútbol,LaLiga,2024-2025,DEF,21.869952087611225,1670.0,7500000.0,15.83041357850654,XGBoost,B_v13B_advanced,15.456453323364258,5160031.5,0.3739602551422809,-0.3739602551422809,24.0,3.2188726248737485,4.866511677280933,1.0,1.0,0.85,exact_age_validated,0.0,0.05,5160031.919376329,0.3739602551422827,-0.3739602551422827,-2339968.0806236714,-0.3119957440831561,-0.3739602551422827,-0.3119957440831561,-0.2746120429200996,-0.5142283194730926,False,True,3718.0,6.6290096924450985,4.102819913318239,4.305620378843948,1.5997564550586283,0.889997660433723,4.500429504967537,4.994883102669253,100.0,34.0,True,0.85,0.9277777777777778,1.0,0.1666666666666666,0.838888888888889,83.8888888888889,0.2852084661908097,3007.0,False,1.1547258452994205,75.60462353259977,218.0,high_priority,False,True,DEF,,-0.2293931533429722,-1720448.6500722915,Development Prospect,1,64.68859902033097,True,7500000.0,78.17596019461682,player,global_prospect_universe,XGBoost,B_v13B_advanced,Real Madrid,LaLiga,2024-2025,21.869952087611225,7500000.0,Raúl Asencio,raul asencio,Real Madrid,LaLiga,2025-2026,25000000.0,2026-03-16,23.09,ES1,418.0,2.0,True,PLAYER_ID_REQUIRED_HOMONYM,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Real Madrid,LaLiga,Raúl Asencio,raul asencio,Real Madrid,LaLiga,2025-2026,25000000.0,2026-03-16,23.09,ES1,418.0,2.0,True,PLAYER_ID_REQUIRED_HOMONYM,transfermarkt_kaggle_player_scores_latest_valuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,player_name_norm,display_league,LaLiga,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Luck Zogbé,1144999,Brest,Stade brestois 29,Ligue 1,2024-2025,DEF,19.540041067761805,638.0,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,14.528005599975586,2039072.5,-1.4056422225712577,1.4056422225712577,4.0,1.6094299124820992,1.158406900089738,0.0,1.0,0.85,exact_age_validated,0.0,0.0,2039072.4885928205,-1.4056422225712577,1.4056422225712577,1539072.4885928205,3.078144977185641,1.4056422225712577,3.078144977185641,1.5925534452164396,2.156927389424753,True,False,297.0,2.13127423173946,2.43439270202124,1.8903033020284965,-0.6249944573526541,0.889997660433723,1.8242763429217543,2.0247061018956813,51.853159845510326,307.0,True,0.85,0.3544444444444444,1.0,0.1666666666666666,0.6382222222222224,63.82222222222224,-1.5557835216389635,5765.0,True,1.0709242160151693,73.51093407797283,267.0,high_priority,False,True,DEF,,3.799355442775598,1899677.721387799,First Team Ready,3,84.40450500309555,True,500000.0,80.03247595544771,player,global_prospect_universe,XGBoost,B_v13B_advanced,Brest,Ligue 1,2024-2025,19.540041067761805,500000.0,Luck Zogbé,luck zogbe,Stade Brestois 29,Ligue 1,2025-2026,1500000.0,2026-03-27,21.01,FR1,3911.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Stade Brestois 29,Ligue 1,Luck Zogbé,luck zogbe,Stade Brestois 29,Ligue 1,2025-2026,1500000.0,2026-03-27,21.01,FR1,3911.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Luck Zogbé,luck zogbe,Stade Brestois 29,Ligue 1,2023-2024,100000.0,2024-06-03,19.2,FR1,3911.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Luck Zogbé,luck zogbe,Stade Brestois 29,Ligue 1,2023-2024,100000.0,2024-06-03,19.2,FR1,3911.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,DSS,player_name_norm,display_league,Ligue 1,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Jannik Robatsch,909860,SK Austria Klagenfurt,Fußball-Club St. Pauli von 1910,Austrian Bundesliga,2024-2025,DEF,19.78370978781657,2127.0,800000.0,13.592367006650065,XGBoost,B_v13B_advanced,14.583599090576172,2155641.75,-0.9912320839261072,0.9912320839261072,1.6666666666666667,0.9808271696831684,0.8354930915970429,1.0,1.0,0.85,exact_age_validated,0.04,0.0,2155641.8740892964,-0.9912320839261072,0.9912320839261072,1355641.8740892964,1.6945523426116205,0.9912320839261072,1.6945523426116205,1.1577527981605544,1.066768700304552,True,False,755.0,0.6320290781709142,1.236437040853533,1.3197853067094958,1.5997564550586283,0.889997660433723,1.0949616909122568,1.2152630414432493,38.73201398934956,562.0,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2567.0,False,1.0440030736760135,72.83833961527073,292.0,high_priority,False,True,DEF,,2.2749831040888826,1819986.483271106,Rotation Profile,2,80.274504751395,True,800000.0,79.99160775793665,player,global_prospect_universe,XGBoost,B_v13B_advanced,SK Austria Klagenfurt,Austrian Bundesliga,2024-2025,19.78370978781657,800000.0,Jannik Robatsch,jannik robatsch,FC St. Pauli,Bundesliga,2025-2026,600000.0,2025-12-19,20.97,L1,35.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,FC St. Pauli,Bundesliga,Jannik Robatsch,jannik robatsch,FC St. Pauli,Bundesliga,2025-2026,600000.0,2025-12-19,20.97,L1,35.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,player_name_norm,display_league,Bundesliga,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
James Abankwah,648032,Watford,Watford FC,Championship,2024-2025,DEF,20.75564681724846,1384.0,800000.0,13.592367006650065,XGBoost,B_v13B_advanced,14.383293151855469,1764350.5,-0.7909261452054039,0.7909261452054039,1.6666666666666667,0.9808271696831684,0.8354930915970429,1.0,1.0,1.0,exact_age_club_validated,0.0,0.0,1764350.4292476673,-0.7909261452054039,0.7909261452054039,964350.4292476672,1.205438036559584,0.7909261452054039,1.205438036559584,0.9475910679248136,0.6813863287947542,True,False,1137.0,0.6320290781709142,1.236437040853533,1.3197853067094958,1.5997564550586283,0.889997660433723,1.0949616909122568,1.2152630414432493,38.73201398934956,569.0,True,1.0,0.7688888888888888,1.0,0.1666666666666666,0.835777777777778,83.5777777777778,0.2566659547515891,3046.0,False,0.8763240386697777,68.64906751694701,510.0,high_priority,False,True,DEF,,1.350360723048455,1080288.578438764,Rotation Profile,2,79.15763604666311,True,800000.0,79.61226718314315,player,global_prospect_universe,XGBoost,B_v13B_advanced,Watford,Championship,2024-2025,20.75564681724846,800000.0,James Abankwah,james abankwah,Watford FC,Premier League,2025-2026,1500000.0,2025-12-03,21.88,GB1,1010.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Watford FC,Premier League,James Abankwah,james abankwah,Watford FC,Premier League,2025-2026,1500000.0,2025-12-03,21.88,GB1,1010.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,James Abankwah,james abankwah,Watford FC,Premier League,2025-2026,1500000.0,2025-12-03,21.88,GB1,1010.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,James Abankwah,james abankwah,Watford FC,Premier League,2025-2026,1500000.0,2025-12-03,21.88,GB1,1010.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,DSS,player_name_norm,display_league,Premier League,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Armin Gigovic,651269,Holstein Kiel,Berner Sport Club Young Boys,Bundesliga,2024-2025,MID,22.510609171800137,1895.0,2500000.0,14.73180128983843,XGBoost,B_v13B_advanced,15.961172103881836,8547694.0,-1.2293708140434063,1.2293708140434063,0.25,0.2231434513142538,-0.1202089847018046,0.0,1.0,0.85,exact_age_validated,0.24,0.05,8547694.059396802,-1.2293708140434063,1.2293708140434063,6047694.0593968015,2.419077623758721,1.2293708140434063,2.419077623758721,1.407608832770581,1.6376358117596124,True,False,469.0,-0.2782269079242744,-0.2075138648538152,-0.3687310043065428,-0.6249944573526541,0.889997660433723,-0.2559045456236418,-0.2840202894903476,14.42849441393362,2800.0,False,0.85,1.0,1.0,0.5416666666666666,0.9016666666666668,90.16666666666669,0.8611555720179531,1654.0,False,0.8754109000548232,68.62625377567406,511.0,high_priority,False,True,MID,,3.6172431492693295,9043107.873173324,First Team Ready,3,86.08169905505076,True,2500000.0,83.69585377776268,player,global_prospect_universe,XGBoost,B_v13B_advanced,Holstein Kiel,Bundesliga,2024-2025,22.510609171800137,2500000.0,,,,,,,,,,,,,,,,False,True,Holstein Kiel,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,player_name_norm,display_league,Bundesliga,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Yago Santiago,706947,Elche,Elche Club de Fútbol S.A.D.,Spanish Segunda División,2024-2025,MID,21.50034223134839,1365.0,600000.0,13.304684934198283,XGBoost,B_v13B_advanced,14.176230430603027,1434361.625,-0.8715454964047442,0.8715454964047442,2.0,1.0986089553458882,0.9459060416525168,1.0,1.0,0.85,exact_age_validated,0.13,0.2,1434361.6006648953,-0.8715454964047442,0.8715454964047442,834361.6006648953,1.390602667774825,0.8715454964047442,1.390602667774825,1.0321771887694924,0.827281028284233,True,False,997.0,0.846206957252135,1.460898926413948,1.514860813752518,1.5997564550586283,0.889997660433723,1.2753224970655035,1.415439745032156,41.976896616828526,470.0,True,0.85,0.7583333333333333,1.0,0.1666666666666666,0.7795833333333335,77.95833333333336,-0.2588831581193451,3712.0,False,0.8697807584573909,68.485591020173,520.0,high_priority,False,True,MID,,2.011816073150661,1207089.6438903967,Rotation Profile,2,79.95817976327618,True,600000.0,79.67729479608975,player,global_prospect_universe,XGBoost,B_v13B_advanced,Elche,Spanish Segunda División,2024-2025,21.50034223134839,600000.0,Yago Santiago,yago santiago,Elche CF,LaLiga,2025-2026,1000000.0,2026-03-16,22.92,ES1,1531.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Elche CF,LaLiga,Yago Santiago,yago santiago,Elche CF,LaLiga,2025-2026,1000000.0,2026-03-16,22.92,ES1,1531.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Yago Santiago,yago santiago,Tottenham Hotspur U21,LaLiga,2023-2024,200000.0,2023-12-19,20.68,ES1,1531.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Yago Santiago,yago santiago,Tottenham Hotspur U21,LaLiga,2023-2024,200000.0,2023-12-19,20.68,ES1,1531.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,DSS,player_name_norm,display_league,LaLiga,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
Dominik Javorček,610608,Holstein Kiel,"SK Slavia Praha, a.s.",Bundesliga,2024-2025,DEF,22.132785763175907,386.0,550000.0,13.217673557208654,XGBoost,B_v13B_advanced,15.378670692443848,4773883.5,-2.1609971352351938,2.1609971352351938,0.0,0.0,-0.283298444277076,0.0,1.0,0.85,exact_age_validated,0.0,0.47,4773883.547151801,-2.1609971352351938,2.1609971352351938,4223883.547151801,5.0,2.1609971352351938,5.0,2.3850746076012874,3.671193149444084,True,False,66.0,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,0.889997660433723,-0.5037066718106122,-0.559047962189276,9.970270748459184,3789.0,False,0.85,0.2144444444444444,1.0,0.6666666666666666,0.6392222222222222,63.922222222222224,-1.546609142962072,5743.0,True,0.8627072150409747,68.30886649364187,536.0,high_priority,False,True,DEF,,10.325417585820498,5678979.672201274,Key Player Profile,4,92.895769807273,True,550000.0,81.97062200801058,player,global_prospect_universe,XGBoost,B_v13B_advanced,Holstein Kiel,Bundesliga,2024-2025,22.132785763175907,550000.0,,,,,,,,,,,,,,,,False,True,Holstein Kiel,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,player_name_norm,display_league,Bundesliga,,,,,,,,,,DSS,,,,,,,,,,,,,,,,,,,
