dataset,suffix,size_mb,modified_at_utc,modified_at_local_naive,sha256_16,read_error,n_columns_sample,columns_sample
data/outputs/02_baseline_test_predictions.parquet,.parquet,0.153,2026-06-02T20:01:49.348581+00:00,2026-06-02T22:01:49,20f4cfaa1ffc5cec,,64,"player_name_fbref, club, league, season, season_start_year_fbref, position, position_group, age_fbref, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90, player_name_norm, player_id_tm, player_name_tm, season_start_year_tm, valuation_date, market_value_eur, log_market_value_eur, market_value_prev_eur, market_value_next_eur, market_value_growth_1y, delta_log_market_value_1y, age_tm, date_of_birth, nationality, position_tm, sub_position_tm, foot, height_in_cm, current_club_name_tm, current_club_id_tm, competition_id_tm, source, matching_method, matching_confidence, age_diff, club_score, matching_status, season_start_year, age, log_minutes_played, predicted_log_market_value, predicted_market_value_eur, residual_observed_minus_predicted, inefficiency_score, market_value_gap_eur, market_value_gap_pct, inefficiency_score_z, confidence_score, opportunity_score"
data/outputs/02_baseline_undervalued_ranking.csv,.csv,0.006,2026-06-02T20:01:49.854933+00:00,2026-06-02T22:01:49,9d180c7de5c4909b,,18,"player_name_fbref, club, league, season, position_group, age, minutes_played, market_value_eur, predicted_market_value_eur, market_value_gap_eur, market_value_gap_pct, inefficiency_score, inefficiency_score_z, matching_method, matching_confidence, age_diff, club_score, opportunity_score"
data/outputs/02_baseline_vif_table.csv,.csv,0.001,2026-06-02T20:01:49.306072+00:00,2026-06-02T22:01:49,d53690f9c6958ba2,,2,"feature, VIF"
data/outputs/03_econometric_model_coefficients.csv,.csv,0.001,2026-06-02T20:43:50.961146+00:00,2026-06-02T22:43:50,27b8761dafff394a,,6,"term, coef, std_err_HC3, t, p_value, significant_5pct"
data/outputs/03_econometric_model_metrics.csv,.csv,0.001,2026-06-02T20:43:50.925981+00:00,2026-06-02T22:43:50,d9d7b7b2bd4fdc59,,6,"model, split, n, MAE_log, RMSE_log, R2"
data/outputs/03_econometric_scored_player_seasons.parquet,.parquet,0.619,2026-06-02T20:43:51.103258+00:00,2026-06-02T22:43:51,ee3f87edc7536a3f,,68,"player_name_fbref, club, league, season, season_start_year_fbref, position, position_group, age_fbref, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90, player_name_norm, player_id_tm, player_name_tm, season_start_year_tm, valuation_date, market_value_eur, log_market_value_eur, market_value_prev_eur, market_value_next_eur, market_value_growth_1y, delta_log_market_value_1y, age_tm, date_of_birth, nationality, position_tm, sub_position_tm, foot, height_in_cm, current_club_name_tm, current_club_id_tm, competition_id_tm, source, matching_method, matching_confidence, age_diff, club_score, matching_status, season_start_year, age, player_name, log_minutes_played, z_goals_per90, z_assists_per90, split, predicted_log_market_value, predicted_market_value_eur, residual_log_observed_minus_predicted, inefficiency_score, market_value_gap_eur, market_value_gap_pct, inefficiency_score_z, confidence_score, opportunity_score"
data/outputs/03_econometric_test_predictions.parquet,.parquet,0.157,2026-06-02T20:43:51.114326+00:00,2026-06-02T22:43:51,fc815a9464e71df3,,65,"player_name_fbref, club, league, season, season_start_year_fbref, position, position_group, age_fbref, matches_played, starts, minutes_played, nineties, goals, assists, g_a, goals_minus_pk, penalties_scored, penalties_attempted, yellow_cards, red_cards, goals_per90, assists_per90, g_a_per90, goals_minus_pk_per90, g_a_minus_pk_per90, player_name_norm, player_id_tm, player_name_tm, season_start_year_tm, valuation_date, market_value_eur, log_market_value_eur, market_value_prev_eur, market_value_next_eur, market_value_growth_1y, delta_log_market_value_1y, age_tm, date_of_birth, nationality, position_tm, sub_position_tm, foot, height_in_cm, current_club_name_tm, current_club_id_tm, competition_id_tm, source, matching_method, matching_confidence, age_diff, club_score, matching_status, season_start_year, age, player_name, log_minutes_played, z_goals_per90, z_assists_per90, split, predicted_log_market_value, predicted_market_value_eur, residual_log_observed_minus_predicted, inefficiency_score, market_value_gap_eur, market_value_gap_pct"
data/outputs/03_inefficiency_by_league_test.csv,.csv,0.001,2026-06-02T20:43:51.886645+00:00,2026-06-02T22:43:51,d2d972c8c5ed107f,,9,"league, n, mean_inefficiency, median_inefficiency, mean_gap_eur, median_gap_eur, mean_gap_pct, mean_confidence, mean_opportunity"
data/outputs/03_overvalued_ranking.csv,.csv,0.017,2026-06-02T20:43:51.827837+00:00,2026-06-02T22:43:51,768cf63b179b5083,,23,"player_id_tm, player_name, club, current_club_name_tm, league, season, position_group, age, minutes_played, market_value_eur, predicted_market_value_eur, market_value_gap_eur, market_value_gap_pct, log_market_value_eur, predicted_log_market_value, inefficiency_score, inefficiency_score_z, confidence_score, opportunity_score, matching_method, matching_confidence, age_diff, club_score"
data/outputs/03_strict_matching_metrics.csv,.csv,0.0,2026-06-02T20:43:51.976869+00:00,2026-06-02T22:43:51,65ad159ce27d5ea3,,6,"model, split, n, MAE_log, RMSE_log, R2"
