dataset,has_contract_any,has_market_value_any,has_profile_any,has_contract_expiration,has_contract_end_date,has_months_remaining,has_days_remaining,has_free_agent,has_expiring_12m,has_market_value_eur,has_market_value_log,has_log_market_value_eur,has_latest_market_value,has_value_update_date,has_market_value_update_date,has_player_id_tm,has_player_name,has_player_name_fbref,has_player_name_tm,has_name,has_player,has_club,has_club_actual,has_league,has_position,has_position_group,has_age,has_season,has_season_start_year,contract_cols_found,value_cols_found,profile_cols_found
reports/portfolio/scenarios/recommended_portfolio_conservative.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, player_name_tm, club, league, position_group, age, season"
reports/portfolio/scenarios/scenario_simulation_summary.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/rankings/ols_overvalued.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/rankings/ols_undervalued.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/rankings/scoring_dataset.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position, position_group, age, season"
reports/rankings/scoring_dataset_confidence.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position, position_group, age, season"
reports/rankings/scoring_dataset_growth.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position, position_group, age, season"
reports/rankings/scoring_dataset_opportunity.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position, position_group, age, season"
reports/rankings/scoring_league_distribution.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,league
reports/rankings/scouting_shortlist.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, club, league, position_group, age, season"
reports/rankings/scouting_shortlist_with_risk.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, club, league, position_group, age, season"
reports/rankings/top_high_potential.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, player_name_tm, club, league, position_group, age, season"
reports/rankings/top_low_risk.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, player_name_tm, club, league, position_group, age, season"
reports/rankings/top_undervalued_by_league.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, player_name_tm, club, league, position_group, age, season"
reports/rankings/top_undervalued_by_position.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, player_name_tm, club, league, position_group, age, season"
reports/rankings/top_undervalued_global.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, player_name_tm, club, league, position_group, age, season"
reports/scouting_reports/player_shap_report.csv,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,,market_value_eur,"player_name_fbref, player_name_tm, club, league, position_group, age, season"
reports/sprint_13a1/econometric/03_econometric_model_coefficients.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/econometric/03_econometric_model_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/econometric/03_econometric_scored_player_seasons.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/sprint_13a1/econometric/03_econometric_test_predictions.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/sprint_13a1/econometric/03_inefficiency_by_league_test.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,league
reports/sprint_13a1/econometric/03_overvalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, club, league, position_group, age, season"
reports/sprint_13a1/econometric/03_strict_matching_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/econometric/03_undervalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, club, league, position_group, age, season"
reports/sprint_13a1/econometric/03_vif_table.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/ml/04_ml_inefficiency_by_league.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,league
reports/sprint_13a1/ml/04_ml_inefficiency_by_position.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,position_group
reports/sprint_13a1/ml/04_ml_model_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/ml/04_ml_overvalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/04_ml_permutation_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/ml/04_ml_test_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/04_ml_test_predictions.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/04_ml_undervalued_ranking.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/04_model_comparison_test.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/ml/predictions/04_ml_test_predictions_v13a1.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/predictions/04_ml_test_predictions_v13a1.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/tables/04_ml_inefficiency_by_league_v13a1.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,league
reports/sprint_13a1/ml/tables/04_ml_inefficiency_by_position_v13a1.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,position_group
reports/sprint_13a1/ml/tables/04_ml_overvalued_ranking_v13a1.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/tables/04_ml_permutation_importance_v13a1.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/ml/tables/04_ml_undervalued_ranking_v13a1.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, club, league, position_group, age, season"
reports/sprint_13a1/ml/tables/04_model_comparison_test_v13a1.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/ml/tables/ml_model_comparison_v13a1.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/ols/growth_ols_temporal_v13a1_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/xgboost/feature_importance/tuned_lightgbm_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/xgboost/feature_importance/tuned_random_forest_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/xgboost/feature_importance/tuned_xgboost_feature_importance.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13a1/xgboost/predictions/tuned_xgboost_full_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/sprint_13a1/xgboost/predictions/tuned_xgboost_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/sprint_13a1/xgboost/predictions/tuned_xgboost_test_predictions.csv,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/sprint_13a1/xgboost/tables/ml_tuned_model_comparison.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/03_advanced_feature_coefficients.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/03_econometric_model_coefficients.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/03_econometric_model_metrics.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
reports/sprint_13b/econometric/03_econometric_scored_player_seasons.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/sprint_13b/econometric/03_econometric_test_predictions.parquet,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,,"market_value_eur, log_market_value_eur","player_id_tm, player_name, player_name_fbref, player_name_tm, club, league, position, position_group, age, season, season_start_year"
reports/sprint_13b/econometric/03_inefficiency_by_league_test.csv,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,league
reports/sprint_13b/econometric/03_main_coefficients_advanced_features.csv,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
