player_id_tm,player_name,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,log_market_value_eur,predicted_log_market_value,inefficiency_score,inefficiency_score_z,confidence_score,opportunity_score,matching_method,matching_confidence,age_diff,club_score
646740.0,Gavi,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,MID,20.39425051334702,1085,80000000.0,5154113.896497363,-74845886.10350263,-0.9355735762937829,18.197537192638155,15.455305768610998,-2.742231424027157,-2.808166196150613,0.85,-2.386941266728021,exact_age_validated,0.85,1.3942505133470213,60.0
810092.0,Warren Zaïre-Emery,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,18.759753593429156,2050,60000000.0,5951347.117917199,-54048652.882082805,-0.9008108813680468,17.909855120186375,15.599128158268396,-2.310726961917979,-2.3662865526726646,1.0,-2.3662865526726646,exact_age_club_validated,1.0,0.7597535934291564,73.07692307692308
565424.0,Johan Bakayoko,PSV,RasenBallsport Leipzig,Eredivisie,2024-2025,MID,21.661875427789184,1579,40000000.0,2731596.5389758865,-37268403.46102411,-0.9317100865256028,17.50439001207821,14.82039680903645,-2.6839932030417604,-2.7485276834918357,0.85,-2.3362485309680605,exact_age_validated,0.85,0.6618754277891838,16.000000000000004
650568.0,António Silva,Benfica,Sport Lisboa e Benfica,Liga Portugal,2024-2025,DEF,20.941820670773442,2037,40000000.0,2758586.0847793836,-37241413.91522062,-0.9310353478805155,17.50439001207821,14.830228818305528,-2.674161193772683,-2.738459271384912,0.85,-2.327690380677175,exact_age_validated,0.85,0.941820670773442,48.275862068965516
792380.0,Aleksandar Pavlovic,Bayern Munich,FC Bayern München,Bundesliga,2024-2025,MID,20.435318275154003,1451,50000000.0,5280924.641969639,-44719075.358030364,-0.8943815071606073,17.72753356339242,15.479611761935608,-2.247921801456812,-2.301971292113125,1.0,-2.301971292113125,exact_age_club_validated,1.0,0.43531827515400323,80.0
974982.0,Ousmane Diomande,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,21.04312114989733,2521,40000000.0,2929578.467110349,-37070421.53288965,-0.9267605383222413,17.50439001207821,14.890369102762847,-2.6140209093153643,-2.676872961651831,0.85,-2.275342017404056,exact_age_validated,0.85,1.0431211498973312,59.45945945945945
473169.0,Brian Brobbey,Ajax,Sunderland Association Football Club,Eredivisie,2024-2025,ATT,22.874743326488705,1555,30000000.0,2221194.5920178355,-27778805.407982163,-0.9259601802660721,17.216707939626428,14.613555713634684,-2.603152225991744,-2.6657429494877833,0.85,-2.265881507064616,exact_age_validated,0.85,0.874743326488705,9.999999999999998
580195.0,Jamal Musiala,Bayern Munich,FC Bayern München,Bundesliga,2024-2025,MID,21.39082819986311,1798,130000000.0,14963440.939204078,-115036559.06079592,-0.8848966081599686,18.683045008419857,16.521120513367606,-2.1619244950522507,-2.2139062489189794,1.0,-2.2139062489189794,exact_age_club_validated,1.0,0.39082819986310824,80.0
661171.0,Willian Pacho,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,22.976043805612594,2132,40000000.0,4814896.516649891,-35185103.48335011,-0.8796275870837528,17.50439001207821,15.387225111114228,-2.1171649009639832,-2.1680704460138007,1.0,-2.1680704460138007,exact_age_club_validated,1.0,0.9760438056125942,73.07692307692308
616341.0,Nuno Mendes,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,22.477754962354553,1676,55000000.0,6649978.964234356,-48350021.03576565,-0.8790912915593754,17.822843743196746,15.710124249354005,-2.112719493842741,-2.163518152616307,1.0,-2.163518152616307,exact_age_club_validated,1.0,0.4777549623545525,73.07692307692308
864799.0,Stefan Bajcetic,RB Salzburg,Liverpool Football Club,Austrian Bundesliga,2024-2025,MID,20.1533196440794,614,9000000.0,824224.5276734809,-8175775.472326519,-0.9084194969251688,16.012735135300492,13.622198256814935,-2.390536878485557,-2.4480154351655723,0.85,-2.0808131198907365,exact_age_validated,0.85,1.1533196440793994,29.411764705882348
640428.0,Eduardo Camavinga,Real Madrid,Real Madrid Club de Fútbol,LaLiga,2024-2025,DEF,22.130047912388775,1102,80000000.0,7580165.852882772,-72419834.14711723,-0.9052479268389654,18.197537192638155,15.841045637706726,-2.356491554931429,-2.4131515189023305,0.85,-2.051178791066981,exact_age_validated,0.85,1.1300479123887754,59.45945945945945
904802.0,Jorrel Hato,Ajax,Chelsea Football Club,Eredivisie,2024-2025,DEF,18.781656399726216,2588,30000000.0,3016631.06760154,-26983368.93239846,-0.8994456310799487,17.216707939626428,14.9196512261433,-2.297056713483128,-2.352287613993976,0.85,-1.9994444718948796,exact_age_validated,0.85,0.7816563997262165,16.000000000000004
971570.0,Endrick,Real Madrid,Olympique Lyonnais,LaLiga,2024-2025,ATT,18.43668720054757,363,40000000.0,4142845.8149856543,-35857154.185014345,-0.8964288546253586,17.50439001207821,15.236893504577889,-2.267496507500322,-2.322016656384476,0.85,-1.9737141579268047,exact_age_validated,0.85,0.4366872005475706,27.586206896551722
847278.0,Karim Konaté,RB Salzburg,Fußballclub Red Bull Salzburg,Austrian Bundesliga,2024-2025,ATT,20.7419575633128,753,18000000.0,1941341.5724888742,-16058658.427511126,-0.8921476904172848,16.70588231586044,14.478889824252049,-2.2269924916083905,-2.280538753666466,0.85,-1.9384579406164961,exact_age_validated,0.85,0.7419575633127984,50.0
581678.0,Jude Bellingham,Real Madrid,Real Madrid Club de Fútbol,LaLiga,2024-2025,MID,21.49760438056126,2488,180000000.0,19442504.124468118,-160557495.87553188,-0.8919860881973993,19.008467408854486,16.78297216168793,-2.225495247166556,-2.2790055091736434,0.85,-1.937154682797597,exact_age_validated,0.85,0.4976043805612598,59.45945945945945
557407.0,Devyne Rensch,Ajax,Associazione Sportiva Roma,Eredivisie,2024-2025,DEF,21.913757700205338,1113,12000000.0,1330175.5815293342,-10669824.418470666,-0.8891520348725555,16.300417207752275,14.100821507672036,-2.1995957000802395,-2.2524832280903806,0.85,-1.9146107438768234,exact_age_validated,0.85,0.9137577002053376,13.33333333333333
662131.0,Ahmetcan Kaplan,Ajax,Nijmegen Eendracht Combinatie,Eredivisie,2024-2025,DEF,21.744010951403148,562,8000000.0,926241.6414817306,-7073758.358518269,-0.8842197948147836,15.89495209964411,13.7388904315104,-2.1560616681337095,-2.207902454993246,0.85,-1.876717086744259,exact_age_validated,0.85,0.7440109514031477,12.121212121212121
618472.0,Castello Lukeba,RB Leipzig,RasenBallsport Leipzig,Bundesliga,2024-2025,DEF,22.00958247775496,1577,50000000.0,5929745.118547355,-44070254.88145264,-0.8814050976290528,17.72753356339242,15.59549178835495,-2.13204177503747,-2.183305022684286,0.85,-1.8558092692816428,exact_age_validated,0.85,1.009582477754961,62.5
548193.0,Zeno Debast,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,20.958247775496236,2126,22000000.0,2650777.484184614,-19349222.515815385,-0.8795101143552447,16.90655301132259,14.790363545190244,-2.1161894661323455,-2.1670715576279584,0.85,-1.8420108239837647,exact_age_validated,0.85,0.9582477754962362,59.45945945945945
