,finishing_index_v2,availability_index,defensive_activity_index
finishing_index_v2,1.0,0.5233638093503689,0.33024650564608327
availability_index,0.5233638093503689,1.0,0.7929645771106113
defensive_activity_index,0.33024650564608327,0.7929645771106113,1.0
