model,split,n,MAE_log,RMSE_log,R2
M_B_v13B_advanced_FE,test,776,0.7716890528768403,0.9554894423906946,0.454946557049111
M_A_v13A_base_spec_FE,test,776,0.7738684972140153,0.9593480839182262,0.450535388362284
M0_mean_train,test,776,1.0764221820807511,1.2986905285874648,-0.006928534894544702
M_B_v13B_advanced_FE,train,3854,0.7948112631476464,0.9765203454788974,0.42812260180086814
M_A_v13A_base_spec_FE,train,3854,0.7986582822074397,0.9814603980257282,0.4223219028700609
M0_mean_train,train,3854,1.0778135693876336,1.2913079648215415,0.0
