dataset,variable,total_rows,total_non_null,total_numeric_non_null,avg_coverage_pct,avg_numeric_coverage_pct,min_value,max_value,mean_value,std_value,n_files,global_coverage_pct,global_numeric_coverage_pct
playing_time,"('team_success',_'ppm')",51883,43622,43622,0.845696103896104,0.845696103896104,0.0,3.0,1.3251234900172406,0.6495709990861464,77,0.8408,0.8408
shooting,"('90s',_'')",43596,43596,43596,1.0,1.0,0.0,46.0,13.519946173542465,10.763295754267602,77,1.0,1.0
shooting,"('age',_'')",43596,43528,42840,0.9986597402597402,0.9858584415584416,14.0,47.0,24.70429448200481,4.4548659096044485,77,0.9984,0.9827
shooting,"('born',_'')",43596,43528,43528,0.9986597402597402,0.9986597402597402,1976.0,2010.0,1996.9437984919966,4.467175692992448,77,0.9984,0.9984
shooting,"('nation',_'')",43596,43479,0,0.9973883116883118,0.0,,,,,77,0.9973,0.0
shooting,"('pos',_'')",43596,43589,0,0.9998493506493507,0.0,,,,,77,0.9998,0.0
shooting,"('standard',_'g_per_sh')",43596,35311,35311,0.8082181818181818,0.8082181818181818,0.0,1.0,0.08017825527848137,0.11070778196998586,77,0.81,0.81
shooting,"('standard',_'g_per_sot')",43596,29958,29958,0.6851090909090909,0.6851090909090909,0.0,2.0,0.2588634935030812,0.2590940588769811,77,0.6872,0.6872
shooting,"('standard',_'gls')",43596,43596,43596,1.0,1.0,0.0,43.0,1.6409775900460777,3.0373725289376945,77,1.0,1.0
shooting,"('standard',_'pk')",43596,43596,43596,1.0,1.0,0.0,14.0,0.15041257213457887,0.6793484302775467,77,1.0,1.0
shooting,"('standard',_'pkatt')",43596,43596,43596,1.0,1.0,0.0,15.0,0.1904095398692049,0.7954117594895672,77,1.0,1.0
shooting,"('standard',_'sh')",43596,43132,43132,0.9869896103896103,0.9869896103896103,0.0,208.0,15.355673427827526,19.324175046143566,77,0.9894,0.9894
shooting,"('standard',_'sh_per_90')",43596,43132,43132,0.9869896103896103,0.9869896103896103,0.0,180.0,1.292663936077087,2.1431561420416982,77,0.9894,0.9894
shooting,"('standard',_'sot')",43596,43132,43132,0.9869896103896103,0.9869896103896103,0.0,91.0,5.30684741417793,7.847784286013216,77,0.9894,0.9894
shooting,"('standard',_'sot_pct')",43596,35311,35311,0.8082181818181818,0.8082181818181818,0.0,100.0,30.863927711443072,20.636314785967464,77,0.81,0.81
shooting,"('standard',_'sot_per_90')",43596,43132,43132,0.9869896103896103,0.9869896103896103,0.0,90.0,0.43032362848293565,0.9267971912934921,77,0.9894,0.9894
