source,league,season,stat_type,status,rows,columns,output_path,error
soccerdata,premier_league,2025_2026,standard,ok,551.0,21.0,data\raw\fbref\sprint_13b\soccerdata\fbref_standard_premier_league_2025_2026.parquet,
soccerdata,premier_league,2025_2026,shooting,ok,551.0,15.0,data\raw\fbref\sprint_13b\soccerdata\fbref_shooting_premier_league_2025_2026.parquet,
soccerdata,premier_league,2025_2026,playing_time,ok,693.0,21.0,data\raw\fbref\sprint_13b\soccerdata\fbref_playing_time_premier_league_2025_2026.parquet,
soccerdata,premier_league,2025_2026,misc,ok,551.0,17.0,data\raw\fbref\sprint_13b\soccerdata\fbref_misc_premier_league_2025_2026.parquet,
soccerdata,premier_league,2025_2026,passing,error,,,,"TypeError(""Invalid argument: stat_type should be in ['standard', 'keeper', 'shooting', 'playing_time', 'misc']"")"
soccerdata,premier_league,2025_2026,passing_types,error,,,,"TypeError(""Invalid argument: stat_type should be in ['standard', 'keeper', 'shooting', 'playing_time', 'misc']"")"
soccerdata,premier_league,2025_2026,gca,error,,,,"TypeError(""Invalid argument: stat_type should be in ['standard', 'keeper', 'shooting', 'playing_time', 'misc']"")"
soccerdata,premier_league,2025_2026,defense,error,,,,"TypeError(""Invalid argument: stat_type should be in ['standard', 'keeper', 'shooting', 'playing_time', 'misc']"")"
soccerdata,premier_league,2025_2026,possession,error,,,,"TypeError(""Invalid argument: stat_type should be in ['standard', 'keeper', 'shooting', 'playing_time', 'misc']"")"
