dataset,league,season,url,filename,status,http_status,html_chars,output_path,error
shooting,premier_league,2025_2026,https://fbref.com/en/comps/9/shooting/Premier-League-Stats,fbref_shooting_premier_league_2025_2026.html,ok,403.0,32025.0,data\raw\fbref\sprint_13b\html\shooting\fbref_shooting_premier_league_2025_2026.html,
passing,premier_league,2025_2026,https://fbref.com/en/comps/9/passing/Premier-League-Stats,fbref_passing_premier_league_2025_2026.html,error,,,,"Error('Page.goto: Navigation to ""https://fbref.com/en/comps/9/passing/Premier-League-Stats"" is interrupted by another navigation to ""https://fbref.com/en/comps/9/shooting/Premier-League-Stats""\nCall log:\n  - navigating to ""https://fbref.com/en/comps/9/passing/Premier-League-Stats"", waiting until ""domcontentloaded""\n')"
possession,premier_league,2025_2026,https://fbref.com/en/comps/9/possession/Premier-League-Stats,fbref_possession_premier_league_2025_2026.html,ok,403.0,32031.0,data\raw\fbref\sprint_13b\html\possession\fbref_possession_premier_league_2025_2026.html,
gca,premier_league,2025_2026,https://fbref.com/en/comps/9/gca/Premier-League-Stats,fbref_gca_premier_league_2025_2026.html,error,,,,"Error('Page.goto: Navigation to ""https://fbref.com/en/comps/9/gca/Premier-League-Stats"" is interrupted by another navigation to ""https://fbref.com/en/comps/9/possession/Premier-League-Stats""\nCall log:\n  - navigating to ""https://fbref.com/en/comps/9/gca/Premier-League-Stats"", waiting until ""domcontentloaded""\n')"
