model,rmse,mae,r2
tuned_xgboost,0.8525481419078265,0.6834488454313107,0.5663649005484965
tuned_lightgbm,0.8617055997739425,0.6998283064424381,0.5569992782671689
hist_gradient_boosting,0.863086276530064,0.6995723135273567,0.5555785359544414
tuned_random_forest,0.8952385192514858,0.7232145628441032,0.5218500399697596
