model,MAE,RMSE,R2
random_forest,0.7842850175200475,0.9914684067886126,0.4334901352121993
gradient_boosting,0.8030162302949825,1.0048604894257938,0.4180827148908673
OLS_final,0.8129846329411088,1.003543022015413,0.4160062390213326
hist_gradient_boosting,0.7955670768170914,1.0093482203207282,0.412873395407325
