model,sample,MAE_log,RMSE_log,R2
M0_mean_train,train,1.0960478886537062,1.3117267756583277,0.0
M0_mean_test,test,1.0898541771150017,1.3211723292505355,-0.005932072878611194
M1_OLS_simple_train,train,1.0146142534914662,1.2186009119299777,0.13694945683990167
M1_OLS_simple_test,test,1.0035878270191112,1.2164797868707105,0.14717580892753368
M2_OLS_league_FE_train,train,0.8199119937292388,1.0099895760976132,0.4071470083893899
M2_OLS_league_FE_test,test,0.795365110384752,0.9896445035117175,0.4355725188785772
M3_OLS_full_FE_train,train,0.8190701464963164,1.008191259533524,0.40925631374344973
M3_OLS_full_FE_test,test,0.7906513993056197,0.9823042717389177,0.4439142294905185
