term,coef,std_err_HC3,t_value,p_value,ci_lower,ci_upper,approx_pct_effect
const,16.728954114612232,0.476619136110108,35.09920783110884,6.930971084754157e-270,15.794797773493826,17.66311045573064,1842011920.6011314
minutes_played,0.0007056625807604893,3.5367631230476155e-05,19.952214955024257,1.4339307600816353e-88,0.000636343297330262,0.0007749818641907166,0.07059116191749926
goals_per90,1.8311342269287636,0.16058935528659685,11.402587821968758,4.0587212735590744e-30,1.516384874266527,2.1458835795910005,524.0961312016483
assists_per90,1.985483313574179,0.2331636858294809,8.515405417918373,1.6600849019103614e-17,1.5284908868457843,2.442475740302574,628.2566298162534
age,-0.11159499668196993,0.022155199425096077,-5.03696647187756,4.7296758707176626e-07,-0.15501838962546075,-0.06817160373847911,-10.55935782749835
league_Eredivisie,-1.8628680172471084,0.08135374705159033,-22.898367742862217,4.8234671379538115e-116,-2.022318431475607,-1.7034176030186097,-84.47732017880443
league_LaLiga,0.17805057700434035,0.09406450085176221,1.8928562357964687,0.05837699061003075,-0.00631245688885082,0.36241361089753155,19.488575344848602
league_Liga Portugal,-0.8693378353696259,0.11254188611922147,-7.724571404896229,1.1223031536298223e-14,-1.0899158789155083,-0.6487597918237437,-58.077094398716625
league_Ligue 1,-0.35349913898007246,0.09081996766531242,-3.8923063734483927,9.929574063588683e-05,-0.5315030046811771,-0.17549527327896786,-29.777340278109953
league_Premier League,0.8496920270757679,0.08868232995818444,9.581300214782532,9.58308181831835e-22,0.6758778542926289,1.0235061998589068,133.89264149865627
league_Serie A,0.05437992696935423,0.08587098645856107,0.6332747440323916,0.52655424314621,-0.11392411380635215,0.2226839677450606,5.58856854075247
season_2021-2022,-0.004930819148244003,0.07341946063993612,-0.06715956648640797,0.9464546736849923,-0.1488303177668749,0.13896867947038688,-0.49186826153844176
season_2022-2023,0.014835372489540435,0.07421324627120347,0.19990194789925148,0.8415572669888429,-0.1306199173778198,0.1602906623569007,1.4945962834208792
season_2023-2024,0.10629600614516688,0.06903825283592271,1.5396682531609174,0.12364123905754848,-0.029016482968811902,0.24160849525914566,11.215103132782932
position_group_DEF,0.21898556194725116,0.076766038764377,2.8526359503764134,0.004335826165231232,0.06852689073326657,0.36944423316123576,24.481330387764146
position_group_GK,-0.04818904569541238,0.15399242464600302,-0.31293127441943397,0.7543328764488091,-0.3500086518935765,0.25363056050275173,-4.70463817314889
position_group_MID,0.1626079315602717,0.06841931469323578,2.376637829381062,0.017471232843215685,0.028508538914617437,0.29670732420592594,17.657530120387975
