model,rmse,mae,r2
tuned_xgboost,0.8752625583794049,0.7004069784279529,0.5535797189355779
hist_gradient_boosting,0.8824544310973712,0.7118398721213915,0.5462132704166724
tuned_lightgbm,0.8864398514817715,0.7162234321431664,0.5421051493769604
tuned_random_forest,0.9076107645759288,0.7314591968783233,0.5199720876044248
