season,n_obs,n_players,mean_age,median_market_value,mean_minutes
2019-2020,537,526,21.42976482269612,6000000.0,1426.0353817504656
2020-2021,536,531,21.25517177970517,4500000.0,1501.8526119402984
2021-2022,544,533,21.296226396102586,5000000.0,1451.358455882353
2022-2023,542,527,21.33546501789453,5000000.0,1461.110701107011
2023-2024,586,577,21.337926007947242,5000000.0,1434.7269624573378
2024-2025,552,541,21.320224384727556,6000000.0,1429.3115942028985
2025-2026,619,601,21.28552046255967,7000000.0,1379.686591276252
