league,n_obs,median_market_value,mean_market_value,median_log_market_value
Premier League,466,18000000.0,23263197.424892705,16.70588231586044
LaLiga,373,7500000.0,15980697.050938338,15.830413578506539
Bundesliga,438,7500000.0,14863013.698630137,15.830413578506539
Serie A,494,6000000.0,10387753.036437247,15.60727002719233
Ligue 1,627,5000000.0,9639234.449760765,15.424948470398375
Liga Portugal,342,2000000.0,4329605.263157895,14.508657738524219
Eredivisie,557,1300000.0,3847396.7684021546,14.077874822431765
