season,count,sum,mean
2019-2020,3778,3352,0.8872419269454738
2020-2021,3887,3491,0.8981219449446874
2021-2022,4036,3595,0.8907333994053518
2022-2023,3995,3591,0.8988735919899875
2023-2024,3912,3519,0.8995398773006135
2024-2025,3972,3288,0.8277945619335347
