model,split,MAE_log,RMSE_log,R2,RMSE_multiplicative_factor
ML2_GradientBoosting,test,0.7853246287486532,0.9666422707608887,0.44214816336901386,2.629101810030842
ML3_HistGradientBoosting,test,0.7903944063236935,0.9867410045750857,0.41870892663584536,2.6824780278729667
ML1_RandomForest,test,0.804258074546362,0.9888462050320419,0.4162259252424344,2.6881311302120166
M0_mean_train,test,1.0776844729764157,1.2999809230753772,-0.008930521541818282,3.6692266693909747
ML3_HistGradientBoosting,train,0.6142381877054294,0.7607409397800452,0.6512970525094176,2.139861141502311
ML1_RandomForest,train,0.7375574256279499,0.9032369153276346,0.5084299680370135,2.467577537475992
ML2_GradientBoosting,train,0.744235604428193,0.910665790816382,0.5003106583038339,2.485977123256726
M0_mean_train,train,1.0751246673950985,1.2882761880413673,0.0,3.626529709207657
