feature,importance_mean,importance_std
league,0.43347203583341765,0.02257747862725169
g_a_per90,0.05606222814616808,0.007281701296094163
minutes_played,0.03626396343321393,0.0055480933389993325
log_minutes_played,0.034451204742679625,0.004990623787169568
assists_per90,0.010915862047354247,0.003283978000517394
age,0.0022128028877557936,0.002731580580228926
goals_per90,0.0005567468259546349,0.0016606629551894814
position_group,-0.0008381490551167048,0.0009389366892476156
