position_group,n,mean_inefficiency_ml,median_inefficiency_ml,mean_gap_ml_eur,median_gap_ml_eur,mean_gap_ml_pct,mean_confidence_ml,mean_opportunity_ml
ATT,82,-0.0650464927556163,0.12880723972879338,-2737423.8982803468,331321.03911013564,0.3164115821057169,0.6698817260053161,0.26891885174259483
MID,399,-0.0819163768030324,-0.14354087032777052,-4407398.425276555,-488797.75114827603,0.4858579831165502,0.7195722297130003,0.285986822321306
GK,24,-0.14264860775074398,-0.06453516878831422,-1812064.1232760632,-159711.54722601874,0.05047936946618586,0.7427966575404974,0.18954678247336673
DEF,271,-0.15612181457805333,-0.15372275557050408,-4397869.9554761555,-618934.547201687,0.39884828671488154,0.7228335169792491,0.2922185577755574
