player_name_fbref,player_name_tm,club,league,season,position_group,age,minutes_played,market_value_eur,portfolio_cost_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,roi_proxy_pct,roi_score,upside_eur,upside_score,growth_score,confidence_score,opportunity_score,risk_score,risk_level,risk_adjusted_opportunity_score,future_asset_score,executive_decision_score,portfolio_score_conservative,portfolio_score_balanced,portfolio_score_aggressive,is_optimization_candidate
Filippo Terracciano,Filippo Terracciano,Cremonese,Serie A,2025-2026,DEF,22.87200547570157,3011,4500000.0,4500000.0,24042844.878461286,19542844.878461286,4.342854417435841,434.28544174358416,31.998460657289158,19542844.878461286,71.7778676484537,11.129992173975216,92.71875,73.98409494511206,10.29,Bajo,66.37,62.18362213118704,63.132537021819175,59.9445157444772,55.99063864778821,32.07388056243032,True
Basar Onal,Başar Önal,NEC Nijmegen,Eredivisie,2025-2026,MID,21.240246406570844,2056,1000000.0,1000000.0,6944850.446795569,5944850.446795569,5.0,594.485044679557,43.910577239976575,5944850.446795569,21.323927892698944,18.68937336812873,90.9404761904762,78.89637859080645,18.38,Bajo,64.4,53.73500734437545,60.336098982826584,57.178467130534614,55.84985228990254,33.55370889096417,True
Ousmane Camara,Ousmane Camara,Angers,Ligue 1,2025-2026,DEF,22.598220396988363,2718,1000000.0,1000000.0,6220258.354835828,5220258.354835828,5.0,522.0258354835828,38.522657846838285,5220258.354835828,18.635404527069447,28.329490058729075,88.08333333333334,81.00101023336168,28.68,Moderado,57.77,50.28231675816644,56.44628123621394,52.536939022392495,52.051913828917776,32.860322344686544,True
Taichi Fukui,Taichi Fukui,Arouca,Liga Portugal,2025-2026,MID,21.426420260095824,2521,2000000.0,2000000.0,7657024.348569304,5657024.348569304,2.828512174284652,282.8512174284652,20.73811979757115,5657024.348569304,20.25597918209905,6.667260163271589,94.75,68.3061700491904,2.21,Bajo,66.8,45.23757073451275,59.00212669346627,60.911265683204654,49.71936765789953,22.796857755453726,True
Antoine Mendy,Antoine Mendy,Nice,Ligue 1,2025-2026,DEF,21.371663244353183,2097,3000000.0,3000000.0,11472644.264713524,8472644.264713524,2.824214754904508,282.4214754904508,20.706165061277932,8472644.264713524,30.70304314716657,9.416989104315464,93.75,68.95700357295205,5.88,Bajo,64.9,47.50131927282933,58.61123053279774,59.49270834778984,49.590163902348536,24.039099742104383,True
Joe Scally,Joe Scally,Gladbach,Bundesliga,2025-2026,DEF,22.78713210130048,2608,7000000.0,7000000.0,25792182.497396845,18792182.497396845,2.6845974996281208,268.45974996281205,19.667999553169984,18792182.497396845,68.99261319483078,0.0,93.25,64.5137047944812,8.09,Bajo,59.29,55.55069410121344,57.7559144841996,57.55221957994613,49.544884874281706,23.550742823717197,True
Arnau Martinez,Arnau Martínez,Girona,LaLiga,2025-2026,DEF,22.633812457221083,2666,10000000.0,10000000.0,29276098.786078144,19276098.786078144,1.9276098786078144,192.76098786078143,14.039193596110868,19276098.786078144,70.78813410040624,5.90358773160327,94.75,64.17007894097448,2.21,Bajo,62.75,54.698767071935265,59.32520755617872,60.16481767723958,49.50405416949833,24.204443193686036,True
Álvaro Rodríguez,Álvaro Rodríguez,Elche,LaLiga,2025-2026,ATT,21.218343600273784,2201,4000000.0,4000000.0,17434873.804324627,13434873.804324629,3.3587184510811565,335.87184510811574,24.68062581276826,13434873.804324629,49.11487817945202,20.52214367042897,90.08333333333334,73.67497964934627,22.06,Bajo,57.42,52.45426784253448,56.381062890502875,53.74142831916164,49.25268601799116,28.47979329920782,True
Arijon Ibrahimović,Arijon Ibrahimovic,Heidenheim,Bundesliga,2025-2026,MID,20.021902806297057,2169,5000000.0,5000000.0,18425423.852844115,13425423.852844115,2.685084770568823,268.5084770568823,19.67162280076026,13425423.852844115,49.07981512033042,10.810020521943915,91.83333333333331,68.18023050607214,13.24,Bajo,59.15,50.65040119489645,56.49464639993854,55.92937436786572,48.177994010697795,24.564552274986994,True
Ayoube Amaimouni Echghouyab,Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,Bundesliga,2025-2026,MID,20.85968514715948,586,500000.0,500000.0,7244006.534196417,6744006.534196417,5.0,1348.8013068392834,100.0,6744006.534196417,24.289113184676438,25.87829566394785,68.06111111111113,72.23549603355966,97.06,Muy alto,2.12,62.619488613992154,31.24113802687664,16.960772602319988,48.122687630232605,44.9743097140816,True
