feature,importance
career_year,0.19515970265195565
league_Eredivisie,0.1529753628812511
log_minutes_played,0.11954986663831493
season_2019-2020,0.08645447265775225
league_Liga Portugal,0.07539729140636282
league_Premier League,0.048115604888444095
finishing_index,0.04631261648816203
goals_position_percentile,0.04138627618137971
playmaking_index,0.03577914411163065
goals_per90,0.03467235876138416
assists_position_percentile,0.031197792188322124
experience_index,0.027879205265306874
age,0.02247702371295789
assists_per90,0.022386734927038805
age_squared,0.022217983606707566
league_Ligue 1,0.0075175241438900685
breakout_indicator,0.006214774011787491
season_2020-2021,0.005374742855193283
season_2021-2022,0.003053537470129946
league_LaLiga,0.003045396947056435
position_group_MID,0.0030051971621510203
season_2022-2023,0.002612150862528757
league_Bundesliga,0.002223735897222822
position_group_DEF,0.0021455244227855737
position_group_ATT,0.0017019066596372198
league_Serie A,0.0007441188384481597
position_group_GK,0.00039995436219864055
