import time: self [us] | cumulative | imported package
import time:      3560 |       3560 |                   numpy.linalg._umath_linalg
import time:      3688 |      27564 |                 numpy.linalg._linalg
import time:      1705 |      29268 |               numpy.linalg
import time:      1540 |      30808 |             numpy.matrixlib.defmatrix
import time:      2123 |      32930 |           numpy.matrixlib
import time:      1392 |       1392 |             numpy.lib._histograms_impl
import time:      2653 |       4044 |           numpy.lib._function_base_impl
import time:      1701 |      38675 |         numpy.lib._index_tricks_impl
import time:      2868 |      44477 |       numpy.lib._arraypad_impl
import time:      1734 |       1734 |       numpy.lib._arraysetops_impl
import time:       831 |        831 |       numpy.lib._arrayterator_impl
import time:      1841 |       1841 |       numpy.lib._nanfunctions_impl
import time:       700 |        700 |           _weakrefset
import time:      1547 |       2247 |         weakref
import time:      2580 |       2580 |               platform
import time:      1684 |       4264 |             numpy.lib._utils_impl
import time:      1328 |       5591 |           numpy.lib._format_impl
import time:      1192 |       6783 |         numpy.lib.format
import time:      1274 |       1274 |         numpy.lib._datasource
import time:      1488 |       1488 |         numpy.lib._iotools
import time:      2013 |      13803 |       numpy.lib._npyio_impl
import time:      1235 |       1235 |           numpy.lib._ufunclike_impl
import time:      1348 |       2583 |         numpy.lib._type_check_impl
import time:      1501 |       4083 |       numpy.lib._polynomial_impl
import time:      1309 |       1309 |       numpy.lib._shape_base_impl
import time:      1262 |       1262 |       numpy.lib._version
import time:       791 |        791 |       numpy.lib.introspect
import time:      1378 |       1378 |       numpy.lib.mixins
import time:       788 |        788 |       numpy.lib.npyio
import time:      1269 |       1269 |         numpy.lib._scimath_impl
import time:       700 |       1969 |       numpy.lib.scimath
import time:      1316 |       1316 |       numpy.lib.stride_tricks
import time:      2785 |      78362 |     numpy.lib
import time:      1517 |       1517 |     numpy._array_api_info
import time:      6906 |     236549 |   numpy
import time:      1781 |       1781 |     __future__
import time:      1220 |       1220 |       pytz.exceptions
import time:      1217 |       1217 |         threading
import time:      1404 |       2621 |       pytz.lazy
import time:       353 |        353 |           _bisect
import time:       991 |       1344 |         bisect
import time:      1620 |       2963 |       pytz.tzinfo
import time:      1033 |       1033 |       pytz.tzfile
import time:      2798 |      10634 |     pytz
import time:      1142 |       1142 |       dateutil._version
import time:      2576 |       3717 |     dateutil
import time:      2302 |       2302 |         sysconfig
import time:      1556 |       3857 |       pandas.compat._constants
import time:       647 |        647 |           _compression
import time:       942 |        942 |           _bz2
import time:       798 |       2386 |         bz2
import time:       962 |        962 |           _lzma
import time:       797 |       1758 |         lzma
import time:       907 |       5050 |       pandas.compat.compressors
import time:      1877 |       1877 |           pandas.util
import time:      4522 |       6399 |         pandas.util.version
import time:      2082 |       8480 |       pandas.compat.numpy
import time:      3304 |       3304 |           pyarrow._generated_version
import time:       125 |        125 |             zlib
import time:      4465 |       4465 |               _decimal
import time:      1909 |       6373 |             decimal
import time:       520 |        520 |                         org
import time:        31 |        551 |                       org.python
import time:        22 |        572 |                     org.python.core
import time:      1295 |       1867 |                   copy
import time:      2909 |       4776 |                 dataclasses
import time:      1287 |       1287 |                   traceback
import time:        92 |         92 |                     _string
import time:      2012 |       2104 |                   string
import time:        49 |         49 |                   atexit
import time:      3423 |       6862 |                 logging
import time:      1834 |       1834 |                   _uuid
import time:      1848 |       3681 |                 uuid
import time:      3430 |      18748 |               cloudpickle.cloudpickle
import time:      2297 |      21044 |             cloudpickle
import time:      3277 |       3277 |             signal
import time:        88 |         88 |               gc
import time:      2208 |       2208 |                 _socket
import time:      1345 |       1345 |                   select
import time:      1665 |       3009 |                 selectors
import time:      3072 |       8288 |               socket
import time:      5236 |      13611 |             pyarrow.util
import time:      1463 |       1463 |               _queue
import time:      2144 |       3607 |             queue
import time:     92318 |     140353 |           pyarrow.lib
import time:      1169 |       1169 |           pyarrow.ipc
import time:      1548 |       1548 |           pyarrow.types
import time:      2692 |     149064 |         pyarrow
import time:      1172 |     150236 |       pandas.compat.pyarrow
import time:      1778 |     169400 |     pandas.compat
import time:      4402 |       4402 |                 numpy.random._common
import time:       110 |        110 |                     binascii
import time:      2725 |       2835 |                   base64
import time:     32316 |      32316 |                     _hashlib
import time:       267 |        267 |                       _blake2
import time:      3645 |       3912 |                     hashlib
import time:      2097 |      38324 |                   hmac
import time:        53 |         53 |                     _random
import time:        34 |         34 |                     _sha512
import time:      2676 |       2762 |                   random
import time:      2441 |      46360 |                 secrets
import time:      5288 |      56050 |               numpy.random.bit_generator
import time:      3498 |      59548 |             numpy.random._bounded_integers
import time:      1624 |       1624 |                 numpy.random._pcg64
import time:      6832 |       8456 |               numpy.random._generator
import time:      1704 |       1704 |               numpy.random._mt19937
import time:      1129 |       1129 |               numpy.random._philox
import time:      1081 |       1081 |               numpy.random._sfc64
import time:      6680 |       6680 |               numpy.random.mtrand
import time:      1747 |      20793 |             numpy.random._pickle
import time:      2220 |      82560 |           numpy.random
import time:      4809 |      87369 |         pandas._typing
import time:      1925 |       1925 |         pandas.util._exceptions
import time:      2338 |      91631 |       pandas._config.config
import time:      1014 |       1014 |       pandas._config.dates
import time:        78 |         78 |           _locale
import time:      1333 |       1411 |         locale
import time:       978 |       2388 |       pandas._config.display
import time:      1987 |      97018 |     pandas._config
import time:      1749 |       1749 |       pandas.core
import time:      2511 |       4260 |     pandas.core.config_init
import time:      3844 |       3844 |         pandas._libs.pandas_parser
import time:      2897 |       2897 |         pandas._libs.pandas_datetime
import time:      1921 |       1921 |                     pandas._libs.tslibs.ccalendar
import time:      4631 |       4631 |                     pandas._libs.tslibs.np_datetime
import time:      5297 |      11849 |                   pandas._libs.tslibs.dtypes
import time:      2711 |       2711 |                     pandas._libs.tslibs.base
import time:      2316 |       2316 |                         pandas._libs.tslibs.nattype
import time:      1072 |       1072 |                             pandas.compat._optional
import time:      1171 |       1171 |                               zoneinfo._tzpath
import time:       988 |        988 |                               zoneinfo._common
import time:      1730 |       1730 |                               _zoneinfo
import time:      2130 |       6018 |                             zoneinfo
import time:      1305 |       1305 |                                     importlib._abc
import time:       258 |       1563 |                                   importlib.util
import time:      2900 |       4462 |                                 six
import time:        75 |         75 |                                 six.moves
import time:     35999 |      35999 |                                 dateutil.tz._common
import time:      1457 |       1457 |                                 dateutil.tz._factories
import time:      2103 |       2103 |                                   ctypes.wintypes
import time:      2201 |       4304 |                                 dateutil.tz.win
import time:      3877 |      50170 |                               dateutil.tz.tz
import time:      1952 |      52122 |                             dateutil.tz
import time:      9148 |      68358 |                           pandas._libs.tslibs.timezones
import time:      3638 |       3638 |                               calendar
import time:      2696 |       6333 |                             _strptime
import time:       867 |        867 |                                 fcntl
import time:        81 |         81 |                                 msvcrt
import time:      3743 |       4690 |                               subprocess
import time:      2484 |       7174 |                             pandas._config.localization
import time:      3388 |      16894 |                           pandas._libs.tslibs.fields
import time:      7813 |      93065 |                         pandas._libs.tslibs.timedeltas
import time:     11944 |      11944 |                         pandas._libs.tslibs.tzconversion
import time:      7490 |     114813 |                       pandas._libs.tslibs.timestamps
import time:      2071 |       2071 |                       pandas._libs.properties
import time:     11763 |     128646 |                     pandas._libs.tslibs.offsets
import time:      1637 |       1637 |                           dateutil._common
import time:      4103 |       5739 |                         dateutil.parser._parser
import time:      1230 |       1230 |                         dateutil.parser.isoparser
import time:      1957 |       8926 |                       dateutil.parser
import time:      3935 |       3935 |                       pandas._libs.tslibs.strptime
import time:      4066 |      16926 |                     pandas._libs.tslibs.parsing
