path,suffix,rows,columns,read_seconds,memory_mb,error
reports\sprint_13a1\xgboost\predictions\tuned_xgboost_predictions.csv,.csv,811.0,79.0,0.023236,1.398,
reports\player_role_intelligence_v2.csv,.csv,4298.0,15.0,0.023033,2.021,
reports\sprint_13b\productive\predictions\04_ml_test_predictions_v13b.parquet,.parquet,6208.0,17.0,0.023032,3.791,
data\processed\player_season_modeling_v13a.parquet,.parquet,5527.0,54.0,0.022901,7.834,
data\processed\player_role_features.parquet,.parquet,22929.0,26.0,0.022765,9.825,
data\processed\fbref_features.parquet,.parquet,27547.0,25.0,0.022616,14.4,
data\processed\current_player_snapshot_homonyms.csv,.csv,827.0,24.0,0.02175,0.945,
reports\business\roi_simulation.csv,.csv,1138.0,24.0,0.021518,0.734,
reports\sprint_13b\ml\advanced_features_contribution_ranking_v13b.csv,.csv,3.0,7.0,0.021418,0.0,
reports\player_role_intelligence.csv,.csv,4298.0,12.0,0.021363,1.655,
data\processed\player_position_taxonomy.parquet,.parquet,12848.0,9.0,0.021349,6.438,
reports\assets\club_crest_download_results.csv,.csv,32.0,6.0,0.021319,0.017,
data\processed\player_season_modeling_growth_v13a.parquet,.parquet,5527.0,64.0,0.020832,8.256,
data\processed\player_season_modeling_indices_v13a.parquet,.parquet,5527.0,74.0,0.020785,8.678,
data\processed\player_season_modeling_indices.parquet,.parquet,3916.0,74.0,0.020646,6.138,
data\processed\player_position_taxonomy_v2b.parquet,.parquet,12848.0,5.0,0.020527,3.333,
reports\tables\02_baseline_vif_table.csv,.csv,17.0,2.0,0.020455,0.001,
data\processed\player_season_features.parquet,.parquet,3.0,40.0,0.020448,0.004,
reports\sprint_13b\productive\03_econometric_test_predictions.parquet,.parquet,776.0,89.0,0.020356,1.458,
data\processed\player_position_taxonomy_v2c.parquet,.parquet,12848.0,5.0,0.020276,3.335,
data\processed\player_role_assignments_with_distance.parquet,.parquet,4298.0,29.0,0.019397,2.196,
reports\data_quality\current_snapshot_apply\global_prospect_universe_current_snapshot_apply_audit.csv,.csv,1.0,10.0,0.019378,0.001,
reports\sprint_13b\productive\03_overvalued_ranking.csv,.csv,50.0,23.0,0.019339,0.03,
data\processed\player_role_dss.parquet,.parquet,4298.0,20.0,0.019319,4.115,
reports\assets\missing_club_crests.csv,.csv,746.0,8.0,0.019047,0.421,
data\processed\player_season_modeling_growth.parquet,.parquet,3916.0,64.0,0.018848,5.839,
data\processed\player_season_modeling.parquet,.parquet,3916.0,54.0,0.018789,5.541,
reports\sprint_13b\econometric\03_econometric_test_predictions.parquet,.parquet,776.0,89.0,0.018605,1.458,
reports\sprint_13a1\ml\04_ml_test_predictions.csv,.csv,776.0,23.0,0.018361,0.468,
reports\tables\02_baseline_test_predictions.parquet,.parquet,552.0,64.0,0.01818,0.824,
