path,suffix,rows,columns,read_seconds,memory_mb,error
reports\sprint_13b\ml\advanced_features_coverage_v13b.csv,.csv,3.0,3.0,0.007555,0.0,
reports\sprint_13a1\ml\tables\04_model_comparison_test_v13a1.csv,.csv,8.0,5.0,0.007549,0.001,
reports\roles\position_taxonomy_distribution_v2b.csv,.csv,8.0,3.0,0.00753,0.001,
reports\tm3_contract_audit\contract_text_mentions.csv,.csv,44.0,3.0,0.007469,0.007,
reports\tables\model_comparison.csv,.csv,4.0,4.0,0.006994,0.0,
reports\tables\ml_model_metrics.csv,.csv,3.0,4.0,0.006926,0.0,
reports\tm3_contract_audit\contract_column_candidates.csv,.csv,4.0,5.0,0.006866,0.002,
reports\tables\ml_tuned_model_comparison.csv,.csv,4.0,4.0,0.006499,0.0,
reports\sprint_13b\productive\ols_model_comparison.csv,.csv,3.0,15.0,0.003542,0.001,
reports\roles\role_tactical_profiles.csv,.csv,9.0,12.0,0.003197,0.002,
reports\sprint_13b\productive\vif_model_b.csv,.csv,20.0,2.0,0.002986,0.002,
reports\sprint_13b\productive\ml_success_criteria_v13b.csv,.csv,5.0,3.0,0.002885,0.0,
reports\sprint_13a1\ml\tables\04_ml_inefficiency_by_league_v13a1.csv,.csv,11.0,9.0,0.002859,0.002,
reports\sprint_13b\productive\03_advanced_feature_coefficients.csv,.csv,3.0,6.0,0.002816,0.0,
reports\sprint_13a1\ml\tables\04_ml_permutation_importance_v13a1.csv,.csv,8.0,3.0,0.002805,0.001,
reports\sprint_13b\productive\feature_importance_rf_v13b.csv,.csv,11.0,7.0,0.002738,0.003,
reports\sprint_13b\productive\03_econometric_model_coefficients.csv,.csv,21.0,6.0,0.002573,0.002,
reports\sprint_13b\productive\advanced_features_contribution_ranking_v13b.csv,.csv,3.0,7.0,0.002428,0.0,
reports\sprint_13b\productive\03_strict_matching_metrics.csv,.csv,1.0,6.0,0.002378,0.0,
reports\sprint_13a1\ml\tables\04_ml_inefficiency_by_position_v13a1.csv,.csv,4.0,9.0,0.002134,0.001,
reports\sprint_13b\productive\03_main_coefficients_advanced_features.csv,.csv,7.0,6.0,0.00205,0.001,
reports\sprint_13b\productive\feature_importance_all_aggregated_v13b.csv,.csv,33.0,7.0,0.002049,0.008,
reports\sprint_13b\productive\advanced_features_performance_summary.csv,.csv,11.0,4.0,0.002031,0.002,
reports\sprint_13b\productive\advanced_features_coverage_v13b.csv,.csv,3.0,3.0,0.00197,0.0,
reports\sprint_13b\productive\feature_importance_lightgbm_v13b.csv,.csv,11.0,7.0,0.001884,0.003,
reports\sprint_13b\productive\advanced_features_importance_summary_v13b.csv,.csv,9.0,6.0,0.001869,0.002,
reports\sprint_13b\productive\03_inefficiency_by_league_test.csv,.csv,11.0,9.0,0.001858,0.002,
reports\sprint_13b\productive\03_econometric_model_metrics.csv,.csv,6.0,6.0,0.001848,0.001,
reports\sprint_13b\productive\feature_importance_all_transformed_v13b.csv,.csv,72.0,6.0,0.001809,0.021,
reports\sprint_13b\productive\feature_importance_xgboost_v13b.csv,.csv,11.0,7.0,0.001804,0.003,
reports\sprint_13b\productive\correlation_advanced_features.csv,.csv,3.0,4.0,0.001697,0.0,
reports\sprint_13b\productive\feature_sets_v13b.csv,.csv,2.0,5.0,0.001687,0.001,
reports\data_quality\tm41_contract_audit.csv,.csv,,,,,EmptyDataError('No columns to parse from file')
