import time: self [us] | cumulative | imported package
import time:       655 |        655 |               email._parseaddr
import time:       472 |        472 |                 email.base64mime
import time:       552 |        552 |                 email.quoprimime
import time:       726 |        726 |                 email.errors
import time:       477 |        477 |                 email.encoders
import time:       752 |       2977 |               email.charset
import time:       810 |       4441 |             email.utils
import time:       960 |        960 |               email.header
import time:       640 |       1600 |             email._policybase
import time:       622 |        622 |             email._encoded_words
import time:       486 |        486 |             email.iterators
import time:      1125 |       9009 |           email.message
import time:       496 |        496 |             importlib.metadata._functools
import time:       520 |       1016 |           importlib.metadata._text
import time:       901 |      10924 |         importlib.metadata._adapters
import time:       934 |        934 |         importlib.metadata._meta
import time:       785 |        785 |         importlib.metadata._collections
import time:       539 |        539 |         importlib.metadata._itertools
import time:      1092 |       1092 |                 importlib.resources.abc
import time:       772 |        772 |                 importlib.resources._adapters
import time:       977 |       2840 |               importlib.resources._common
import time:       873 |        873 |               importlib.resources._legacy
import time:       701 |       4413 |             importlib.resources
import time:        22 |       4435 |           importlib.resources.abc
import time:       890 |       5325 |         importlib.abc
import time:      1663 |      21216 |       importlib.metadata
import time:       893 |        893 |         email.feedparser
import time:       614 |       1507 |       email.parser
import time:      4527 |      30421 |     plotly
import time:       907 |      31327 |   plotly.graph_objects
import time:       760 |        760 |     streamlit.logger
import time:       665 |        665 |           blinker._utilities
import time:       986 |       1651 |         blinker.base
import time:      1270 |       2921 |       blinker
import time:       557 |        557 |           urllib.response
import time:       580 |       1137 |         urllib.error
import time:      2713 |       2713 |             http
import time:      2130 |       2130 |               _ssl
import time:      3645 |       5775 |             ssl
import time:      2341 |      10827 |           http.client
import time:       873 |        873 |           nturl2path
import time:      2177 |      13876 |         urllib.request
import time:     21837 |      21837 |           streamlit.env_util
import time:       750 |        750 |                 streamlit.proto
import time:       946 |        946 |                   google
import time:       737 |       1683 |                 google.protobuf
import time:       960 |        960 |                   google.protobuf.internal
import time:       345 |        345 |                     google.protobuf.internal._api_implementation
import time:      1906 |       1906 |                     google.protobuf.message
import time:      1688 |       1688 |                     google.protobuf.internal.enum_type_wrapper
import time:       358 |        358 |                     google.protobuf.enable_deterministic_proto_serialization
import time:      6149 |      10444 |                   google.protobuf.internal.api_implementation
import time:      2113 |      13516 |                 google.protobuf.descriptor
import time:       765 |        765 |                   google.protobuf.descriptor_database
import time:      1195 |       1195 |                   google.protobuf.text_encoding
import time:       913 |        913 |                   google.protobuf.internal.python_edition_defaults
import time:      1656 |       1656 |                       encodings.raw_unicode_escape
import time:      1558 |       1558 |                       encodings.unicode_escape
import time:      1590 |       1590 |                         google.protobuf.internal.containers
import time:       802 |        802 |                           google.protobuf.internal.wire_format
import time:       777 |       1578 |                         google.protobuf.internal.encoder
import time:      1220 |       4387 |                       google.protobuf.internal.decoder
import time:       721 |        721 |                       google.protobuf.internal.type_checkers
import time:       478 |        478 |                       google.protobuf.unknown_fields
import time:      2362 |      11161 |                     google.protobuf.text_format
import time:       570 |        570 |                     google.protobuf.internal.extension_dict
import time:       627 |        627 |                     google.protobuf.internal.message_listener
import time:       642 |        642 |                       google.protobuf.internal.field_mask
import time:      1006 |       1647 |                     google.protobuf.internal.well_known_types
import time:      1408 |      15411 |                   google.protobuf.internal.python_message
import time:      1022 |      19304 |                 google.protobuf.descriptor_pool
import time:       543 |        543 |                     google.protobuf.pyext
import time:      1176 |       1176 |                     google.protobuf.pyext.cpp_message
import time:       540 |       2259 |                   google.protobuf.message_factory
import time:       585 |       2843 |                 google.protobuf.symbol_database
import time:       615 |        615 |                   google.protobuf.reflection
import time:       653 |       1268 |                 google.protobuf.internal.builder
import time:      1205 |      40564 |               streamlit.proto.RootContainer_pb2
import time:       699 |      41263 |             streamlit.util
import time:      1386 |      42648 |           streamlit.errors
import time:       688 |      65173 |         streamlit.cli_util
import time:       796 |        796 |         streamlit.url_util
import time:      1299 |       1299 |             fractions
import time:       866 |       2165 |           streamlit.string_util
import time:       705 |       2870 |         streamlit.config_option
import time:       767 |        767 |             streamlit.elements
import time:       845 |       1611 |           streamlit.elements.lib
import time:       813 |       2424 |         streamlit.elements.lib.color_util
import time:       913 |      87186 |       streamlit.config_util
import time:       721 |        721 |       streamlit.development
import time:      1041 |       1041 |       streamlit.file_util
import time:      3135 |      95002 |     streamlit.config
import time:      1849 |       1849 |     streamlit.version
import time:       709 |        709 |     streamlit.delta_generator_singletons
import time:       608 |        608 |             streamlit.proto.WidthConfig_pb2
import time:       538 |       1145 |           streamlit.proto.Alert_pb2
import time:       493 |        493 |           streamlit.proto.Audio_pb2
import time:       716 |        716 |             streamlit.proto.LabelVisibility_pb2
import time:       568 |       1283 |           streamlit.proto.AudioInput_pb2
import time:       624 |        624 |           streamlit.proto.Balloons_pb2
import time:      1222 |       1222 |             streamlit.proto.ArrowData_pb2
import time:       807 |       2029 |           streamlit.proto.BidiComponent_pb2
import time:      1432 |       1432 |             streamlit.proto.ButtonLikeIconPosition_pb2
import time:      1256 |       2688 |           streamlit.proto.Button_pb2
import time:      2590 |       2590 |           streamlit.proto.ButtonGroup_pb2
import time:       932 |        932 |           streamlit.proto.CameraInput_pb2
import time:      1108 |       1108 |           streamlit.proto.ChatInput_pb2
import time:      1046 |       1046 |           streamlit.proto.Checkbox_pb2
import time:      1193 |       1193 |           streamlit.proto.Code_pb2
import time:      1054 |       1054 |           streamlit.proto.ColorPicker_pb2
import time:      1114 |       1114 |           streamlit.proto.Components_pb2
import time:       701 |        701 |           streamlit.proto.Dataframe_pb2
import time:       683 |        683 |           streamlit.proto.DateInput_pb2
import time:       511 |        511 |           streamlit.proto.DateTimeInput_pb2
import time:       632 |        632 |           streamlit.proto.DeckGlJsonChart_pb2
import time:       479 |        479 |           streamlit.proto.DownloadButton_pb2
import time:       480 |        480 |           streamlit.proto.Empty_pb2
import time:      1186 |       1186 |           streamlit.proto.Exception_pb2
import time:      1308 |       1308 |           streamlit.proto.Favicon_pb2
import time:      1100 |       1100 |           streamlit.proto.Feedback_pb2
import time:      1256 |       1256 |           streamlit.proto.FileUploader_pb2
import time:       962 |        962 |           streamlit.proto.GraphVizChart_pb2
import time:       588 |        588 |           streamlit.proto.Heading_pb2
import time:       581 |        581 |           streamlit.proto.HeightConfig_pb2
import time:      1022 |       1022 |           streamlit.proto.Help_pb2
import time:       968 |        968 |           streamlit.proto.Html_pb2
import time:       745 |        745 |           streamlit.proto.IFrame_pb2
import time:       511 |        511 |           streamlit.proto.Image_pb2
import time:       839 |        839 |           streamlit.proto.Json_pb2
import time:       783 |        783 |           streamlit.proto.LinkButton_pb2
import time:       584 |        584 |           streamlit.proto.Markdown_pb2
import time:       503 |        503 |           streamlit.proto.MenuButton_pb2
import time:       484 |        484 |           streamlit.proto.Metric_pb2
import time:       543 |        543 |             streamlit.proto.SelectWidgetFilterMode_pb2
import time:       524 |       1066 |           streamlit.proto.MultiSelect_pb2
import time:       552 |        552 |           streamlit.proto.NumberInput_pb2
import time:       626 |        626 |           streamlit.proto.PageLink_pb2
import time:       490 |        490 |           streamlit.proto.PlotlyChart_pb2
import time:       670 |        670 |           streamlit.proto.Progress_pb2
import time:       575 |        575 |           streamlit.proto.Radio_pb2
import time:       516 |        516 |           streamlit.proto.Selectbox_pb2
import time:       484 |        484 |           streamlit.proto.Skeleton_pb2
import time:       470 |        470 |           streamlit.proto.Slider_pb2
import time:       455 |        455 |           streamlit.proto.Snow_pb2
import time:       455 |        455 |           streamlit.proto.Space_pb2
import time:       570 |        570 |           streamlit.proto.Spinner_pb2
import time:       616 |        616 |           streamlit.proto.Table_pb2
import time:       433 |        433 |           streamlit.proto.Text_pb2
import time:       520 |        520 |           streamlit.proto.TextAlignmentConfig_pb2
import time:       502 |        502 |           streamlit.proto.TextArea_pb2
import time:       597 |        597 |           streamlit.proto.TextInput_pb2
import time:       565 |        565 |           streamlit.proto.TimeInput_pb2
import time:       559 |        559 |           streamlit.proto.Toast_pb2
import time:       545 |        545 |             streamlit.proto.ArrowNamedDataSet_pb2
import time:       575 |       1120 |           streamlit.proto.VegaLiteChart_pb2
import time:       558 |        558 |           streamlit.proto.Video_pb2
import time:      2178 |      48757 |         streamlit.proto.Element_pb2
import time:       650 |        650 |                       concurrent
import time:      1672 |       1672 |                       concurrent.futures._base
import time:       748 |       3069 |                     concurrent.futures
import time:       739 |        739 |                     asyncio.constants
import time:       578 |        578 |                     asyncio.coroutines
import time:       715 |        715 |                       asyncio.format_helpers
import time:      1989 |       1989 |                         asyncio.base_futures
import time:      1063 |       1063 |                         asyncio.exceptions
import time:       660 |        660 |                         asyncio.base_tasks
import time:      1456 |       5166 |                       _asyncio
import time:       945 |       6826 |                     asyncio.events
import time:       674 |        674 |                     asyncio.futures
import time:       615 |        615 |                     asyncio.protocols
import time:       552 |        552 |                       asyncio.transports
import time:       496 |        496 |                       asyncio.log
import time:       960 |       2007 |                     asyncio.sslproto
import time:       521 |        521 |                         asyncio.mixins
import time:       766 |        766 |                         asyncio.tasks
import time:       781 |       2067 |                       asyncio.locks
import time:       730 |       2797 |                     asyncio.staggered
import time:       505 |        505 |                     asyncio.trsock
import time:      1390 |      19195 |                   asyncio.base_events
import time:       630 |        630 |                   asyncio.runners
import time:       526 |        526 |                   asyncio.queues
import time:       877 |        877 |                   asyncio.streams
import time:       746 |        746 |                   asyncio.subprocess
import time:       778 |        778 |                   asyncio.taskgroups
import time:       929 |        929 |                   asyncio.timeouts
import time:       618 |        618 |                   asyncio.threads
import time:      1635 |       1635 |                     _overlapped
import time:       783 |        783 |                     asyncio.base_subprocess
import time:       929 |        929 |                     asyncio.proactor_events
import time:       934 |        934 |                     asyncio.selector_events
import time:       613 |        613 |                     asyncio.windows_utils
import time:       998 |       5888 |                   asyncio.windows_events
import time:       927 |      31109 |                 asyncio
import time:       519 |        519 |                     streamlit.components
import time:       761 |       1280 |                   streamlit.components.lib
import time:       678 |        678 |                     streamlit.components.types
import time:       738 |       1416 |                   streamlit.components.types.base_component_registry
import time:       918 |       3613 |                 streamlit.components.lib.local_component_registry
import time:       952 |        952 |                     streamlit.deprecation_util
import time:       480 |        480 |                         streamlit.path_security
import time:       597 |       1077 |                       streamlit.components.v2.component_path_utils
import time:      1908 |       1908 |                       streamlit.components.v2.component_registry
import time:       747 |       3731 |                     streamlit.components.v2.component_definition_resolver
import time:       679 |        679 |                     streamlit.components.v2.get_bidi_component_manager
import time:       730 |       6091 |                   streamlit.components.v2
import time:       697 |        697 |                   streamlit.components.v2.component_file_watcher
import time:       657 |        657 |                   streamlit.components.v2.component_manifest_handler
import time:      1124 |       8567 |                 streamlit.components.v2.component_manager
import time:       574 |        574 |                   streamlit.proto.AuthRedirect_pb2
import time:       592 |        592 |                   streamlit.proto.AutoRerun_pb2
import time:       636 |        636 |                   streamlit.proto.Common_pb2
import time:       477 |        477 |                       streamlit.proto.GapSize_pb2
import time:       711 |       1187 |                     streamlit.proto.Block_pb2
import time:       528 |        528 |                     streamlit.proto.Transient_pb2
import time:       535 |       2250 |                   streamlit.proto.Delta_pb2
import time:       666 |        666 |                   streamlit.proto.GitInfo_pb2
import time:       587 |        587 |                   streamlit.proto.Logo_pb2
import time:       474 |        474 |                     streamlit.proto.AppPage_pb2
import time:       514 |        988 |                   streamlit.proto.Navigation_pb2
import time:       703 |        703 |                     streamlit.proto.SessionStatus_pb2
import time:       860 |       1563 |                   streamlit.proto.NewSession_pb2
import time:       615 |        615 |                   streamlit.proto.PageConfig_pb2
import time:       499 |        499 |                   streamlit.proto.PageInfo_pb2
import time:       480 |        480 |                   streamlit.proto.PageNotFound_pb2
import time:       501 |        501 |                   streamlit.proto.PageProfile_pb2
import time:       451 |        451 |                   streamlit.proto.ParentMessage_pb2
import time:       439 |        439 |                   streamlit.proto.SessionEvent_pb2
import time:       903 |      11737 |                 streamlit.proto.ForwardMsg_pb2
import time:      1386 |       1386 |                   google.protobuf.json_format
import time:      1207 |       1207 |                     streamlit.elements.lib.layout_utils
import time:      1701 |       1701 |                       streamlit.type_util
import time:       538 |        538 |                         streamlit.runtime.scriptrunner_utils
import time:       558 |        558 |                           streamlit.proto.WidgetStates_pb2
import time:      2334 |       2892 |                         streamlit.runtime.scriptrunner_utils.script_requests
import time:       687 |       4115 |                       streamlit.runtime.scriptrunner_utils.exceptions
import time:       571 |        571 |                         streamlit.runtime.forward_msg_cache
import time:      2172 |       2742 |                       streamlit.runtime.scriptrunner_utils.script_run_context
import time:      1495 |      10051 |                     streamlit.runtime.metrics_util
import time:       888 |      12145 |                   streamlit.elements.exception
import time:       795 |        795 |                   streamlit.proto.ClientState_pb2
import time:      2929 |       2929 |                       typing_extensions
import time:       557 |        557 |                         streamlit.runtime.caching.cache_type
import time:       776 |       1333 |                       streamlit.runtime.caching.cache_errors
import time:      1602 |       1602 |                         streamlit.dataframe_util
import time:      2594 |       2594 |                         streamlit.runtime.caching.cached_message_replay
import time:      1079 |       1079 |                             streamlit.runtime.stats
import time:      1005 |       2084 |                           streamlit.runtime.uploaded_file_manager
import time:       987 |       3071 |                         streamlit.runtime.caching.hashing
import time:      1011 |       8277 |                       streamlit.runtime.caching.cache_utils
import time:      1261 |       1261 |                         streamlit.runtime.caching.storage.cache_storage_protocol
import time:       745 |       2005 |                       streamlit.runtime.caching.storage
import time:       730 |        730 |                             cachetools.keys
import time:      1601 |       2331 |                           cachetools
import time:       824 |       3155 |                         streamlit.runtime.caching.storage.in_memory_cache_storage_wrapper
import time:      1126 |       4281 |                       streamlit.runtime.caching.storage.dummy_cache_storage
import time:       690 |        690 |                       streamlit.time_util
import time:      2022 |      21534 |                     streamlit.runtime.caching.cache_data_api
import time:       913 |        913 |                       streamlit.runtime.caching.ttl_cleanup_cache
import time:      2059 |       2971 |                     streamlit.runtime.caching.cache_resource_api
import time:      1104 |       1104 |                     streamlit.runtime.caching.legacy_cache_api
import time:       821 |      26430 |                   streamlit.runtime.caching
import time:       985 |        985 |                   streamlit.runtime.forward_msg_queue
import time:       823 |        823 |                     streamlit.error_util
import time:      1384 |       2206 |                   streamlit.runtime.fragment
import time:      1504 |       1504 |                   streamlit.runtime.pages_manager
import time:       847 |        847 |                       timeit
import time:      1099 |       1099 |                       streamlit.runtime.scriptrunner.exec_code
import time:       686 |        686 |                         streamlit.runtime.scriptrunner.magic
import time:       910 |        910 |                         streamlit.source_util
import time:      1508 |       3104 |                       streamlit.runtime.scriptrunner.script_cache
import time:      3765 |       3765 |                         streamlit.runtime.state.common
import time:       911 |        911 |                               streamlit.elements.lib.form_utils
import time:      1051 |       1961 |                             streamlit.elements.lib.utils
import time:       982 |        982 |                             streamlit.runtime.state.safe_session_state
import time:       993 |        993 |                               streamlit.runtime.state.presentation
import time:      1568 |       1568 |                               streamlit.runtime.state.query_params
import time:      2999 |       5559 |                             streamlit.runtime.state.session_state
import time:      1047 |       9547 |                           streamlit.runtime.state.session_state_proxy
import time:      1007 |      10553 |                         streamlit.runtime.state.query_params_proxy
import time:       676 |        676 |                         streamlit.runtime.state.widgets
import time:      2111 |      17104 |                       streamlit.runtime.state
import time:      1708 |      23859 |                     streamlit.runtime.scriptrunner.script_runner
import time:       594 |      24453 |                   streamlit.runtime.scriptrunner
import time:       605 |        605 |                           streamlit.watcher.folder_black_list
import time:       515 |        515 |                           streamlit.watcher.path_watcher
import time:      1010 |       2129 |                         streamlit.watcher.local_sources_watcher
import time:       518 |       2647 |                       streamlit.watcher
import time:        23 |       2670 |                     streamlit.watcher.path_watcher
import time:      1366 |       4035 |                   streamlit.runtime.secrets
import time:       911 |        911 |                   streamlit.runtime.theme_util
import time:      1968 |      76815 |                 streamlit.runtime.app_session
import time:       792 |        792 |                 streamlit.runtime.caching.storage.local_disk_cache_storage
import time:       845 |        845 |                   streamlit.runtime.download_data_util
import time:       719 |        719 |                   streamlit.runtime.media_file_storage
import time:      1458 |       3022 |                 streamlit.runtime.media_file_manager
import time:      1157 |       1157 |                   streamlit.runtime.session_manager
import time:       760 |       1917 |                 streamlit.runtime.memory_session_storage
import time:      1141 |       1141 |                 streamlit.runtime.script_data
import time:       899 |        899 |                 streamlit.runtime.websocket_session_manager
import time:      2950 |     142559 |               streamlit.runtime.runtime
import time:       616 |     143175 |             streamlit.runtime
import time:        18 |     143192 |           streamlit.runtime.scriptrunner_utils
import time:        19 |     143210 |         streamlit.runtime.scriptrunner_utils.script_run_context
import time:      1671 |     193638 |       streamlit.cursor
import time:       552 |        552 |           streamlit.components.v2.bidi_component.constants
import time:      1426 |       1426 |           streamlit.components.v2.bidi_component.serialization
import time:       698 |        698 |           streamlit.components.v2.bidi_component.state
import time:       797 |        797 |           streamlit.components.v2.presentation
import time:       768 |        768 |           streamlit.elements.lib.policies
import time:      1079 |       5318 |         streamlit.components.v2.bidi_component.main
import time:       861 |       6178 |       streamlit.components.v2.bidi_component
import time:       858 |        858 |       streamlit.elements.alert
import time:      3980 |       3980 |           streamlit.elements.lib.column_types
import time:       842 |        842 |           streamlit.elements.lib.dicttools
import time:      1286 |       6107 |         streamlit.elements.lib.column_config_utils
import time:       799 |        799 |         streamlit.elements.lib.pandas_styler_utils
import time:      2390 |       9294 |       streamlit.elements.arrow
import time:       740 |        740 |       streamlit.elements.balloons
import time:       823 |        823 |       streamlit.elements.bokeh_chart
import time:      1288 |       1288 |       streamlit.elements.code
import time:      1567 |       1567 |       streamlit.elements.deck_gl_json_chart
import time:       564 |        564 |       streamlit.elements.empty
import time:       530 |        530 |           streamlit.elements.widgets
import time:       898 |        898 |           streamlit.elements.lib.shortcut_utils
import time:       600 |        600 |             streamlit.navigation
import time:       932 |       1532 |           streamlit.navigation.page
import time:      2272 |       5231 |         streamlit.elements.widgets.button
import time:       681 |       5912 |       streamlit.elements.form
import time:       863 |        863 |       streamlit.elements.graphviz_chart
import time:      1032 |       1032 |       streamlit.elements.heading
import time:       906 |        906 |       streamlit.elements.help
import time:       774 |        774 |       streamlit.elements.html
import time:       774 |        774 |         mimetypes
import time:       696 |       1470 |       streamlit.elements.iframe
import time:       945 |        945 |         streamlit.elements.lib.image_utils
import time:       654 |       1598 |       streamlit.elements.image
import time:       680 |        680 |           streamlit.auth_util
import time:       891 |       1571 |         streamlit.user_info
import time:       556 |       2126 |       streamlit.elements.json
import time:      1486 |       1486 |       streamlit.elements.layouts
import time:       692 |        692 |       streamlit.elements.map
import time:       755 |        755 |       streamlit.elements.markdown
import time:       473 |        473 |         streamlit.elements.lib.subtitle_utils
import time:       705 |       1178 |       streamlit.elements.media
import time:      1107 |       1107 |       streamlit.elements.metric
import time:       586 |        586 |       streamlit.elements.pdf
import time:       719 |        719 |         streamlit.elements.lib.streamlit_plotly_theme
import time:      2165 |       2165 |         plotly.io
import time:       536 |        536 |             _plotly_utils.optional_imports
import time:       640 |        640 |                       narwhals._exceptions
import time:      1242 |       1881 |                     narwhals.dependencies
import time:       715 |        715 |                         narwhals._enum
import time:       574 |        574 |                         narwhals._typing_compat
import time:       625 |        625 |                         narwhals.exceptions
import time:      1968 |       3880 |                       narwhals._utils
import time:      1281 |       5160 |                     narwhals.dtypes
import time:      2922 |       2922 |                       narwhals._expression_parsing
import time:       720 |        720 |                         narwhals.expr_cat
import time:       919 |        919 |                         narwhals.expr_dt
import time:      1113 |       1113 |                         narwhals.expr_list
import time:       785 |        785 |                         narwhals.expr_name
import time:       907 |        907 |                         narwhals.expr_str
import time:       778 |        778 |                         narwhals.expr_struct
import time:      1187 |       1187 |                                 narwhals._compliant.typing
import time:      3130 |       3130 |                                 narwhals._translate
import time:      2082 |       6398 |                               narwhals._compliant.dataframe
import time:       976 |        976 |                                 narwhals._compliant.any_namespace
import time:       791 |        791 |                                 narwhals._compliant.column
import time:      1381 |       1381 |                                 narwhals._compliant.namespace
import time:      2602 |       5747 |                               narwhals._compliant.expr
import time:      1434 |       1434 |                               narwhals._compliant.group_by
import time:      1255 |       1255 |                               narwhals._compliant.selectors
import time:      2035 |       2035 |                               narwhals._compliant.series
import time:       842 |        842 |                               narwhals._compliant.window
import time:       721 |      18430 |                             narwhals._compliant
import time:       695 |      19125 |                           narwhals.plugins
import time:       513 |        513 |                           narwhals._constants
import time:      1020 |       1020 |                           narwhals._native
import time:       873 |      21529 |                         narwhals.translate
import time:      2807 |      29554 |                       narwhals.expr
import time:      1334 |      33809 |                     narwhals.selectors
import time:      1848 |       1848 |                       narwhals._typing
import time:      1025 |       1025 |                       narwhals.functions
import time:       613 |        613 |                       narwhals.schema
import time:       917 |        917 |                           narwhals.typing
import time:       791 |       1707 |                         narwhals.series_cat
import time:       579 |        579 |                         narwhals.series_dt
import time:       507 |        507 |                         narwhals.series_list
import time:       829 |        829 |                         narwhals.series_str
import time:       540 |        540 |                         narwhals.series_struct
import time:      1131 |       5291 |                       narwhals.series
import time:      1807 |      10582 |                     narwhals.dataframe
import time:      1564 |      52995 |                   narwhals
import time:       659 |        659 |                     narwhals.stable.v1.dependencies
import time:      1234 |       1234 |                       narwhals.stable.v1._dtypes
import time:       680 |       1914 |                     narwhals.stable.v1.dtypes
import time:       572 |        572 |                     narwhals.stable.v1.selectors
import time:       750 |        750 |                     narwhals.stable.v1.typing
import time:      1583 |       5476 |                   narwhals.stable.v1
import time:      1774 |       1774 |                     narwhals.stable.v2.dependencies
import time:      1620 |       1620 |                     narwhals.stable.v2.dtypes
import time:       635 |        635 |                     narwhals.stable.v2.selectors
import time:       867 |        867 |                     narwhals.stable.v2.typing
import time:      2613 |       7507 |                   narwhals.stable.v2
import time:       814 |      66791 |                 narwhals.stable
import time:        27 |      66818 |               narwhals.stable.v1
import time:      1110 |       1110 |               PIL._version
import time:      2767 |      70695 |             _plotly_utils.basevalidators
import time:       909 |      72139 |           _plotly_utils.utils
import time:       692 |        692 |           _plotly_utils.exceptions
import time:       562 |        562 |           plotly.optional_imports
import time:       525 |        525 |           plotly.shapeannotation
import time:       941 |        941 |           plotly._subplots
import time:      1780 |      76638 |         plotly.basedatatypes
import time:       803 |        803 |         plotly.validator_cache
import time:    134143 |     214467 |       streamlit.elements.plotly_chart
import time:       793 |        793 |       streamlit.elements.progress
import time:       720 |        720 |       streamlit.elements.pyplot
import time:       528 |        528 |       streamlit.elements.snow
import time:       530 |        530 |       streamlit.elements.space
import time:       533 |        533 |       streamlit.elements.spinner
import time:       591 |        591 |       streamlit.elements.table
import time:       490 |        490 |       streamlit.elements.text
import time:       474 |        474 |       streamlit.elements.toast
import time:      1987 |       1987 |         streamlit.elements.lib.built_in_chart_utils
import time:      1239 |       3226 |       streamlit.elements.vega_charts
import time:       705 |        705 |         streamlit.elements.lib.file_uploader_utils
import time:      2062 |       2062 |         streamlit.elements.widgets.file_uploader
import time:      1254 |       4020 |       streamlit.elements.widgets.audio_input
import time:       916 |        916 |         streamlit.elements.lib.options_selector_utils
import time:      2082 |       2997 |       streamlit.elements.widgets.button_group
import time:       826 |        826 |       streamlit.elements.widgets.camera_input
import time:       548 |        548 |         streamlit.runtime.memory_uploaded_file_manager
import time:      1801 |       2349 |       streamlit.elements.widgets.chat
import time:      1005 |       1005 |       streamlit.elements.widgets.checkbox
import time:       915 |        915 |       streamlit.elements.widgets.color_picker
import time:      1297 |       1297 |       streamlit.elements.widgets.data_editor
import time:       611 |        611 |       streamlit.elements.widgets.feedback
import time:       653 |        653 |       streamlit.elements.widgets.menu_button
import time:       837 |        837 |       streamlit.elements.widgets.multiselect
import time:       547 |        547 |         streamlit.elements.lib.js_number
import time:      1175 |       1721 |       streamlit.elements.widgets.number_input
import time:       795 |        795 |       streamlit.elements.widgets.radio
import time:      1045 |       1045 |       streamlit.elements.widgets.select_slider
import time:       836 |        836 |       streamlit.elements.widgets.selectbox
import time:      4609 |       4609 |       streamlit.elements.widgets.slider
import time:      2445 |       2445 |       streamlit.elements.widgets.text_widgets
import time:      4223 |       4223 |       streamlit.elements.widgets.time_widgets
import time:      1196 |       1196 |       streamlit.elements.write
import time:      2038 |     492185 |     streamlit.delta_generator
import time:       957 |        957 |     streamlit.elements.lib.mutable_status_container
import time:       923 |        923 |     streamlit.elements.lib.dialog
import time:       903 |        903 |     streamlit.elements.lib.mutable_expander_container
import time:       860 |        860 |     streamlit.elements.lib.mutable_tab_container
import time:       843 |        843 |     streamlit.elements.lib.mutable_popover_container
import time:       677 |        677 |     streamlit.elements.bottom
import time:       600 |        600 |     streamlit.elements.dialog_decorator
import time:      1009 |       1009 |         streamlit.connections.base_connection
import time:       736 |        736 |           streamlit.connections.util
import time:       910 |       1646 |         streamlit.connections.snowflake_connection
import time:       783 |        783 |         streamlit.connections.snowpark_connection
import time:       749 |        749 |         streamlit.connections.sql_connection
import time:       941 |       5125 |       streamlit.connections
import time:       887 |       6012 |     streamlit.runtime.connection_factory
import time:      1517 |       1517 |       streamlit.runtime.context_util
import time:      1645 |       3162 |     streamlit.runtime.context
import time:       770 |        770 |     streamlit.column_config
import time:       588 |        588 |       streamlit.commands
import time:       941 |       1528 |     streamlit.commands.echo
import time:       738 |        738 |     streamlit.commands.logo
import time:       750 |        750 |     streamlit.commands.navigation
import time:       779 |        779 |     streamlit.commands.page_config
import time:       655 |        655 |     streamlit.commands.execution_control
import time:      1114 |       1114 |             streamlit.web
import time:      1476 |       1476 |               streamlit.runtime.memory_media_file_storage
import time:       714 |        714 |               streamlit.web.cache_storage_manager_config
import time:       912 |       3101 |             streamlit.web.server.server
import time:       696 |        696 |               streamlit.net_util
import time:       712 |       1407 |             streamlit.web.server.server_util
import time:      1075 |       6695 |           streamlit.web.server
import time:       624 |        624 |             streamlit.web.server.starlette.starlette_app_utils
import time:       863 |        863 |               streamlit.web.server.starlette.starlette_server_config
import time:      1212 |       2075 |             streamlit.web.server.starlette.starlette_auth_routes
import time:      1021 |       1021 |                 starlette
import time:       720 |        720 |                 shlex
import time:       819 |        819 |                         anyio._core
import time:       932 |       1750 |                       anyio._core._contextmanagers
import time:       785 |        785 |                         anyio._core._exceptions
import time:       565 |        565 |                           sniffio._version
import time:       493 |        493 |                           sniffio._impl
import time:       783 |       1840 |                         sniffio
import time:       521 |       3144 |                       anyio._core._eventloop
import time:      1758 |       1758 |                             anyio.abc._eventloop
import time:       607 |        607 |                             anyio.abc._resources
import time:      1046 |       1046 |                               anyio._core._typedattr
import time:      1042 |       1042 |                                 anyio.abc._tasks
import time:      1540 |       2581 |                               anyio.abc._streams
import time:      1196 |       4822 |                             anyio.abc._sockets
import time:       935 |        935 |                             anyio.abc._subprocesses
import time:       767 |        767 |                             anyio.abc._testing
import time:      1756 |       1756 |                               anyio.lowlevel
import time:       840 |        840 |                               anyio._core._tasks
import time:       768 |        768 |                               anyio._core._testing
import time:      3785 |       7147 |                             anyio._core._synchronization
import time:      1322 |       1322 |                             anyio.from_thread
import time:      1911 |      19266 |                           anyio.abc
import time:      1002 |      20268 |                         anyio.to_thread
import time:      1257 |      21524 |                       anyio._core._fileio
import time:      1048 |       1048 |                       anyio._core._resources
import time:       790 |        790 |                       anyio._core._signals
import time:      1911 |       1911 |                           anyio.streams
import time:      2020 |       3931 |                         anyio.streams.stapled
import time:      1620 |       1620 |                         anyio.streams.tls
import time:      1741 |       7291 |                       anyio._core._sockets
import time:      1794 |       1794 |                         anyio.streams.memory
import time:       732 |       2525 |                       anyio._core._streams
import time:       542 |        542 |                       anyio._core._subprocesses
import time:      1121 |       1121 |                       anyio._core._tempfile
import time:      1571 |      41304 |                     anyio
import time:        24 |      41328 |                   anyio.to_thread
import time:       990 |      42318 |                 starlette.concurrency
import time:       635 |        635 |                 starlette.types
import time:      2631 |      47322 |               starlette.datastructures
import time:      1214 |       1214 |                 starlette.middleware
import time:      1002 |       2215 |               starlette.middleware.gzip
import time:       481 |        481 |                 streamlit.web.server.component_file_utils
import time:       858 |       1338 |               streamlit.web.server.starlette.starlette_routes
