import time: self [us] | cumulative | imported package
import time:      1817 |      16236 |                 numpy.linalg._linalg
import time:       638 |      16874 |               numpy.linalg
import time:       914 |      17787 |             numpy.matrixlib.defmatrix
import time:       681 |      18468 |           numpy.matrixlib
import time:      1144 |       1144 |             numpy.lib._histograms_impl
import time:      1524 |       2668 |           numpy.lib._function_base_impl
import time:      1108 |      22243 |         numpy.lib._index_tricks_impl
import time:      1388 |      27032 |       numpy.lib._arraypad_impl
import time:      1374 |       1374 |       numpy.lib._arraysetops_impl
import time:       693 |        693 |       numpy.lib._arrayterator_impl
import time:       916 |        916 |       numpy.lib._nanfunctions_impl
import time:      1171 |       1171 |           _weakrefset
import time:      1204 |       2375 |         weakref
import time:      2084 |       2084 |               platform
import time:       810 |       2893 |             numpy.lib._utils_impl
import time:      1044 |       3937 |           numpy.lib._format_impl
import time:      1257 |       5193 |         numpy.lib.format
import time:       866 |        866 |         numpy.lib._datasource
import time:       750 |        750 |         numpy.lib._iotools
import time:      1259 |      10442 |       numpy.lib._npyio_impl
import time:       591 |        591 |           numpy.lib._ufunclike_impl
import time:       645 |       1235 |         numpy.lib._type_check_impl
import time:       872 |       2107 |       numpy.lib._polynomial_impl
import time:       835 |        835 |       numpy.lib._shape_base_impl
import time:       551 |        551 |       numpy.lib._version
import time:      1186 |       1186 |       numpy.lib.introspect
import time:       782 |        782 |       numpy.lib.mixins
import time:       506 |        506 |       numpy.lib.npyio
import time:       673 |        673 |         numpy.lib._scimath_impl
import time:       484 |       1156 |       numpy.lib.scimath
import time:       395 |        395 |       numpy.lib.stride_tricks
import time:      1194 |      49163 |     numpy.lib
import time:       490 |        490 |     numpy._array_api_info
import time:      3038 |     155325 |   numpy
import time:       859 |        859 |     __future__
import time:       806 |        806 |       pytz.exceptions
import time:      1076 |       1076 |         threading
import time:       604 |       1679 |       pytz.lazy
import time:        51 |         51 |           _bisect
import time:       595 |        645 |         bisect
import time:       624 |       1269 |       pytz.tzinfo
import time:       512 |        512 |       pytz.tzfile
import time:      1302 |       5566 |     pytz
import time:       623 |        623 |       dateutil._version
import time:       826 |       1448 |     dateutil
import time:      1294 |       1294 |         sysconfig
import time:       922 |       2216 |       pandas.compat._constants
import time:      1042 |       1042 |           _compression
import time:      1760 |       1760 |           _bz2
import time:       824 |       3626 |         bz2
import time:       935 |        935 |           _lzma
import time:      1111 |       2045 |         lzma
import time:       782 |       6453 |       pandas.compat.compressors
import time:       553 |        553 |           pandas.util
import time:      2629 |       3182 |         pandas.util.version
import time:       908 |       4089 |       pandas.compat.numpy
import time:      1150 |       1150 |           pyarrow._generated_version
import time:       135 |        135 |             zlib
import time:      2005 |       2005 |               _decimal
import time:      1135 |       3139 |             decimal
import time:       552 |        552 |                         org
import time:        35 |        587 |                       org.python
import time:        27 |        613 |                     org.python.core
import time:       803 |       1416 |                   copy
import time:      1275 |       2690 |                 dataclasses
import time:      1029 |       1029 |                   traceback
import time:        41 |         41 |                     _string
import time:       972 |       1013 |                   string
import time:        43 |         43 |                   atexit
import time:      1877 |       3960 |                 logging
import time:       910 |        910 |                   _uuid
import time:       919 |       1828 |                 uuid
import time:      1655 |      10133 |               cloudpickle.cloudpickle
import time:      1202 |      11334 |             cloudpickle
import time:       811 |        811 |             signal
import time:        48 |         48 |               gc
import time:      1423 |       1423 |                 _socket
import time:       767 |        767 |                   select
import time:      1030 |       1796 |                 selectors
import time:      1339 |       4558 |               socket
import time:       661 |       5266 |             pyarrow.util
import time:       946 |        946 |               _queue
import time:      1082 |       2028 |             queue
import time:     18439 |      41150 |           pyarrow.lib
import time:       740 |        740 |           pyarrow.ipc
import time:      1073 |       1073 |           pyarrow.types
import time:      1717 |      45828 |         pyarrow
import time:       800 |      46627 |       pandas.compat.pyarrow
import time:       773 |      60157 |     pandas.compat
import time:       728 |        728 |                 numpy.random._common
import time:        72 |         72 |                     binascii
import time:       705 |        777 |                   base64
import time:      4579 |       4579 |                     _hashlib
import time:        75 |         75 |                       _blake2
import time:      3048 |       3122 |                     hashlib
import time:       829 |       8530 |                   hmac
import time:        46 |         46 |                     _random
import time:        27 |         27 |                     _sha512
import time:       974 |       1046 |                   random
import time:       715 |      11066 |                 secrets
import time:       878 |      12671 |               numpy.random.bit_generator
import time:       900 |      13571 |             numpy.random._bounded_integers
import time:       621 |        621 |                 numpy.random._pcg64
import time:      1663 |       2284 |               numpy.random._generator
import time:       575 |        575 |               numpy.random._mt19937
import time:       581 |        581 |               numpy.random._philox
import time:       503 |        503 |               numpy.random._sfc64
import time:      1509 |       1509 |               numpy.random.mtrand
import time:       607 |       6056 |             numpy.random._pickle
import time:       711 |      20337 |           numpy.random
import time:      2812 |      23148 |         pandas._typing
import time:      1005 |       1005 |         pandas.util._exceptions
import time:      1376 |      25528 |       pandas._config.config
import time:      1124 |       1124 |       pandas._config.dates
import time:        56 |         56 |           _locale
import time:      1223 |       1279 |         locale
import time:       771 |       2049 |       pandas._config.display
import time:       634 |      29333 |     pandas._config
import time:       621 |        621 |       pandas.core
import time:      1308 |       1928 |     pandas.core.config_init
import time:       981 |        981 |         pandas._libs.pandas_parser
import time:       804 |        804 |         pandas._libs.pandas_datetime
import time:      1186 |       1186 |                     pandas._libs.tslibs.ccalendar
import time:      1310 |       1310 |                     pandas._libs.tslibs.np_datetime
import time:      2429 |       4924 |                   pandas._libs.tslibs.dtypes
import time:       566 |        566 |                     pandas._libs.tslibs.base
import time:       925 |        925 |                         pandas._libs.tslibs.nattype
import time:       816 |        816 |                             pandas.compat._optional
import time:       969 |        969 |                               zoneinfo._tzpath
import time:       546 |        546 |                               zoneinfo._common
import time:      1463 |       1463 |                               _zoneinfo
import time:       878 |       3855 |                             zoneinfo
import time:       895 |        895 |                                     importlib._abc
import time:       189 |       1083 |                                   importlib.util
import time:      1732 |       2815 |                                 six
import time:        85 |         85 |                                 six.moves
import time:      1774 |       1774 |                                 dateutil.tz._common
import time:       566 |        566 |                                 dateutil.tz._factories
import time:       959 |        959 |                                   ctypes.wintypes
import time:       678 |       1637 |                                 dateutil.tz.win
import time:      1362 |       8237 |                               dateutil.tz.tz
import time:       743 |       8980 |                             dateutil.tz
import time:      2823 |      16473 |                           pandas._libs.tslibs.timezones
import time:      1043 |       1043 |                               calendar
import time:      1396 |       2438 |                             _strptime
import time:       564 |        564 |                                 fcntl
import time:        56 |         56 |                                 msvcrt
import time:      1133 |       1752 |                               subprocess
import time:       604 |       2356 |                             pandas._config.localization
import time:      2148 |       6941 |                           pandas._libs.tslibs.fields
import time:      1630 |      25043 |                         pandas._libs.tslibs.timedeltas
import time:       926 |        926 |                         pandas._libs.tslibs.tzconversion
import time:      1843 |      28735 |                       pandas._libs.tslibs.timestamps
import time:       595 |        595 |                       pandas._libs.properties
import time:      1666 |      30996 |                     pandas._libs.tslibs.offsets
