model,dataset,split,rmse,mae,r2
growth_ols,v13a_11_leagues,train,0.9244721001684856,0.7508878791846094,0.48795662337980816
growth_ols,v13a_11_leagues,test_temporal,0.8688938127151158,0.6988764957797317,0.5495775664072177
