player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,13.122363377404328,HistGradientBoosting,A_v13A_current,15.692016438485403,6530646.09209087,-2.569653061081075,2.569653061081075,4.0,1.6094299124820992,1.4917402334230712,1,1,0.85,exact_age_validated,0.06,0.06,6530646.09209087,-2.569653061081075,2.569653061081075,6030646.09209087,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,15
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,13.122363377404328,HistGradientBoosting,A_v13A_current,16.13745694339705,10195499.37766784,-3.015093565992723,3.015093565992723,0.6666666666666666,0.5108242904362132,0.4347828594471473,1,1,0.85,exact_age_validated,0.0,0.05,10195499.377667839,-3.015093565992723,3.015093565992723,9695499.377667839,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,16
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,16.16267967224121,10455928.0,-3.0403162948368827,3.0403162948368827,0.0,0.0,-0.28329844427707607,0,1,1.0,exact_age_club_validated,0.1,0.1,10455928.250703821,-3.0403162948368827,3.0403162948368827,9955928.250703821,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,57
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,13.122363377404328,LightGBM,B_v13B_advanced,16.340901403431083,12495778.22757698,-3.2185380260267547,3.2185380260267547,0.6666666666666666,0.5108242904362132,0.4347828594471473,1,1,0.85,exact_age_validated,0.0,0.05,12495778.227576979,-3.2185380260267547,3.2185380260267547,11995778.227576979,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,55
Jesus Rodríguez,1190411.0,Real Betis,Calcio Como,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,13.458835614025542,HistGradientBoosting,A_v13A_current,16.805362390771514,19882736.304083377,-3.3465267767459714,3.3465267767459714,0.4,0.33647166519362237,0.2987354985416992,1,1,0.85,exact_age_validated,0.16,0.0,19882736.304083377,-3.3465267767459714,3.3465267767459714,19182736.304083377,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,17
Dominik Javorček,610608.0,Holstein Kiel,"SK Slavia Praha, a.s.",Bundesliga,2024-2025,DEF,22.132785763175907,386,550000.0,13.217673557208654,LightGBM,B_v13B_advanced,15.487234297963411,5321332.489799681,-2.2695607407547573,2.2695607407547573,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.0,0.47,5321332.489799681,-2.2695607407547573,2.2695607407547573,4771332.489799681,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,54
Yan Diomandé,1390649.0,Leganés,RasenBallsport Leipzig,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,13.304684934198283,LightGBM,A_v13A_current,16.30012655544558,11996512.679143142,-2.9954416212472967,2.9954416212472967,,,0.0,0,1,0.85,exact_age_validated,0.33,0.17,11996512.679143142,-2.9954416212472967,2.9954416212472967,11396512.679143142,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,23
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,13.122363377404328,LightGBM,A_v13A_current,15.612996272467369,6034456.029337113,-2.4906328950630403,2.4906328950630403,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.58,0.38,6034456.029337113,-2.4906328950630403,2.4906328950630403,5534456.029337113,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,21
Pau Navarro,1061336.0,Villarreal,Villarreal Club de Fútbol S.A.D.,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,13.122363377404328,LightGBM,A_v13A_current,15.572943033102922,5797532.958829575,-2.450579655698593,2.450579655698593,1.5,0.9162877318846547,0.7769228195550556,1,1,0.85,exact_age_validated,0.0,0.0,5797532.958829575,-2.4505796556985935,2.4505796556985935,5297532.958829575,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,22
Bilal Nadir,659520.0,Marseille,Olympique de Marseille,Ligue 1,2024-2025,MID,21.03490759753593,383,500000.0,13.122363377404328,LightGBM,A_v13A_current,15.324664167421044,4522901.033143639,-2.2023007900167144,2.2023007900167144,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.23,0.0,4522901.033143646,-2.202300790016716,2.202300790016716,4022901.033143646,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,20
Yan Diomandé,1390649.0,Leganés,RasenBallsport Leipzig,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,13.304684934198283,RandomForest,A_v13A_current,15.942058905259255,8385871.682991933,-2.637373971060974,2.637373971060974,,,0.0,0,1,0.85,exact_age_validated,0.33,0.17,8385871.682991918,-2.6373739710609723,2.6373739710609723,7785871.682991918,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,5
Andrés García,1063329.0,Aston Villa,Aston Villa Football Club,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,13.710150042306449,LightGBM,A_v13A_current,15.92648393118708,8256273.81051695,-2.21633388888063,2.21633388888063,0.125,0.11778289676765752,-0.19805486479308607,0,1,0.85,exact_age_validated,0.0,0.0,8256273.810516965,-2.216333888880632,2.216333888880632,7356273.810516965,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,19
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,13.122363377404328,LightGBM,A_v13A_current,16.24428317307062,11344948.912156696,-3.121919795666292,3.121919795666292,0.0,0.0,-0.28329844427707607,0,1,1.0,exact_age_club_validated,0.1,0.1,11344948.912156697,-3.121919795666292,3.121919795666292,10844948.912156697,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,18
Jesus Rodríguez,1190411.0,Real Betis,Calcio Como,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,13.458835614025542,XGBoost,B_v13B_advanced,15.802356719970703,7292498.0,-2.343521105945161,2.343521105945161,0.4,0.33647166519362237,0.2987354985416992,1,1,0.85,exact_age_validated,0.16,0.0,7292498.098456732,-2.343521105945161,2.343521105945161,6592498.098456732,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,63
Dominik Javorček,610608.0,Holstein Kiel,"SK Slavia Praha, a.s.",Bundesliga,2024-2025,DEF,22.132785763175907,386,550000.0,13.217673557208654,RandomForest,A_v13A_current,15.461702733967726,5187190.265939056,-2.2440291767590725,2.2440291767590725,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.0,0.47,5187190.265939056,-2.2440291767590725,2.2440291767590725,4637190.265939056,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,7
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,13.122363377404328,RandomForest,A_v13A_current,15.551349324298815,5673684.704284872,-2.428985946894489,2.428985946894489,4.0,1.6094299124820992,1.4917402334230712,1,1,0.85,exact_age_validated,0.06,0.06,5673684.704284862,-2.428985946894487,2.428985946894487,5173684.704284862,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,6
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,16.239089965820312,11286185.0,-3.1167265884159843,3.1167265884159843,0.6666666666666666,0.5108242904362132,0.4347828594471473,1,1,0.85,exact_age_validated,0.0,0.05,11286184.959971977,-3.1167265884159843,3.1167265884159843,10786184.959971977,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,62
Dominik Javorček,610608.0,Holstein Kiel,"SK Slavia Praha, a.s.",Bundesliga,2024-2025,DEF,22.132785763175907,386,550000.0,13.217673557208654,HistGradientBoosting,B_v13B_advanced,15.644723100818094,6228979.672201274,-2.4270495436094404,2.4270495436094404,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.0,0.47,6228979.672201274,-2.4270495436094404,2.4270495436094404,5678979.672201274,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,46
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,13.122363377404328,RandomForest,A_v13A_current,16.440676883315575,13806870.427674456,-3.318313505911247,3.318313505911247,0.0,0.0,-0.28329844427707607,0,1,1.0,exact_age_club_validated,0.1,0.1,13806870.427674457,-3.318313505911247,3.318313505911247,13306870.427674457,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,1
