player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,10343657.407693762,7343657.407693762,2.4478858025645875,1.41641209062389,100.0,86.41666666666667,100.0,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9902956.824254254,6902956.824254254,2.300985608084752,1.3707296157101856,100.0,86.41666666666667,99.37227110925238,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9679933.283383902,6679933.283383902,2.2266444277946342,1.346830463090546,100.0,86.41666666666667,99.04386971261016,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9567151.844374591,6567151.844374593,2.189050614791531,1.3345343615615697,100.0,86.41666666666667,98.87490736571706,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9383321.776628183,6383321.776628185,2.127773925542728,1.314178011668241,100.0,86.41666666666667,98.59518808688316,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,15213449.210620528,10213449.210620528,2.0426898421241058,1.28524138836739,100.0,86.41666666666667,98.19756614365572,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,9048019.009930355,6048019.009930357,2.0160063366434526,1.275999593556138,100.0,86.41666666666667,98.07057342672556,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,8448697.974024856,5448697.974024856,1.8162326580082853,1.2040939963455148,100.0,86.41666666666667,97.08250916661632,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,13847654.191652045,8847654.191652045,1.769530838330409,1.186549084742017,100.0,86.41666666666667,96.84142223076329,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,13660356.929808794,8660356.929808794,1.7320713859617587,1.1722611731626966,100.0,86.41666666666667,96.6450901602323,target_scouting,0.85,exact_age_validated
Javi Rodríguez,Celta Vigo,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,8143429.279190545,5143429.279190545,1.7144764263968484,1.1654822881244855,100.0,86.41666666666667,96.55194061013502,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,12746938.67448712,7746938.674487121,1.5493877348974243,1.099649096418522,100.0,86.41666666666667,95.64731807201674,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,12425498.4513052,7425498.451305201,1.4850996902610405,1.0728519611380083,100.0,86.41666666666667,95.27909511481867,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,11136596.71896897,6136596.718968971,1.227319343793794,0.9579494669155728,100.0,86.41666666666667,93.70020484281316,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,10478400.855198076,5478400.855198076,1.0956801710396151,0.8940313383213038,100.0,86.41666666666667,92.82189743856377,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,10203173.784334555,5203173.784334557,1.0406347568669114,0.8661044215042901,100.0,86.41666666666667,92.4381500048124,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,10091558.148807537,5091558.148807535,1.018311629761507,0.8545636218626689,100.0,86.41666666666667,92.27956636040476,target_scouting,0.85,exact_age_validated
Christantus Uche,Getafe,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,9942059.173897846,4942059.173897846,0.9884118347795692,0.8389041645150018,100.0,86.41666666666667,92.0643876992414,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,9031419.332977334,4031419.332977334,0.8062838665954668,0.7381128056456167,100.0,86.41666666666667,90.6794003924122,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,8452067.622394554,3452067.6223945543,0.6904135244789109,0.6685522436379833,100.0,86.41666666666667,89.72355956917927,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,7896666.687396318,2896666.6873963177,0.5793333374792635,0.5972374822855638,100.0,86.41666666666667,88.74361406223706,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,7196091.17481075,2196091.1748107504,0.43921823496215,0.4997635783697663,100.0,86.41666666666667,87.4042123398591,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,6402073.575750192,1402073.5757501917,0.2804147151500383,0.377094824954136,100.0,86.41666666666667,85.71860487974563,target_scouting,0.85,exact_age_validated
Saba Goglichidze,Empoli,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,6167571.15925156,1167571.1592515605,0.2335142318503121,0.3379418723633808,100.0,86.41666666666667,85.18059901325708,target_scouting,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,6309464.099740914,-690535.9002590859,-0.0986479857512979,0.0087787661660586,100.0,84.9388888888889,79.98007809815839,high_priority,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,5855714.953889569,-1144285.0461104307,-0.1634692923014901,-0.0695260800735812,100.0,84.9388888888889,78.90408091624069,high_priority,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,5794502.512473397,-1205497.487526603,-0.1722139267895147,-0.0805516099690189,100.0,84.9388888888889,78.75257766112497,high_priority,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,5736110.764416991,-1263889.2355830092,-0.180555605083287,-0.0911781672610827,100.0,84.9388888888889,78.6065567409797,high_priority,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,5498506.925681119,-1501493.0743188811,-0.214499010616983,-0.1355645470343462,100.0,84.9388888888889,77.99663766387175,high_priority,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,5482251.196871407,-1517748.803128593,-0.2168212575897989,-0.1386709961403296,100.0,84.9388888888889,77.9539515384999,high_priority,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,5267088.524133896,-1732911.4758661035,-0.2475587822665862,-0.1806790883042301,100.0,84.9388888888889,77.37671282395384,high_priority,0.85,exact_age_validated
Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,5779551.3499277085,-1720448.6500722915,-0.2293931533429722,-0.1556498732470098,100.0,83.8888888888889,77.2392983384391,high_priority,0.85,exact_age_validated
Nicolò Savona,Juventus,Serie A,2024-2025,DEF,21.58521560574949,1724,7000000.0,4929697.24226884,-2070302.75773116,-0.2957575368187372,-0.2501365539634155,100.0,84.9388888888889,76.42228866119244,high_priority,0.85,exact_age_validated
Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,5160031.919376329,-2339968.0806236714,-0.3119957440831561,-0.2746120429200996,100.0,83.8888888888889,75.60462353259977,high_priority,0.85,exact_age_validated
Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,4883322.630937643,-2616677.3690623567,-0.3488903158749808,-0.3324409085641424,100.0,83.8888888888889,74.80998949071608,high_priority,0.85,exact_age_validated
Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,4868315.750825599,-2631684.249174401,-0.3508912332232535,-0.3356701682674143,100.0,83.8888888888889,74.76561580878882,high_priority,0.85,exact_age_validated
Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,4490188.734969288,-3009811.265030712,-0.4013081686707616,-0.4205017492385682,100.0,83.8888888888889,73.59993390727226,high_priority,0.85,exact_age_validated
Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,4410706.006773981,-3089293.9932260187,-0.4119058657634691,-0.4392404920123044,100.0,83.8888888888889,73.34244238043222,high_priority,0.85,exact_age_validated
Raúl Asencio,Real Madrid,LaLiga,2024-2025,DEF,21.869952087611225,1670,7500000.0,4272168.125565121,-3227831.874434879,-0.4303775832579838,-0.4727240575581093,100.0,83.8888888888889,72.88234030632069,high_priority,0.85,exact_age_validated
