position_group,n,mean_inefficiency_ml,median_inefficiency_ml,mean_gap_ml_eur,median_gap_ml_eur,mean_gap_ml_pct,mean_confidence_ml,mean_opportunity_ml
MID,285,-0.1130947055634503,-0.1487354078952201,-5425953.730046038,-747368.212917801,0.400925821831733,0.7232615200675657,0.2781343602164486
ATT,50,-0.11365456374790824,0.14236728577917823,-3229670.694155412,528925.5440104888,0.2809789135725022,0.6706810997794509,0.28285242637426783
DEF,201,-0.17943509795365906,-0.1629098630589194,-4976192.734886187,-450996.6857492686,0.38599140580476454,0.7195235733455319,0.2883091212092308
GK,16,-0.22116436389018168,-0.22783427215168306,-1805951.9675220528,-576819.4384444284,-0.04845834837599367,0.7125503507871321,0.16454533107635116
