league,n,mean_inefficiency_ml,median_inefficiency_ml,mean_gap_ml_eur,median_gap_ml_eur,mean_gap_ml_pct,mean_confidence_ml,mean_opportunity_ml
LaLiga,72,0.1302216661531868,0.2747909933123749,-7153655.116343603,1119578.7796429945,1.1097733552979965,0.736104104505201,0.44620811769138086
Liga Portugal,60,-0.041310790715790864,0.10444392417352066,-2564034.844969267,179612.1235371459,0.4449522044958094,0.6752575834664233,0.31098358957533034
Serie A,77,-0.048132416644622866,-0.13547022285436938,-2320564.256202478,-619630.6245000404,0.3670115089580286,0.6842408383729739,0.2381664754544703
Ligue 1,99,-0.0982860128015815,-0.11793628628272401,-4325017.857626417,-667483.9407149991,0.534019611529225,0.7174010329932529,0.291646699779624
Eredivisie,93,-0.12914997870200867,0.0171790792805826,-2196549.7549043205,20792.985946078086,0.3554066230590369,0.7464354286723631,0.3001229709231016
Bundesliga,77,-0.15781650561554925,-0.2197183147959194,-7256920.635259528,-1787299.4776327205,0.49111507029834184,0.7204135958193453,0.24438057263874488
Premier League,74,-0.3819524439793439,-0.4639694281791211,-9520937.542920938,-9867568.649167176,-0.009096878727159974,0.7239742292600608,0.12112073353556044
