model,split,n,MAE_log,RMSE_log,R2
M2_base_FE,test,552,0.7947474475445351,0.9887448771120789,0.4365982267313092
M3_final_FE_advanced,test,552,0.7947474475445351,0.9887448771120789,0.4365982267313092
M1_base_no_FE,test,552,1.0035878270191112,1.2164797868707105,0.14717580892753368
M0_mean_train,test,552,1.0898541771150017,1.3211723292505355,-0.005932072878611194
M2_base_FE,train,2745,0.8199005780862444,1.0097931456535705,0.4073775910700115
M3_final_FE_advanced,train,2745,0.8199005780862444,1.0097931456535705,0.4073775910700115
M1_base_no_FE,train,2745,1.0146142534914662,1.2186009119299777,0.13694945683990167
M0_mean_train,train,2745,1.0960478886537062,1.3117267756583277,0.0
