player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_ml_eur,market_value_gap_ml_eur,market_value_gap_ml_pct,log_market_value_eur,predicted_log_market_value_ml,inefficiency_score_ml,inefficiency_score_ml_z,confidence_score_ml,opportunity_score_ml,matching_method,matching_confidence,age_diff,club_score
António Silva,650568.0,Benfica,Sport Lisboa e Benfica,Liga Portugal,2024-2025,DEF,20.941820670773442,2037,40000000.0,2530280.175061432,-37469719.824938565,-0.9367429956234642,17.50439001207821,14.743840595703357,-2.760549416374854,-2.7908411875452033,0.7699452429842574,0.0,exact_age_validated,0.85,0.941820670773442,48.275862068965516
Aleksandar Pavlovic,792380.0,Bayern Munich,FC Bayern München,Bundesliga,2024-2025,MID,20.435318275154003,1451,50000000.0,3951320.4565552375,-46048679.54344476,-0.9209735908688953,17.72753356339242,15.18956037381271,-2.5379731895797093,-2.5537619358094537,0.9564681724845997,0.0,exact_age_club_validated,1.0,0.43531827515400323,80.0
Johan Bakayoko,565424.0,PSV,RasenBallsport Leipzig,Eredivisie,2024-2025,MID,21.661875427789184,1579,40000000.0,3246451.8200897467,-36753548.17991025,-0.9188387044977563,17.50439001207821,14.993073210250634,-2.5113168018275775,-2.525368622861122,0.7937405886379194,0.0,exact_age_validated,0.85,0.6618754277891838,16.000000000000004
Endrick,971570.0,Real Madrid,Olympique Lyonnais,LaLiga,2024-2025,ATT,18.43668720054757,363,40000000.0,3407815.2043311014,-36592184.7956689,-0.9148046198917225,17.50439001207821,15.041581941379915,-2.462808070698296,-2.473699071964451,0.4064407939767282,0.0,exact_age_validated,0.85,0.4366872005475706,27.586206896551722
Castello Lukeba,618472.0,RB Leipzig,RasenBallsport Leipzig,Bundesliga,2024-2025,DEF,22.00958247775496,1577,50000000.0,4904594.3763384065,-45095405.62366159,-0.9019081124732319,17.72753356339242,15.405682951606629,-2.3218506117857913,-2.323556851626128,0.7641854893908283,0.0,exact_age_validated,0.85,1.009582477754961,62.5
Nuno Mendes,616341.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,22.477754962354553,1676,55000000.0,5778223.990666322,-49221776.00933368,-0.8949413819878851,17.822843743196746,15.569606925381251,-2.2532368178154947,-2.2504721957872964,0.9522245037645447,0.0,exact_age_club_validated,1.0,0.4777549623545525,73.07692307692308
Jorrel Hato,904802.0,Ajax,Chelsea Football Club,Eredivisie,2024-2025,DEF,18.781656399726216,2588,30000000.0,3310700.863831573,-26689299.136168428,-0.8896433045389476,17.216707939626428,15.012670466278056,-2.2040374733483716,-2.198067031318,0.7835592060232717,0.0,exact_age_validated,0.85,0.7816563997262165,16.000000000000004
Warren Zaïre-Emery,810092.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,18.759753593429156,2050,60000000.0,6634741.886009013,-53365258.113990985,-0.8894209685665164,17.909855120186375,15.707830323109157,-2.202024797077218,-2.1959232094407852,0.9240246406570843,0.0,exact_age_club_validated,1.0,0.7597535934291564,73.07692307692308
Brian Brobbey,473169.0,Ajax,Sunderland Association Football Club,Eredivisie,2024-2025,ATT,22.874743326488705,1555,30000000.0,3673213.8951922744,-26326786.104807727,-0.8775595368269242,17.216707939626428,15.116577557571878,-2.10013038205455,-2.0873893735614497,0.7756468172484601,0.0,exact_age_validated,0.85,0.874743326488705,9.999999999999998
Antoni Milambo,683620.0,Feyenoord,Brentford Football Club,Eredivisie,2024-2025,MID,19.531827515400412,1978,12000000.0,1614392.8042026183,-10385607.195797382,-0.8654672663164484,16.300417207752275,14.294469471313507,-2.0059477364387686,-1.9870698045284383,0.804794661190965,0.0,exact_age_validated,0.85,0.531827515400412,31.25
Yan Couto,627228.0,Dortmund,Borussia Dortmund,Bundesliga,2024-2025,DEF,22.548939082819988,895,25000000.0,3495317.8895538244,-21504682.110446177,-0.8601872844178471,17.034386382832476,15.066934885037114,-1.9674514977953628,-1.9460651582387898,0.7988771769716327,0.0,exact_age_validated,0.85,0.548939082819988,64.0
Willian Pacho,661171.0,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,22.976043805612594,2132,40000000.0,5610442.727746734,-34389557.27225327,-0.8597389318063317,17.50439001207821,15.540140191986962,-1.9642498200912488,-1.9426548598195925,0.9023956194387406,0.0,exact_age_club_validated,1.0,0.9760438056125942,73.07692307692308
Ousmane Diomande,974982.0,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,21.04312114989733,2521,40000000.0,5949773.367596444,-34050226.63240355,-0.8512556658100889,17.50439001207821,15.5988636873168,-1.9055263247614107,-1.8801049526144558,0.7613347022587268,0.0,exact_age_validated,0.85,1.0431211498973312,59.45945945945945
Tomás Araújo,504087.0,Benfica,Sport Lisboa e Benfica,Liga Portugal,2024-2025,DEF,22.39835728952772,2311,15000000.0,2285463.3144959044,-12714536.685504096,-0.8476357790336064,16.523560759066484,14.642079325212249,-1.8814814338542352,-1.8544933011527405,0.8161396303901438,0.0,exact_age_validated,0.85,0.39835728952771987,48.275862068965516
Nico Williams,709187.0,Athletic Club,Athletic Club Bilbao,LaLiga,2024-2025,MID,22.017796030116358,1996,70000000.0,10677126.13906542,-59322873.86093458,-0.8474696265847796,18.064005800013632,16.183614267183135,-1.8803915328304974,-1.853332382383947,0.9982203969883642,0.0,exact_age_club_validated,1.0,0.017796030116357997,78.78787878787878
Tiago Santos,816580.0,Lille,Lille Olympique Sporting Club,Ligue 1,2024-2025,DEF,22.38466803559206,404,15000000.0,2348360.185134813,-12651639.814865187,-0.8434426543243458,16.523560759066484,14.669227848989447,-1.8543329100770372,-1.8255757846888092,0.4086516084873374,0.0,exact_age_validated,0.85,0.3846680355920604,29.411764705882348
Mika Godts,748804.0,Ajax,AFC Ajax Amsterdam,Eredivisie,2024-2025,ATT,19.353867214236825,1643,8000000.0,1279496.1826133446,-6720503.817386655,-0.8400629771733319,15.89495209964411,14.061976951078776,-1.8329751485653336,-1.8028263554669473,0.8199212867898699,0.0,exact_age_validated,0.85,0.3538672142368249,36.36363636363637
Anis Hadj Moussa,917911.0,Feyenoord,Feyenoord Rotterdam,Eredivisie,2024-2025,MID,22.847364818617386,1969,12000000.0,1920452.1577391638,-10079547.842260836,-0.839962320188403,16.300417207752275,14.46807121510095,-1.8323459926513248,-1.8021562038722954,0.7779739904175221,0.0,exact_age_validated,0.85,0.8473648186173861,64.28571428571428
Kobbie Mainoo,820374.0,Manchester Utd,Manchester United Football Club,Premier League,2024-2025,MID,19.247091033538673,1651,55000000.0,8960171.327391759,-46039828.67260824,-0.8370877940474226,17.822843743196746,16.00829990612899,-1.814543837067756,-1.7831940631899468,0.8289972621492128,0.0,exact_age_validated,0.85,0.24709103353867334,62.22222222222222
Elye Wahi,659542.0,Marseille,Olympique Gymnaste Club Nice Côte d'Azur,Ligue 1,2024-2025,ATT,21.763175906913073,574,30000000.0,4974616.82793902,-25025383.17206098,-0.8341794390686994,17.216707939626428,15.41985890609893,-1.7968490335274971,-1.764346269589794,0.5007384972241236,0.0,exact_age_validated,0.85,0.763175906913073,28.57142857142857
