model,sample,MAE_log,RMSE_log,R2
M0_mean_train,train,1.0989218501858602,1.314055420211246,0.0
M0_mean_test,test,1.0894950342168863,1.3190464684199306,-0.0026974439543496764
M1_OLS_simple_train,train,1.0246848652603426,1.2288017297828329,0.1255474185135821
M1_OLS_simple_test,test,0.998637048105385,1.212039517890509,0.15339022828021587
M2_OLS_league_FE_train,train,0.8169148106553781,1.0091012111944684,0.4102851135980121
M2_OLS_league_FE_test,test,0.7891284790187587,0.9839201358905539,0.44208323243504555
M3_OLS_full_FE_train,train,0.8134060310117573,1.0038345766638879,0.41642465227435177
M3_OLS_full_FE_test,test,0.7874529927821777,0.9803570019625811,0.446116756248917
