term,coef,std_err_HC3,t,p_value,significant_5pct
const,10.636901285150989,0.3981905017113854,26.71309646873691,3.315990372417565e-157,True
age,0.041813227273785274,0.017002073424492874,2.459301652794294,0.01392075961389479,True
log_minutes_played,0.5457448138331612,0.03297380516459462,16.550859420348328,1.5783337330616858e-61,True
goals_per90,1.4068988191461507,0.1297796928000938,10.8406699753348,2.2084772841718705e-27,True
assists_per90,1.785259505708604,0.18304969601393326,9.752867907372623,1.793291683037542e-22,True
league_Eredivisie,-1.4501069152453492,0.0715716548758528,-20.26091079996242,2.84648263204177e-91,True
league_LaLiga,0.06416841979976466,0.08396988842661637,0.7641836973005297,0.4447577803460232,False
league_Liga Portugal,-1.128304444345074,0.08252463415583097,-13.672335005018025,1.485506908382786e-42,True
league_Ligue 1,-0.3429537559223407,0.07097928932587227,-4.83174400842208,1.3534220813442429e-06,True
league_Premier League,0.7070857078754613,0.07053863327197309,10.024091410293963,1.1945319087339394e-23,True
league_Serie A,-0.15078430110953486,0.07351165137482303,-2.0511619354150015,0.040251179422310816,True
position_group_DEF,0.026452996324539818,0.07877474896952037,0.3358055299519272,0.7370175197978106,False
position_group_GK,-0.069185747700523,0.13236466036866282,-0.5226904787714973,0.601189665091864,False
position_group_MID,-0.009300971150981469,0.07027660645086167,-0.13234804041775736,0.8947090107822675,False
