player_name_fbref,season,league,club,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,inefficiency_score,matching_confidence
Piero Hincapié,2023-2024,Bundesliga,Leverkusen,DEF,22.4,1484,40000000.0,9060888.372581087,-30939111.627418913,-1.484912284497291,1.0
Kenan Yıldız,2023-2024,Serie A,Juventus,ATT,19.1,952,30000000.0,6644210.6367263505,-23355789.36327365,-1.507451487113471,1.0
Danilo,2022-2023,Eredivisie,Feyenoord,MID,22.1,1336,28000000.0,6180212.245644775,-21819787.754355226,-1.510851895339881,1.0
Benoît Badiashile,2021-2022,Ligue 1,Monaco,DEF,21.2,1838,30000000.0,6589305.916524175,-23410694.083475824,-1.5157493624391076,1.0
Rodrygo,2021-2022,LaLiga,Real Madrid,ATT,21.4,1523,60000000.0,13096959.052282253,-46903040.94771775,-1.5219644923756945,1.0
Marcos Paulo,2021-2022,Liga Portugal,Famalicão,ATT,21.3,684,5000000.0,1090731.5113029717,-3909268.4886970283,-1.522589330000395,1.0
Bryan Gil,2021-2022,LaLiga,Valencia,ATT,21.3,753,18000000.0,3908371.1335987453,-14091628.866401255,-1.527251060569002,1.0
Dejan Kulusevski,2021-2022,Serie A,Juventus,MID,22.1,772,40000000.0,8632756.452356976,-31367243.547643024,-1.5333155964994347,1.0
Francisco Conceição,2022-2023,Eredivisie,Ajax,ATT,20.5,525,8000000.0,1720145.8549083362,-6279854.145091664,-1.5370324550844252,1.0
Jorrel Hato,2023-2024,Eredivisie,Ajax,DEF,18.2,2961,30000000.0,6378824.604741009,-23621175.395258993,-1.54821353250993,1.0
Wesley Fofana,2022-2023,Premier League,Chelsea,DEF,22.5,1183,55000000.0,11691883.742937904,-43308116.25706209,-1.5484382813327784,1.0
Boubakary Soumaré,2020-2021,Ligue 1,Lille,MID,22.3,1919,28000000.0,5944211.978260226,-22055788.021739773,-1.5497865408350382,1.0
Ozan Kabak,2020-2021,Bundesliga,Schalke 04,DEF,21.2,1243,25000000.0,5201792.694400002,-19798207.3056,-1.5698725097699988,1.0
Isaac Babadi,2023-2024,Eredivisie,PSV,MID,19.2,355,6000000.0,1247840.7045719088,-4752159.295428092,-1.570344847994951,1.0
Orkun Kökçü,2020-2021,Eredivisie,Feyenoord,MID,20.4,1558,12000000.0,2461154.0033370946,-9538845.996662905,-1.5842763027924427,1.0
