term,coef,std_err_HC3,t_value,p_value,ci_lower,ci_upper,approx_pct_effect
const,10.942578077271477,0.3608257394119466,30.326489720786196,5.131007763192497e-202,10.235372623329027,11.649783531213927,5653190.162381508
league_Eredivisie,-1.4884584615500898,0.06322693909798731,-23.541523325102283,1.5332162046460215e-122,-1.6123809850348523,-1.3645359380653272,-77.42796559277201
log_minutes_played,0.5532501503866449,0.029404685043916832,18.815034051898472,5.687190894422742e-79,0.4956180267238244,0.6108822740494655,73.88955153492245
league_Liga Portugal,-1.1430925062355577,0.07467997542561981,-15.30654636294118,6.913898057459846e-53,-1.2894625684361087,-0.9967224440350065,-68.11684927683919
league_Premier League,0.7476294069873344,0.06199644285734011,12.059230699859715,1.7339495319234576e-33,0.6261186118173523,0.8691402021573165,111.19874149321869
goals_per90,1.326321861472662,0.11898764098453955,11.146719529005498,7.42951436999293e-29,1.0931103705375824,1.5595333524077415,276.7161731189068
assists_per90,1.8212389298566147,0.16531887205376697,11.016521630175953,3.1811546943472506e-28,1.4972198946664461,2.1452579650467833,517.9509688283074
league_Ligue 1,-0.3603360267844744,0.06283276342776911,-5.734842892891496,9.76027755766758e-09,-0.4834859801520274,-0.23718607341692147,-30.255807247712173
season_2020-2021,-0.1632790226447544,0.06359947082442638,-2.5673015911642545,0.010249342548966558,-0.28793169489643605,-0.03862635039307277,-15.064583369695528
season_2023-2024,-0.14996392987898366,0.060474336941816594,-2.479794528764599,0.01314581112111749,-0.26849145227388427,-0.03143640748408302,-13.926097717415242
league_Serie A,-0.15256071239215474,0.06428516045432134,-2.3731870825858596,0.01763532895633862,-0.2785573116230031,-0.026564113161306385,-14.149322962557342
season_2021-2022,-0.12387455113693424,0.061754984784440824,-2.0059036783722832,0.044866525734836224,-0.2449120971802573,-0.002837005093611192,-11.650933316920586
age,0.030485726630185297,0.015325600964328584,1.9892026877864675,0.04667883536903298,0.00044810069866895244,0.060523352561701646,3.0955174739291103
season_2025-2026,0.11459169850529083,0.059192430758368234,1.9359181070476754,0.05287773169254104,-0.0014233339384918248,0.23060673094907347,12.141546847159956
season_2022-2023,-0.11672838842756561,0.060919778775954246,-1.9161000051700725,0.05535236765897315,-0.2361289607745835,0.0026721839194522867,-11.017315238687232
league_LaLiga,0.0530880108962406,0.07354328675872314,0.7218607331272655,0.470380105234106,-0.09105418245555821,0.19723020424803941,5.452245050132798
position_group_GK,-0.07368483606176157,0.12022803330704898,-0.6128756666390668,0.5399585539684318,-0.30932745127565964,0.1619577791521365,-7.103557620381151
position_group_DEF,0.02637614394791199,0.07250714652127548,0.363773023948371,0.7160275082849112,-0.11573525185555661,0.1684875397513806,2.6727073024358505
position_group_MID,0.007766225213592437,0.06463195233381461,0.1201607708441332,0.9043557928878948,-0.11891007361119368,0.13444252403837856,0.7796460561451113
