player_id_tm,player_name,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,log_market_value_eur,predicted_log_market_value,inefficiency_score,inefficiency_score_z,confidence_score,opportunity_score,matching_method,matching_confidence,age_diff,club_score
872171.0,Lucas Beraldo,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,21.045859000684462,2011,30000000.0,5514356.686700294,-24485643.313299708,-0.8161881104433236,17.216707939626428,15.522865555942051,-1.6938423836843768,-1.680080409016924,1.0,-1.680080409016924,exact_age_club_validated,1.0,1.0458590006844624,73.07692307692308
548193.0,Zeno Debast,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,20.958247775496236,2126,22000000.0,3076355.377141205,-18923644.622858796,-0.8601656646753998,16.90655301132259,14.939256135164898,-1.9672968761576914,-1.9513131636034278,0.85,-1.6586161890629136,exact_age_validated,0.85,0.9582477754962362,59.45945945945945
670681.0,João Neves,Paris Saint-Germain,Paris Saint-Germain Football Club,Ligue 1,2024-2025,DEF,20.027378507871322,1844,60000000.0,11825446.711104123,-48174553.288895875,-0.8029092214815979,17.909855120186375,16.285764268466302,-1.624090851720073,-1.6108955878783466,1.0,-1.6108955878783466,exact_age_club_validated,1.0,1.0273785078713225,73.07692307692308
816580.0,Tiago Santos,Lille,Lille Olympique Sporting Club,Ligue 1,2024-2025,DEF,22.38466803559206,404,15000000.0,2282880.5046063983,-12717119.495393602,-0.8478079663595735,16.523560759066484,14.640948582751973,-1.8826121763145114,-1.867316502213641,0.85,-1.5872190268815949,exact_age_validated,0.85,0.3846680355920604,29.411764705882348
683840.0,Pedri,Barcelona,Futbol Club Barcelona,LaLiga,2024-2025,MID,22.088980150581794,2879,100000000.0,15264528.282396499,-84735471.7176035,-0.847354717176035,18.420680743952367,16.54104228176709,-1.8796384621852766,-1.8643669486432097,0.85,-1.5847119063467283,exact_age_validated,0.85,1.0889801505817935,60.0
504073.0,Eduardo Quaresma,Sporting CP,Sporting Clube de Portugal,Liga Portugal,2024-2025,DEF,22.60369609856263,1391,14000000.0,2247266.9157167105,-11752733.084283289,-0.8394809345916635,16.454567887579532,14.62522533170366,-1.829342555875872,-1.814479681883254,0.85,-1.542307729600766,exact_age_validated,0.85,0.6036960985626294,59.45945945945945
921655.0,Ismaël Koné,Marseille,Unione Sportiva Sassuolo Calcio,Ligue 1,2024-2025,MID,22.310746064339494,360,12000000.0,2065589.9606534664,-9934410.039346533,-0.8278675032788777,16.300417207752275,14.540926438805862,-1.7594907689464137,-1.7451954203218338,0.85,-1.4834161072735588,exact_age_validated,0.85,0.3107460643394937,19.999999999999996
467437.0,Malik Tillman,PSV,Bayer 04 Leverkusen Fußball,Eredivisie,2024-2025,MID,22.38193018480493,1915,25000000.0,4412777.029259908,-20587222.97074009,-0.8234889188296036,17.034386382832476,15.300014761088036,-1.7343716217444403,-1.720280358854632,0.85,-1.4622383050264371,exact_age_validated,0.85,0.38193018480492924,7.4074074074074066
709187.0,Nico Williams,Athletic Club,Athletic Club Bilbao,LaLiga,2024-2025,MID,22.017796030116358,1996,70000000.0,16250682.931053104,-53749317.0689469,-0.7678473866992414,18.064005800013632,16.603645492383276,-1.4603603076303564,-1.448495306640566,1.0,-1.448495306640566,exact_age_club_validated,1.0,0.017796030116357997,78.78787878787878
923831.0,Leny Yoro,Manchester Utd,Manchester United Football Club,Premier League,2024-2025,DEF,18.882956878850102,1165,55000000.0,10106164.44671332,-44893835.55328668,-0.8162515555143033,17.822843743196746,16.12865613688776,-1.6941876063089865,-1.6804228268085335,0.85,-1.4283594027872535,exact_age_validated,0.85,0.8829568788501021,62.22222222222222
575716.0,Vasco Sousa,Porto,Moreirense Futebol Clube,Liga Portugal,2024-2025,MID,21.516769336071185,421,5000000.0,993569.159283856,-4006430.840716144,-0.8012861681432288,15.424948470398375,13.80905895031152,-1.6158895200868546,-1.6027608896693848,0.85,-1.362346756218977,exact_age_validated,0.85,0.5167693360711851,13.793103448275868
627228.0,Yan Couto,Dortmund,Borussia Dortmund,Bundesliga,2024-2025,DEF,22.548939082819988,895,25000000.0,4970353.873358095,-20029646.126641907,-0.8011858450656762,17.034386382832476,15.419001597420994,-1.6153847854114822,-1.602260255815838,0.85,-1.3619212174434623,exact_age_validated,0.85,0.548939082819988,64.0
586429.0,Ryan Flamingo,PSV,Eindhovense Voetbalvereniging Philips Sport Vereniging,Eredivisie,2024-2025,DEF,21.78781656399726,2939,12000000.0,2422721.973223215,-9577278.026776785,-0.7981065022313988,16.300417207752275,14.700402248362808,-1.6000149593894673,-1.5870153051413733,0.85,-1.3489630093701672,exact_age_validated,0.85,0.7878165639972607,10.526315789473683
519184.0,Amar Dedić,Marseille,Sport Lisboa e Benfica,Ligue 1,2024-2025,MID,22.33264887063655,314,15000000.0,3217809.4658861305,-11782190.53411387,-0.7854793689409246,16.523560759066484,14.98421139592081,-1.539349363145675,-1.5268425991491974,0.85,-1.2978162092768177,exact_age_validated,0.85,1.3326488706365502,19.354838709677423
931838.0,Hugo Larsson,Eintracht Frankfurt,Eintracht Frankfurt Fußball AG,Bundesliga,2024-2025,MID,20.48186173853525,2393,35000000.0,9513501.353633402,-25486498.646366596,-0.7281856756104742,17.37085861945369,16.068222542748114,-1.302636076705575,-1.2920525390274464,1.0,-1.2920525390274464,exact_age_club_validated,1.0,0.48186173853525105,77.55102040816327
906329.0,Roger Fernandes,Braga,Al-Ittihad Football Club,Liga Portugal,2024-2025,MID,19.077344284736483,1739,15000000.0,3268871.7046489357,-11731128.295351064,-0.7820752196900709,16.523560759066484,14.999955438882036,-1.5236053201844477,-1.5112264719388586,0.85,-1.2845425011480298,exact_age_validated,0.85,1.0773442847364834,20.68965517241379
820374.0,Kobbie Mainoo,Manchester Utd,Manchester United Football Club,Premier League,2024-2025,MID,19.247091033538673,1651,55000000.0,11995465.583499378,-43004534.41650062,-0.7819006257545568,17.822843743196746,16.300039268300438,-1.5228044748963079,-1.5104321332847916,0.85,-1.2838673132920728,exact_age_validated,0.85,0.24709103353867334,62.22222222222222
598577.0,Florian Wirtz,Leverkusen,Liverpool Football Club,Bundesliga,2024-2025,MID,21.634496919917865,2351,140000000.0,30546182.001950793,-109453817.9980492,-0.7818129857003514,18.75715298057358,17.234750260385578,-1.5224027201880013,-1.5100336427161545,0.85,-1.2835285963087313,exact_age_validated,0.85,0.6344969199178649,24.242424242424242
504087.0,Tomás Araújo,Benfica,Sport Lisboa e Benfica,Liga Portugal,2024-2025,DEF,22.39835728952772,2311,15000000.0,3300391.300264302,-11699608.699735697,-0.7799739133157132,16.523560759066484,15.009551595244817,-1.514009163821667,-1.5017082815438927,0.85,-1.2764520393123087,exact_age_validated,0.85,0.39835728952771987,48.275862068965516
